filename,title,author,group,genre,year,country,Narrative-perspective
BaJin_Chun.txt,Chun,BaJin,high,NA,1938,NA,NA
BaJin_Jia.txt,Jia,BaJin,high,NA,1931,NA,NA
BaJin_Qiu.txt,Qiu,BaJin,high,NA,1940,NA,NA
CaiZhiheng_DiYiCiQinMiJieChu_1998.txt,DiYiCiQinMiJi,CaiZhiheng,low,NA,1998,NA,NA
ChengXiaoqin_WuHouDeGuiSu_1997.txt,WuHouDeG,ChengXiaoqin,low,NA,1997,NA,NA
ChenZhongshi_BaiLuYuan.txt,BaiLuYuan,ChenZhongshi,high,NA,1992,NA,NA
ErYueHe_KangXiDaDi_1988.txt,KangXi,ErYueHe,low,NA,1988,NA,NA
ErYueHe_YongZhengHuangDi_1991.txt,YongZhengHua,ErYueHe,low,NA,1991,NA,NA
GuLong_WuLinWaiShi_1965.txt,WuLinWa,GuLong,low,NA,1965,NA,NA
HaiYan2_BianYiJingCha_1985.txt,BianYiJin,HaiYan2,low,NA,1985,NA,NA
HaiYan2_YongBuMingMu_1994.txt,YongBuMi,HaiYan2,low,NA,1994,NA,NA
JinYong_TianLongBaBu_1978.txt,TianLong,JinYong,low,NA,1978,NA,NA
JinYong_YuanYangDao_1961.txt,YuanYan,JinYong,low,NA,1961,NA,NA
JinYong_YueNvJian_1970.txt,YueNv,JinYong,low,NA,1970,NA,NA
LaoShe_ErMa.txt,ErMa,LaoShe,high,NA,1939,NA,NA
LaoShe_LuoTuoXiangZi.txt,LuoTuoXiangZi,LaoShe,high,NA,1939,NA,NA
LaoShe_SiShiTongTang.txt,SiShiTongTang,LaoShe,high,NA,1944,NA,NA
LiangYusheng_BaiFaMoNvZhuan_1957,BaiFaMoNvZ,LiangYusheng,low,NA,1957,NA,NA
LiangYusheng_QiJianXiaTianShan_1985,QiJianXiaTian,LiangYusheng,low,NA,1985,NA,NA
LiuLiu_WoJv_2007.txt,WoJv,LiuLiu,low,NA,2007,NA,NA
MoYan_ShiCaoJiaZu.txt,ShiCaoJiaZu,MoYan,high,NA,2000,NA,NA
MoYan_TianTangSuanTaiZhiGe.txt,TianTangSuanTaiZhiGe,MoYan,high,NA,1988,NA,NA
MoYan_Wa.txt,Wa,MoYan,high,NA,2009,NA,NA
QianZhongshu_WeiCheng.txt,WeiCheng,QianZhongshu,high,NA,1947,NA,NA
SanMao_SaHaLaDeGuShi_1976.txt,SaHaLaDeG,SanMao,low,NA,1976,NA,NA
ShenCongwen_BianCheng.txt,BianCheng,ShenCongwen,high,NA,1934,NA,NA
ShenCongwen_ChangHe.txt,ChangHe,ShenCongwen,high,NA,1938,NA,NA
ShenCongwen_XiangXingSanJi.txt,XiangXingSanJi,ShenCongwen,high,NA,1936,NA,NA
SiMaling_GuanLuoFengYunLu_1958.txt,GuanLuoFengY,SiMaling,low,NA,1958,NA,NA
SiMaling_YinMaHuangHe_1964.txt,YinMaHua,SiMaling,low,NA,1964,NA,NA
WangXiaobo_HeiTieShiDai.txt,HeiTieShiDai,WangXiaobo,high,NA,1998,NA,NA
WangXiaobo_QingTongShiDai.txt,QingTongShiDai,WangXiaobo,high,NA,1997,NA,NA
WoLongSheng_FengChenXiaYin_1957.txt,FengChenXi,WoLongSheng,low,NA,1957,NA,NA
WoLongSheng_TianJianJueDao_1964.txt,TianJianJu,WoLongSheng,low,NA,1964,NA,NA
YanGeling_DaoTangHe.txt,DaoTangHe,YanGeling,high,NA,1996,NA,NA
YanGeling_LuFanYanShi.txt,LuFanYanShi,YanGeling,high,NA,2011,NA,NA
YanGeling_LvXue.txt,LvXue,YanGeling,high,NA,1986,NA,NA
YiShu_MeiGuiDeGuShi_1985.txt,MeiGuiDeG,YiShu,low,NA,1985,NA,NA
YiShu_QiangWeiPaoMo_1982.txt,QiangWeiP,YiShu,low,NA,1982,NA,NA
YvHua_HuoZhe.txt,HuoZhe,YvHua,high,NA,1998,NA,NA
YvHua_ZaiXiYuZhongHuHan.txt,ZaiXiYuZhongHuHan,YvHua,high,NA,1993,NA,NA
ZhangXiaoxian_MianBaoShuShangDeNvRen_1994.txt,MianBaoShuShangDeN,ZhangXiaoxian,low,NA,1994,NA,NA
