Word List Output:  2019-01-30 02:09:20
61 types 17,671,680 tokens in 81 files
Corpus: POS_only

	Words	Frequency	Proportion
6	AJ0	854096	4.83%
47	AJC	26238	0.15%
50	AJS	20957	0.12%
5	AT0	1107826	6.27%
7	AV0	842475	4.77%
27	AVP	133863	0.76%
40	AVQ	46117	0.26%
9	CJC	648915	3.67%
19	CJS	325193	1.84%
26	CJT	139067	0.79%
32	CRD	91973	0.52%
12	DPS	479449	2.71%
14	DT0	426721	2.41%
28	DTQ	131559	0.74%
46	EX0	30620	0.17%
43	ITJ	40506	0.23%
51	NN0	20607	0.12%
1	NN1	1966267	11.13%
13	NN2	465894	2.64%
10	NP0	544989	3.08%
44	ORD	40443	0.23%
36	PNI	60122	0.34%
3	PNP	1321874	7.48%
38	PNQ	53605	0.30%
37	PNX	53879	0.30%
34	POS	66873	0.38%
17	PRF	414911	2.35%
4	PRP	1225849	6.94%
53	PUL	18919	0.11%
2	PUN	1539908	8.71%
16	PUQ	421464	2.38%
52	PUR	18970	0.11%
8	SENT	665007	3.76%
21	TO0	263009	1.49%
33	VBB	68039	0.39%
22	VBD	237832	1.35%
54	VBG	18765	0.11%
31	VBI	102806	0.58%
42	VBN	44371	0.25%
30	VBZ	112781	0.64%
45	VDB	31480	0.18%
48	VDD	25334	0.14%
61	VDG	2681	0.02%
55	VDI	16242	0.09%
57	VDN	9728	0.06%
58	VDZ	5283	0.03%
39	VHB	50369	0.29%
29	VHD	129168	0.73%
56	VHG	11882	0.07%
41	VHI	45931	0.26%
59	VHN	5202	0.03%
49	VHZ	24880	0.14%
20	VM0	286021	1.62%
24	VVB	208129	1.18%
11	VVD	530954	3.00%
23	VVG	211538	1.20%
15	VVI	425362	2.41%
18	VVN	337105	1.91%
35	VVZ	66821	0.38%
25	XX0	150573	0.85%
60	ZZ0	4238	0.02%
