I	NUM	i
Le	DET:ART	le
vieux	ADJ	vieux
quartier	NOM	quartier
Latin	NAM	latin
a	VER:pres	avoir
disparu	VER:pper	disparaître
avec	PRP	avec
la	DET:ART	le
dernière	ADJ	dernier
grisette	NOM	grisette
.	SENT	.
<EOS>	<EOS>	<EOS>
[	PUN	[
1	NUM	@card@
]	PUN	]
Le	DET:ART	le
temps	NOM	temps
n'	ADV	ne
est	VER:pres	être
plus	ADV	plus
où	PRO:REL	où
les	DET:ART	le
étudiants	NOM	étudiant
tenaient	VER:impf	tenir
à	PRP	à
honneur	NOM	honneur
de	PRP	de
ne	ADV	ne
jamais	ADV	jamais
quitter	VER:infi	quitter
la	DET:ART	le
rive	NOM	rive
gauche	ADJ	gauche
.	SENT	.
<EOS>	<EOS>	<EOS>
Maintenant	ADV	maintenant
,	PUN	,
ils	PRO:PER	il
passent	VER:pres	passer
volontiers	ADV	volontiers
les	DET:ART	le
ponts	NOM	pont
et	KON	et
ils	PRO:PER	il
se	PRO:PER	se
répandent	VER:pres	répandre
sur	PRP	sur
les	DET:ART	le
grands	ADJ	grand
boulevards	NOM	boulevard
,	PUN	,
comme	KON	comme
ils	PRO:PER	il
les	PRO:PER	la|le
appellent	VER:pres	appeler
,	PUN	,
pour	PRP	pour
les	PRO:PER	la|le
distinguer	VER:infi	distinguer
du	PRP:det	du
boulevard	NOM	boulevard
Saint-Michel	NAM	saint-michel
qu'	PRO:REL	que
ils	PRO:PER	il
nomment	VER:pres	nommer
familièrement	ADV	familièrement
le	DET:ART	le
Boul'Mich	NAM	boul'mich
'	PUN	'
.	SENT	.
<EOS>	<EOS>	<EOS>
Quelques-uns	PRO:IND	quelques-uns
même	ADJ	même
demeurent	VER:pres	demeurer
de	PRP	de
l'	DET:ART	le
autre	ADJ	autre
côté	NOM	côté
de	PRP	de
l'	DET:ART	le
eau	NOM	eau
et	KON	et
viennent	VER:pres	venir
aux	PRP:det	au
cours	NOM	cour|cours
,	PUN	,
en	PRP	en
voiture	NOM	voiture
,	PUN	,
--	PUN	--
quand	KON	quand
ils	PRO:PER	il
y	PRO:PER	y
viennent	VER:pres	venir
.	SENT	.
<EOS>	<EOS>	<EOS>
Pourtant	ADV	pourtant
,	PUN	,
sur	PRP	sur
les	DET:ART	le
hauteurs	NOM	hauteur
de	PRP	de
la	DET:ART	le
montagne	NOM	montagne
Sainte-Geneviève	NAM	sainte-geneviève
,	PUN	,
on	PRO:PER	on
trouverait	VER:cond	trouver
encore	ADV	encore
,	PUN	,
en	PRO:PER	en
cherchant	VER:ppre	chercher
bien	ADV	bien
,	PUN	,
des	PRP:det	du
représentants	NOM	représentant
d'	PRP	de
un	DET:ART	un
autre	ADJ	autre
âge	NOM	âge
,	PUN	,
des	PRP:det	du
attardés	VER:pper	attarder
fidèles	NOM	fidèle
à	PRP	à
la	DET:ART	le
tenue	NOM	tenue
et	KON	et
aux	PRP:det	au
mœurs	NOM	mœurs
de	PRP	de
leurs	DET:POS	leur
devanciers	NOM	devancier
.	SENT	.
<EOS>	<EOS>	<EOS>
Ceux	PRO:DEM	celui
-là	ADV	là
arborent	VER:pres	arborer
des	PRP:det	du
coiffures	NOM	coiffure
étranges	ADJ	étrange
,	PUN	,
fument	VER:pres	fumer
la	DET:ART	le
pipe	NOM	pipe
en	PRP	en
buvant	VER:ppre	boire
des	PRP:det	du
bocks	NOM	bock
devant	PRP	devant
les	DET:ART	le
cafés	NOM	café
de	PRP	de
la	DET:ART	le
rue	NOM	rue
Soufflot	NAM	soufflot
,	PUN	,
font	VER:pres	faire
queue	NOM	queue
au	PRP:det	au
théâtre	NOM	théâtre
de	PRP	de
Cluny	NAM	cluny
,	PUN	,
dansent	VER:pres	danser
à	PRP	à
la	DET:ART	le
Closerie	NOM	closerie
des	PRP:det	du
Lilas	NAM	lilas
et	KON	et
croient	VER:pres	croire
fermement	ADV	fermement
que	KON	que
l'	DET:ART	le
univers	NOM	univers
finit	VER:pres	finir
au	PRP:det	au
petit	ADJ	petit
bras	NOM	bras
de	PRP	de
la	DET:ART	le
Seine	NAM	seine
.	SENT	.
<EOS>	<EOS>	<EOS>
Ces	PRO:DEM	ce
convaincus	VER:pper	convaincre
sont	VER:pres	être
rares	ADJ	rare
;	PUN	;
si	ADV	si
rares	ADJ	rare
que	KON	que
,	PUN	,
l'	DET:ART	le
année	NOM	année
dernière	ADJ	dernier
,	PUN	,
on	PRO:PER	on
en	PRO:PER	en
comptait	VER:impf	compter
jusqu'	PRP	jusque
à	PRP	à
deux	NUM	deux
que	KON	que
les	DET:ART	le
nouveaux	ADJ	nouveau
venus	NOM	venu
se	PRO:PER	se
montraient	VER:impf	montrer
comme	ADV	comme
des	PRP:det	du
phénomènes	NOM	phénomène
.	SENT	.
<EOS>	<EOS>	<EOS>
Encore	ADV	encore
se	PRO:PER	se
distinguaient	VER:impf	distinguer
-ils	PRO:PER	il
des	PRP:det	du
étudiants	NOM	étudiant
d'	PRP	de
autrefois	ADV	autrefois
en	PRP	en
ce	PRO:DEM	ce
point	NOM	point
qu'	PRO:REL	que
ils	PRO:PER	il
avaient	VER:impf	avoir
tous	PRO:IND	tout
les	DET:ART	le
deux	NUM	deux
de	PRP	de
la	DET:ART	le
fortune	NOM	fortune
et	KON	et
qu'	KON	que
il	PRO:PER	il
n'	ADV	ne
aurait	VER:cond	avoir
tenu	VER:pper	tenir
qu'	KON	que
à	PRP	à
eux	PRO:PER	eux
de	PRP	de
mener	VER:infi	mener
une	DET:ART	un
autre	ADJ	autre
existence	NOM	existence
.	SENT	.
<EOS>	<EOS>	<EOS>
C'	PRO:DEM	ce
était	VER:impf	être
par	PRP	par
vocation	NOM	vocation
qu'	PRO:REL	que
ils	PRO:PER	il
vivaient	VER:impf	vivre
de	PRP	de
la	DET:ART	le
vie	NOM	vie
du	PRP:det	du
quartier	NOM	quartier
.	SENT	.
<EOS>	<EOS>	<EOS>
L'	DET:ART	le
un	NOM	un
des	PRP:det	du
deux	NUM	deux
était	VER:impf	être
