Chapitre	NOM	chapitre
I	NUM	i
Vous	NOM	vous
est-il	ADJ	est-il
arrivé	VER:pper	arriver
,	PUN	,
le	DET:ART	le
soir	NOM	soir
,	PUN	,
vers	PRP	vers
minuit	NOM	minuit
,	PUN	,
de	PRP	de
manquer	VER:infi	manquer
le	DET:ART	le
dernier	ADJ	dernier
omnibus	NOM	omnibus
de	PRP	de
la	DET:ART	le
ligne	NOM	ligne
qui	PRO:REL	qui
conduit	VER:pres	conduire
à	PRP	à
votre	DET:POS	votre
domicile	NOM	domicile
?	SENT	?
<EOS>	<EOS>	<EOS>
Si	KON	si
vous	PRO:PER	vous
n'	ADV	ne
êtes	VER:pres	être
pas	ADV	pas
obligé	VER:pper	obliger
de	PRP	de
régler	VER:infi	régler
strictement	ADV	strictement
vos	DET:POS	votre
dépenses	NOM	dépense
sur	PRP	sur
votre	DET:POS	votre
budget	NOM	budget
de	PRP	de
recettes	NOM	recette
,	PUN	,
vous	PRO:PER	vous
en	PRO:PER	en
avez	VER:pres	avoir
été	VER:pper	être
quitte	ADJ	quitte
pour	PRP	pour
prendre	VER:infi	prendre
un	DET:ART	un
fiacre	NOM	fiacre
.	SENT	.
<EOS>	<EOS>	<EOS>
Mais	KON	mais
si	ADV	si
,	PUN	,
au	PRP:det	au
contraire	NOM	contraire
,	PUN	,
votre	DET:POS	votre
modeste	ADJ	modeste
fortune	NOM	fortune
vous	PRO:PER	vous
interdit	VER:pres	interdire
ce	PRO:DEM	ce
léger	ADJ	léger
extra	NOM	extra
,	PUN	,
il	PRO:PER	il
vous	PRO:PER	vous
a	VER:pres	avoir
fallu	VER:pper	falloir
revenir	VER:infi	revenir
à	PRP	à
pied	NOM	pied
,	PUN	,
traverser	VER:infi	traverser
Paris	NAM	paris
en	PRP	en
pataugeant	VER:ppre	patauger
dans	PRP	dans
la	DET:ART	le
boue	NOM	boue
,	PUN	,
quelquefois	ADV	quelquefois
sous	PRP	sous
une	DET:ART	un
pluie	NOM	pluie
battante	ADJ	battant
,	PUN	,
et	KON	et
vous	PRO:PER	vous
avez	VER:pres	avoir
cent	NUM	cent
fois	NOM	fois
en	PRP	en
route	NOM	route
maugréé	VER:pper	maugréer
contre	PRP	contre
la	DET:ART	le
Compagnie	NOM	compagnie
qui	PRO:REL	qui
n'	ADV	ne
en	PRO:PER	en
peut	VER:pres	pouvoir
mais	KON	mais
,	PUN	,
car	KON	car
il	PRO:PER	il
faut	VER:pres	falloir
bien	ADV	bien
qu'	KON	que
après	PRP	après
seize	NUM	seize
heures	NOM	heure
de	PRP	de
travail	NOM	travail
,	PUN	,
elle	PRO:PER	elle
accorde	VER:pres	accorder
un	DET:ART	un
peu	ADV	peu
de	PRP	de
repos	NOM	repos
à	PRP	à
ses	DET:POS	son
chevaux	NOM	cheval
et	KON	et
à	PRP	à
ses	DET:POS	son
employés	NOM	employé
.	SENT	.
<EOS>	<EOS>	<EOS>
Il	PRO:PER	il
y	PRO:PER	y
a	VER:pres	avoir
plusieurs	PRO:IND	plusieurs
façons	NOM	façon
de	PRP	de
la	PRO:PER	la
manquer	VER:infi	manquer
,	PUN	,
cette	PRO:DEM	ce
bienheureuse	ADJ	bienheureux
voiture	NOM	voiture
,	PUN	,
la	DET:ART	le
suprême	ADJ	suprême
espérance	NOM	espérance
des	PRP:det	du
attardés	VER:pper	attarder
.	SENT	.
<EOS>	<EOS>	<EOS>
Quand	KON	quand
on	PRO:PER	on
l'	PRO:PER	la|le
attend	VER:pres	attendre
au	PRP:det	au
passage	NOM	passage
,	PUN	,
et	KON	et
qu'	KON	que
après	PRP	après
avoir	VER:infi	avoir
adressé	VER:pper	adresser
au	PRP:det	au
cocher	NOM	cocher
des	PRP:det	du
signes	NOM	signe
inutiles	ADJ	inutile
,	PUN	,
on	PRO:PER	on
voit	VER:pres	voir
apparaître	VER:infi	apparaître
en	PRP	en
lettres	NOM	lettre
blanches	ADJ	blanc
se	PRO:PER	se
détachant	VER:ppre	détacher
sur	PRP	sur
un	DET:ART	un
fond	NOM	fond
bleu	ADJ	bleu
le	DET:ART	le
mot	NOM	mot
redouté	VER:pper	redouter
,	PUN	,
le	DET:ART	le
désolant	ADJ	désolant
:	PUN	:
Complet	ADJ	complet
,	PUN	,
on	PRO:PER	on
enrage	VER:pres	enrager
;	PUN	;
mais	KON	mais
,	PUN	,
après	PRP	après
tout	ADV	tout
,	PUN	,
on	PRO:PER	on
s'	PRO:PER	se
y	PRO:PER	y
attendait	VER:impf	attendre
un	DET:ART	un
peu	ADV	peu
;	PUN	;
on	PRO:PER	on
fait	VER:pres	faire
contre	PRP	contre
fortune	NOM	fortune
bon	ADJ	bon
cœur	NOM	cœur
,	PUN	,
et	KON	et
l'	PRO:PER	la|le
on	PRO:PER	on
continue	VER:pres	continuer
à	PRP	à
cheminer	VER:infi	cheminer
.	SENT	.
<EOS>	<EOS>	<EOS>
On	PRO:PER	on
se	PRO:PER	se
flatte	VER:pres	flatter
vaguement	ADV	vaguement
qu'	KON	que
il	PRO:PER	il
en	PRO:PER	en
passera	VER:futu	passer
encore	ADV	encore
une	NUM	un
,	PUN	,
et	KON	et
,	PUN	,
soutenu	VER:pper	soutenir
par	PRP	par
cette	PRO:DEM	ce
illusion	NOM	illusion
,	PUN	,
on	PRO:PER	on
finit	VER:pres	finir
par	PRP	par
arriver	VER:infi	arriver
pédestrement	ADV	pédestrement
au	PRP:det	au
logis	NOM	logis
sans	PRP	sans
trop	ADV	trop
s'	PRO:PER	se
apercevoir	VER:infi	apercevoir
de	PRP	de
la	DET:ART	le
fatigue	NOM	fatigue
.	SENT	.
<EOS>	<EOS>	<EOS>
Le	DET:ART	le
pis	NOM	pi|pis
,	PUN	,
c'	PRO:DEM	ce
est	VER:pres	être
de	PRP	de
se	PRO:PER	se
présenter	VER:infi	présenter
à	PRP	à
la	DET:ART	le
station	NOM	station
,	PUN	,
tête	NOM	tête
de	PRP	de
ligne	NOM	ligne
,	PUN	,
juste	ADJ	juste
au	PRP:det	au
moment	NOM	moment
où	PRO:REL	où
vient	VER:pres	venir
de	PRP	de
se	PRO:PER	se
remplir	VER:infi	remplir
l'	DET:ART	le
unique	ADJ	unique
omnibus	NOM	omnibus
en	PRP	en
partance	NOM	partance
.	SENT	.
<EOS>	<EOS>	<EOS>
Pas	ADV	pas
moyen	ADJ	moyen
de	PRP	de
s'	PRO:PER	se
y	PRO:PER	y
tromper	VER:infi	tromper
;	PUN	;
c'	PRO:DEM	ce
est	VER:pres	être
bien	ADV	bien
le	DET:ART	le
dernier	ADJ	dernier
.	SENT	.
<EOS>	<EOS>	<EOS>
Le	DET:ART	le
préposé	NOM	préposé
qui	PRO:REL	qui
tourne	VER:pres	tourner
la	DET:ART	le
manivelle	NOM	manivelle
pour	PRP	pour
fermer	VER:infi	fermer
la	DET:ART	le
devanture	NOM	devanture
du	PRP:det	du
bureau	NOM	bureau
vous	PRO:PER	vous
a	VER:pres	avoir
répondu	VER:pper	répondre
qu'	KON	que
il	PRO:PER	il
n'	ADV	ne
y	PRO:PER	y
en	PRO:PER	en
a	VER:pres	avoir
plus	ADV	plus
d'	PRP	de
autre	ADJ	autre
,	PUN	,
et	KON	et
les	DET:ART	le
voyageurs	NOM	voyageur
qui	PRO:REL	qui
vous	PRO:PER	vous
ont	VER:pres	avoir
devancé	VER:pper	devancer
vous	PRO:PER	vous
rient	VER:pres	rire
au	PRP:det	au
nez	NOM	nez
quand	KON	quand
vous	PRO:PER	vous
leur	PRO:PER	lui
demandez	VER:pres	demander
poliment	ADV	poliment
s'	KON	si
il	PRO:PER	il
ne	ADV	ne
reste	VER:pres	rester
plus	ADV	plus
une	DET:ART	un
seule	ADJ	seul
petite	ADJ	petit
place	NOM	place
.	SENT	.
<EOS>	<EOS>	<EOS>
L'	DET:ART	le
arrêt	NOM	arrêt
est	VER:pres	être
sans	PRP	sans
appel	NOM	appel
.	SENT	.
<EOS>	<EOS>	<EOS>
Vous	PRO:PER	vous
n'	ADV	ne
avez	VER:pres	avoir
plus	ADV	plus
d'	PRP	de
autre	ADJ	autre
moyen	NOM	moyen
de	PRP	de
transport	NOM	transport
que	KON	que
vos	DET:POS	votre
jambes	NOM	jambe
,	PUN	,
et	KON	et
il	PRO:PER	il
faudra	VER:futu	falloir
qu'	KON	que
elles	PRO:PER	elle
vous	PRO:PER	vous
portent	VER:pres	porter
jusqu'	PRP	jusque
à	PRP	à
destination	NOM	destination
,	PUN	,
car	KON	car
vous	PRO:PER	vous
ne	ADV	ne
le	PRO:PER	le
rattraperez	VER:futu	rattraper
pas	ADV	pas
en	PRP	en
route	NOM	route
,	PUN	,
ce	PRO:DEM	ce
maudit	VER:pres	maudire
véhicule	NOM	véhicule
sur	PRP	sur
lequel	PRO:REL	lequel
vous	PRO:PER	vous
comptiez	VER:impf	compter
pour	PRP	pour
éviter	VER:infi	éviter
une	DET:ART	un
longue	ADJ	longue
étape	NOM	étape
.	SENT	.
<EOS>	<EOS>	<EOS>
C'	PRO:DEM	ce
est	VER:pres	être
ainsi	ADV	ainsi
qu'	KON	que
un	DET:ART	un
soir	NOM	soir
de	PRP	de
cet	PRO:DEM	ce
hiver	NOM	hiver
,	PUN	,
à	PRP	à
minuit	NOM	minuit
moins	ADV	moins
un	DET:ART	un
quart	NOM	quart
,	PUN	,
au	PRP:det	au
coin	NOM	coin
du	PRP:det	du
boulevard	NOM	boulevard
Saint-Germain	NAM	saint-germain
et	KON	et
de	PRP	de
la	DET:ART	le
rue	NOM	rue
du	PRP:det	du
Cardinal-Lemoine	NAM	cardinal-lemoine
,	PUN	,
à	PRP	à
l'	DET:ART	le
instant	NOM	instant
précis	ADJ	précis
où	PRO:REL	où
le	DET:ART	le
cocher	NOM	cocher
de	PRP	de
l'	DET:ART	le
omnibus	NOM	omnibus
vert	ADJ	vert
qui	PRO:REL	qui
va	VER:pres	aller
de	PRP	de
la	DET:ART	le
Halle	NAM	halle
aux	PRP:det	au
vins	NOM	vin
à	PRP	à
la	DET:ART	le
place	NOM	place
Pigalle	NAM	pigalle
grimpait	VER:impf	grimper
sur	PRP	sur
son	DET:POS	son
siège	NOM	siège
,	PUN	,
une	DET:ART	un
femme	NOM	femme
arriva	VER:simp	arriver
tout	ADV	tout
essoufflée	VER:pper	essouffler
,	PUN	,
une	DET:ART	un
femme	NOM	femme
convenablement	ADV	convenablement
vêtue	VER:pper	vêtir
,	PUN	,
et	KON	et
encore	ADV	encore
jeune	ADJ	jeune
,	PUN	,
autant	ADV	autant
qu'	KON	que
on	PRO:PER	on
en	PRO:PER	en
pouvait	VER:impf	pouvoir
juger	VER:infi	juger
à	PRP	à
sa	DET:POS	son
tournure	NOM	tournure
,	PUN	,
car	KON	car
une	DET:ART	un
épaisse	ADJ	épais
voilette	NOM	voilette
lui	PRO:PER	lui
cachait	VER:impf	cacher
le	DET:ART	le
visage	NOM	visage
.	SENT	.
<EOS>	<EOS>	<EOS>
Elle	PRO:PER	elle
venait	VER:impf	venir
du	PRP:det	du
côté	NOM	côté
