I	NUM	i
--	PUN	--
La	DET:ART	le
vente	NOM	vente
de	PRP	de
charité	NOM	charité
—	PUN	—
C'	NAM	c'
est	VER:pres	être
bien	ADV	bien
vous	PRO:PER	vous
?	SENT	?
<EOS>	<EOS>	<EOS>
—	PUN	—
C'	NAM	c'
est	VER:pres	être
bien	ADV	bien
moi	NOM	moi
.	SENT	.
<EOS>	<EOS>	<EOS>
—	PUN	—
Êtes	VER:pres	être
-vous	PRO:PER	vous
à	PRP	à
Paris	NAM	paris
,	PUN	,
homme	NOM	homme
errant	ADJ	errant
,	PUN	,
heureux	NOM	heureux
David	NAM	david
?	SENT	?
<EOS>	<EOS>	<EOS>
—	PUN	—
Je	PRO:PER	je
suis	VER:pres	suivre|être
à	PRP	à
Paris	NAM	paris
depuis	PRP	depuis
quatre	NUM	quatre
jours	NOM	jour
,	PUN	,
mon	DET:POS	mon
cher	ADJ	cher
Dragonneau	NOM	dragonneau
.	SENT	.
<EOS>	<EOS>	<EOS>
Un	DET:ART	un
jeune	ADJ	jeune
homme	NOM	homme
fort	ADV	fort
élégant	ADJ	élégant
d'	PRP	de
aspect	NOM	aspect
,	PUN	,
mais	KON	mais
très	ADV	très
français	ADJ	français
d'	PRP	de
accent	NOM	accent
et	KON	et
d'	PRP	de
allure	NOM	allure
,	PUN	,
avait	VER:impf	avoir
le	DET:ART	le
premier	NUM	premier
jeté	NOM	jeté
son	DET:POS	son
exclamation	NOM	exclamation
étonnée	VER:pper	étonner
en	PRP	en
apercevant	VER:ppre	apercevoir
un	DET:ART	un
jeune	ADJ	jeune
gommeux	NOM	gommeux
de	PRP	de
la	DET:ART	le
plus	ADV	plus
belle	ADJ	beau
eau	NOM	eau
,	PUN	,
très	ADV	très
étranger	ADJ	étranger
d'	PRP	de
allure	NOM	allure
et	KON	et
d'	PRP	de
accent	NOM	accent
.	SENT	.
<EOS>	<EOS>	<EOS>
Celui	PRO:DEM	celui
-ci	ADV	-ci
lui	PRO:PER	lui
répondait	VER:impf	répondre
du	PRP:det	du
haut	NOM	haut
d'	PRP	de
un	DET:ART	un
phaéton	NOM	phaéton
qui	PRO:REL	qui
s'	PRO:PER	se
était	VER:impf	être
enchevêtré	VER:pper	enchevêtrer
au	PRP:det	au
milieu	NOM	milieu
d'	PRP	de
un	DET:ART	un
groupe	NOM	groupe
compact	ADJ	compact
de	PRP	de
voitures	NOM	voiture
de	PRP	de
tous	PRO:IND	tout
les	DET:ART	le
genres	NOM	genre
,	PUN	,
arrêtées	ADJ	arrêté
place	NOM	place
Vendôme	NAM	vendôme
,	PUN	,
en	PRP	en
face	NOM	face
du	PRP:det	du
ministère	NOM	ministère
de	PRP	de
la	DET:ART	le
justice	NOM	justice
.	SENT	.
<EOS>	<EOS>	<EOS>
—	PUN	—
Allez	VER:pres	aller
m'	PRO:PER	me
attendre	VER:infi	attendre
au	PRP:det	au
coin	NOM	coin
de	PRP	de
la	DET:ART	le
rue	NOM	rue
Castiglione	NAM	castiglione
,	PUN	,
dit	VER:pres	dire
le	DET:ART	le
jeune	ADJ	jeune
étranger	ADJ	étranger
au	PRP:det	au
domestique	NOM	domestique
en	PRP	en
livrée	NOM	livrée
qui	PRO:REL	qui
était	VER:impf	être
assis	VER:pper	asseoir
au-dessous	ADV	au-dessous
de	PRP	de
lui	PRO:PER	lui
.	SENT	.
<EOS>	<EOS>	<EOS>
Et	KON	et
,	PUN	,
sautant	VER:ppre	sauter
lestement	ADV	lestement
à	PRP	à
terre	NOM	terre
,	PUN	,
il	PRO:PER	il
vint	VER:simp	venir
serrer	VER:infi	serrer
la	DET:ART	le
main	NOM	main
au	PRP:det	au
passant	NOM	passant
.	SENT	.
<EOS>	<EOS>	<EOS>
—	PUN	—
D'	NOM	d'
où	PRO:REL	où
venez	VER:pres	venir
-vous	PRO:PER	vous
,	PUN	,
Louzéma	NAM	louzéma
?	SENT	?
<EOS>	<EOS>	<EOS>
—	PUN	—
De	NAM	de
Vienne	NAM	vienne
.	SENT	.
<EOS>	<EOS>	<EOS>
—	PUN	—
Et	NOM	et
comment	ADV	comment
trouvez	VER:pres	trouver
-vous	PRO:PER	vous
Paris	NAM	paris
,	PUN	,
maintenant	ADV	maintenant
?	SENT	?
<EOS>	<EOS>	<EOS>
Le	DET:ART	le
jeune	ADJ	jeune
homme	NOM	homme
au	PRP:det	au
teint	NOM	teint
mat	ADJ	mat
,	PUN	,
au	PRP:det	au
nez	NOM	nez
aquilin	ADJ	aquilin
,	PUN	,
au	PRP:det	au
front	NOM	front
fuyant	ADJ	fuyant
,	PUN	,
posa	VER:simp	poser
ses	DET:POS	son
doigts	NOM	doigt
sur	PRP	sur
ses	DET:POS	son
lèvres	NOM	lèvre
épaisses	ADJ	épais
et	KON	et
rouges	ADJ	rouge
:	PUN	:
—	PUN	—
Exquis	NAM	exquis
,	PUN	,
dit-il	NOM	dit-il
.	SENT	.
<EOS>	<EOS>	<EOS>
Et	KON	et
il	PRO:PER	il
ajouta	VER:simp	ajouter
:	PUN	:
—	PUN	—
Où	ABR	où
allez	VER:pres	aller
-vous	PRO:PER	vous
,	PUN	,
Dragonneau	NAM	dragonneau
?	SENT	?
<EOS>	<EOS>	<EOS>
Son	DET:POS	son
interlocuteur	NOM	interlocuteur
leva	VER:simp	lever
la	DET:ART	le
main	NOM	main
vers	PRP	vers
le	DET:ART	le
cintre	NOM	cintre
de	PRP	de
la	DET:ART	le
porte	NOM	porte
cochère	ADJ	cochère
la	DET:ART	le
plus	ADV	plus
voisine	ADJ	voisin
.	SENT	.
<EOS>	<EOS>	<EOS>
—	PUN	—
Au	VER:simp	au
ministère	NOM	ministère
de	PRP	de
la	DET:ART	le
justice	NOM	justice
?	SENT	?
<EOS>	<EOS>	<EOS>
dit	VER:pres	dire
David	NAM	david
qui	PRO:REL	qui
avait	VER:impf	avoir
suivi	VER:pper	suivre
le	DET:ART	le
mouvement	NOM	mouvement
de	PRP	de
sa	DET:POS	son
main	NOM	main
.	SENT	.
<EOS>	<EOS>	<EOS>
—	PUN	—
Non	NAM	non
,	PUN	,
hélas	INT	hélas
!	SENT	!
<EOS>	<EOS>	<EOS>
Lisez	VER:pres	lire|liser
plus	ADV	plus
bas	ADJ	bas
.	SENT	.
<EOS>	<EOS>	<EOS>
—	PUN	—
Vente	NAM	vente
de	PRP	de
charité	NOM	charité
au	PRP:det	au
profit	NOM	profit
...	PUN	...
—	PUN	—
C'	NAM	c'
est	VER:pres	être
cela	PRO:DEM	cela
,	PUN	,
mon	DET:POS	mon
cher	ADJ	cher
