I	NUM	i
--	PUN	--
Mes	VER:simp	mes
bonnes	ADJ	bon
résolutions	NOM	résolution
.	SENT	.
<EOS>	<EOS>	<EOS>
--	PUN	--
La	DET:ART	le
mer	NOM	mer
!	SENT	!
<EOS>	<EOS>	<EOS>
--	PUN	--
Mes	DET:POS	mon
premiers	NUM	premier
essais	NOM	essai
de	PRP	de
natation	NOM	natation
.	SENT	.
<EOS>	<EOS>	<EOS>
Être	VER:infi	être
en	PRP	en
congé	NOM	congé
,	PUN	,
quel	PRO:REL	quel
bonheur	NOM	bonheur
!	SENT	!
<EOS>	<EOS>	<EOS>
J'	PRO:PER	je
y	PRO:PER	y
suis	VER:pres	suivre|être
,	PUN	,
quelle	PRO:REL	quel
chance	NOM	chance
!	SENT	!
<EOS>	<EOS>	<EOS>
Je	PRO:PER	je
l'	PRO:PER	la|le
écris	VER:pres	écrire
,	PUN	,
que	KON	que
c'	PRO:DEM	ce
est	VER:pres	être
drôle	ADJ	drôle
!	SENT	!
<EOS>	<EOS>	<EOS>
À	PRP	à
douze	NUM	douze
ans	NOM	an
on	PRO:PER	on
n'	ADV	ne
écrit	VER:pres	écrire
guère	ADV	guère
sa	DET:POS	son
vie	NOM	vie
.	SENT	.
<EOS>	<EOS>	<EOS>
Pour	PRP	pour
dire	VER:infi	dire
vrai	ADJ	vrai
,	PUN	,
on	PRO:PER	on
a	VER:pres	avoir
bien	ADV	bien
assez	ADV	assez
de	PRP	de
gratter	VER:infi	gratter
le	DET:ART	le
papier	NOM	papier
,	PUN	,
et	KON	et
quand	KON	quand
la	DET:ART	le
classe	NOM	classe
et	KON	et
l'	DET:ART	le
étude	NOM	étude
se	PRO:PER	se
ferment	NOM	ferment
,	PUN	,
on	PRO:PER	on
met	VER:pres	mettre
plus	ADV	plus
volontiers	ADV	volontiers
des	PRP:det	du
billes	NOM	bille
qu'	KON	que
un	DET:ART	un
porte-plume	NOM	porte-plume
entre	PRP	entre
ses	DET:POS	son
doigts	NOM	doigt
.	SENT	.
<EOS>	<EOS>	<EOS>
Pour	PRP	pour
moi	PRO:PER	moi
,	PUN	,
qui	PRO:REL	qui
galope	VER:pres	galoper
une	DET:ART	un
demi-heure	NOM	demi-heure
dans	PRP	dans
notre	DET:POS	notre
cour	NOM	cour
uniquement	ADV	uniquement
pour	PRP	pour
le	DET:ART	le
plaisir	NOM	plaisir
de	PRP	de
galoper	VER:infi	galoper
;	PUN	;
pour	PRP	pour
moi	PRO:PER	moi
,	PUN	,
qui	PRO:REL	qui
n'	ADV	ne
ai	VER:pres	avoir
encore	ADV	encore
pour	PRP	pour
l'	DET:ART	le
étude	NOM	étude
qu'	KON	que
une	DET:ART	un
profonde	ADJ	profond
estime	NOM	estime
,	PUN	,
je	PRO:PER	je
suis	VER:pres	suivre|être
tout	ADV	tout
étonné	VER:pper	étonner
de	PRP	de
me	PRO:PER	me
voir	VER:infi	voir
barbouiller	VER:infi	barbouiller
du	PRP:det	du
papier	NOM	papier
le	DET:ART	le
second	NUM	second
jour	NOM	jour
de	PRP	de
mes	DET:POS	mon
vacances	NOM	vacance
.	SENT	.
<EOS>	<EOS>	<EOS>
Cette	PRO:DEM	ce
singulière	ADJ	singulier
idée	NOM	idée
m'	PRO:PER	me
est	VER:pres	être
venue	VER:pper	venir
hier	ADV	hier
.	SENT	.
<EOS>	<EOS>	<EOS>
On	PRO:PER	on
distribuait	VER:impf	distribuer
les	DET:ART	le
prix	NOM	prix
à	PRP	à
Louis-le-Grand	NAM	louis-le-grand
,	PUN	,
et	KON	et
j'	PRO:PER	je
ai	VER:pres	avoir
si	ADV	si
peu	ADV	peu
travaillé	VER:pper	travailler
cette	PRO:DEM	ce
année	NOM	année
,	PUN	,
mais	KON	mais
si	KON	si
peu	ADV	peu
,	PUN	,
que	KON	que
ce	PRO:DEM	ce
grand	ADJ	grand
jour	NOM	jour
me	PRO:PER	me
laissait	VER:impf	laisser
froid	ADJ	froid
.	SENT	.
<EOS>	<EOS>	<EOS>
Cependant	ADV	cependant
,	PUN	,
quand	KON	quand
je	PRO:PER	je
me	PRO:PER	me
suis	VER:pres	suivre|être
trouvé	VER:pper	trouver
devant	PRP	devant
l'	DET:ART	le
estrade	NOM	estrade
,	PUN	,
il	PRO:PER	il
m'	PRO:PER	me
est	VER:pres	être
venu	VER:pper	venir
je	PRO:PER	je
ne	ADV	ne
sais	VER:pres	savoir
quel	PRO:REL	quel
remords	VER:pres	remordre
,	PUN	,
et	KON	et
quand	KON	quand
on	PRO:PER	on
a	VER:pres	avoir
prononcé	VER:pper	prononcer
les	DET:ART	le
mots	NOM	mot
:	PUN	:
classe	NOM	classe
de	PRP	de
sixième	NUM	sixième
,	PUN	,
je	PRO:PER	je
me	PRO:PER	me
serais	VER:cond	être
volontiers	ADV	volontiers
arraché	VER:pper	arracher
quelques	PRO:IND	quelque
cheveux	NOM	cheveu
.	SENT	.
<EOS>	<EOS>	<EOS>
Je	PRO:PER	je
n'	ADV	ne
étais	VER:impf	être
pas	ADV	pas
complètement	ADV	complètement
absent	ADJ	absent
de	PRP	de
la	DET:ART	le
scène	NOM	scène
,	PUN	,
mon	DET:POS	mon
nom	NOM	nom
se	PRO:PER	se
prononçait	VER:impf	prononcer
aux	PRP:det	au
accessits	NOM	accessit
;	PUN	;
mais	KON	mais
les	DET:ART	le
accessits	NOM	accessit
vous	PRO:PER	vous
font	VER:pres	faire
jouer	VER:infi	jouer
un	DET:ART	un
rôle	NOM	rôle
de	PRP	de
fantôme	NOM	fantôme
:	PUN	:
c'	PRO:DEM	ce
est	VER:pres	être
d'	PRP	de
un	DET:ART	un
invisible	ADJ	invisible
que	KON	que
l'	PRO:PER	la|le
on	PRO:PER	on
semble	VER:pres	sembler
parler	VER:infi	parler
.	SENT	.
<EOS>	<EOS>	<EOS>
Mon	DET:POS	mon
cousin	NOM	cousin
Edmond	NAM	edmond
a	VER:pres	avoir
remporté	VER:pper	remporter
tous	PRO:IND	tout
les	DET:ART	le
prix	NOM	prix
.	SENT	.
<EOS>	<EOS>	<EOS>
Un	DET:ART	un
moment	NOM	moment
je	PRO:PER	je
