I	NUM	i
L'	DET:ART	le
année	NOM	année
scolaire	ADJ	scolaire
est	VER:pres	être
finie	VER:pper	finir
.	SENT	.
<EOS>	<EOS>	<EOS>
Les	DET:ART	le
portes	NOM	porte
du	PRP:det	du
Lycée	NAM	lycée
sont	VER:pres	être
à	PRP	à
peine	NOM	peine
assez	ADV	assez
larges	ADJ	large
pour	PRP	pour
suffire	VER:infi	suffire
à	PRP	à
l'	DET:ART	le
empressement	NOM	empressement
des	PRP:det	du
écoliers	NOM	écolier
qui	PRO:REL	qui
partent	VER:pres	partir
en	PRP	en
vacances	NOM	vacance
.	SENT	.
<EOS>	<EOS>	<EOS>
Toutefois	ADV	toutefois
cette	PRO:DEM	ce
journée	NOM	journée
ne	ADV	ne
donne	VER:pres	donner
pas	ADV	pas
satisfaction	NOM	satisfaction
à	PRP	à
tous	PRO:IND	tout
.	SENT	.
<EOS>	<EOS>	<EOS>
Mais	KON	mais
M	VER:subi	m
.	SENT	.
Thiébaut	NAM	thiébaut
n'	ADV	ne
est	VER:pres	être
pas	ADV	pas
du	PRP:det	du
nombre	NOM	nombre
de	PRP	de
ces	PRO:DEM	ce
pères	NOM	père
de	PRP	de
famille	NOM	famille
dont	PRO:REL	dont
la	DET:ART	le
physionomie	NOM	physionomie
sérieuse	ADJ	sérieux
accuse	VER:pres	accuser
une	DET:ART	un
déception	NOM	déception
.	SENT	.
<EOS>	<EOS>	<EOS>
Il	PRO:PER	il
sourit	VER:pres	sourire
à	PRP	à
Joseph	NAM	joseph
et	KON	et
à	PRP	à
Xavier	NAM	xavier
,	PUN	,
qui	PRO:REL	qui
élèvent	VER:pres	élever
leurs	DET:POS	leur
bras	NOM	bras
au-dessus	ADV	au-dessus
de	PRP	de
leurs	DET:POS	leur
têtes	NOM	tête
.	SENT	.
<EOS>	<EOS>	<EOS>
Ces	PRO:DEM	ce
braves	ADJ	brave
enfants	NOM	enfant
sont	VER:pres	être
assurément	ADV	assurément
bien	ADV	bien
heureux	ADJ	heureux
de	PRP	de
voir	VER:infi	voir
leur	DET:POS	leur
père	NOM	père
;	PUN	;
mais	KON	mais
pourquoi	ADV	pourquoi
leur	DET:POS	leur
mère	NOM	mère
n'	ADV	ne
est-elle	ADJ	est-elle
pas	ADV	pas
là	ADV	là
?	SENT	?
<EOS>	<EOS>	<EOS>
Serait-elle	VER:cond	serait-elle
malade	ADJ	malade
,	PUN	,
cette	PRO:DEM	ce
mère	NOM	mère
chérie	VER:pper	chérir
,	PUN	,
dont	PRO:REL	dont
le	DET:ART	le
souvenir	NOM	souvenir
a	VER:pres	avoir
soutenu	VER:pper	soutenir
leur	DET:POS	leur
courage	NOM	courage
?	SENT	?
<EOS>	<EOS>	<EOS>
Mme	NOM	madame
Thiébaut	NAM	thiébaut
n'	ADV	ne
est	VER:pres	être
pas	ADV	pas
malade	ADJ	malade
:	PUN	:
elle	PRO:PER	elle
est	VER:pres	être
restée	VER:pper	rester
en	PRP	en
Lorraine	NAM	lorraine
avec	PRP	avec
sa	DET:POS	son
petite	ADJ	petit
fille	NOM	fille
,	PUN	,
dont	PRO:REL	dont
la	DET:ART	le
paresse	NOM	paresse
mérite	VER:pres	mériter
une	DET:ART	un
punition	NOM	punition
,	PUN	,
et	KON	et
il	PRO:PER	il
n'	ADV	ne
y	PRO:PER	y
en	PRO:PER	en
a	VER:pres	avoir
pas	ADV	pas
de	PRP	de
plus	ADV	plus
grande	ADJ	grand
pour	PRP	pour
Laure	NAM	laure
que	KON	que
de	PRP	de
ne	ADV	ne
pas	ADV	pas
aller	VER:infi	aller
à	PRP	à
Paris	NAM	paris
pour	KON	pour
être	VER:infi	être
témoin	NOM	témoin
des	PRP:det	du
succès	NOM	succès
de	PRP	de
ses	DET:POS	son
frères	NOM	frère
.	SENT	.
<EOS>	<EOS>	<EOS>
Joseph	NAM	joseph
et	KON	et
Xavier	NAM	xavier
aiment	VER:pres	aimer
beaucoup	ADV	beaucoup
leur	DET:POS	leur
petite	ADJ	petit
sœur	NOM	sœur
,	PUN	,
qu'	KON	que
ils	PRO:PER	il
trouveraient	VER:cond	trouver
parfaite	VER:pper	parfaire
si	KON	si
elle	PRO:PER	elle
n'	ADV	ne
était	VER:impf	être
pas	ADV	pas
paresseuse	ADJ	paresseux
.	SENT	.
<EOS>	<EOS>	<EOS>
Ils	PRO:PER	il
étaient	VER:impf	être
humiliés	VER:pper	humilier
d'	PRP	de
avoir	VER:infi	avoir
une	DET:ART	un
sœur	NOM	sœur
de	PRP	de
huit	NUM	huit
ans	NOM	an
qui	PRO:REL	qui
ne	ADV	ne
lisait	VER:impf	lire|liser
pas	ADV	pas
couramment	ADV	couramment
;	PUN	;
mais	KON	mais
,	PUN	,
une	DET:ART	un
fois	NOM	fois
en	PRP	en
wagon	NOM	wagon
,	PUN	,
ils	PRO:PER	il
ne	ADV	ne
songèrent	VER:simp	songer
plus	ADV	plus
qu'	KON	que
à	PRP	à
la	DET:ART	le
joie	NOM	joie
d'	PRP	de
embrasser	VER:infi	embrasser
leur	DET:POS	leur
mère	NOM	mère
et	KON	et
aussi	ADV	aussi
bien	ADV	bien
la	DET:ART	le
petite	ADJ	petit
paresseuse	NOM	paresseux
.	SENT	.
<EOS>	<EOS>	<EOS>
L'	DET:ART	le
express	NOM	express
ne	ADV	ne
méritait	VER:impf	mériter
point	ADV	point
de	PRP	de
reproches	NOM	reproche
,	PUN	,
et	KON	et
pourtant	ADV	pourtant
les	DET:ART	le
écoliers	NOM	écolier
l'	PRO:PER	la|le
accusaient	VER:impf	accuser
de	PRP	de
marcher	VER:infi	marcher
moins	ADV	moins
vite	ADV	vite
que	KON	que
le	DET:ART	le
jour	NOM	jour
où	PRO:REL	où
il	PRO:PER	il
les	PRO:PER	la|le
ramenait	VER:impf	ramener
à	PRP	à
Paris	NAM	paris
.	SENT	.
<EOS>	<EOS>	<EOS>
Quelques	PRO:IND	quelque
heures	NOM	heure
plus	ADV	plus
tard	ADV	tard
,	PUN	,
nos	DET:POS	notre
voyageurs	NOM	voyageur
embrassaient	VER:impf	embrasser
leur	DET:POS	leur
mère	NOM	mère
.	SENT	.
<EOS>	<EOS>	<EOS>
Quant	PRP	quant
à	PRP	à
la	DET:ART	le
petite	ADJ	petit
paresseuse	NOM	paresseux
,	PUN	,
elle	PRO:PER	elle
était	VER:impf	être
aussi	ADV	aussi
contente	ADJ	content
que	KON	que
si	KON	si
elle	PRO:PER	elle
n'	ADV	ne
avait	VER:impf	avoir
rien	ADV	rien
eu	VER:pper	avoir
à	PRP	à
se	PRO:PER	se
reprocher	VER:infi	reprocher
;	PUN	;
mais	KON	mais
lorsque	KON	lorsque
son	DET:POS	son
frère	NOM	frère
aîné	ADJ	aîné
lui	PRO:PER	lui
dit	VER:pres	dire
à	PRP	à
l'	DET:ART	le
oreille	NOM	oreille
:	PUN	:
«	PUN:cit	«
Sais	VER:impf	sais
-tu	PRO:PER	tu
lire	VER:infi	lire
?	SENT	?
<EOS>	<EOS>	<EOS>
Nous	PRO:PER	nous
t'	PRO:PER	te
apportons	VER:pres	apporter
un	DET:ART	un
beau	ADJ	beau
livre	NOM	livre
...	PUN	...
»	PUN:cit	»
Pour	NAM	pour
toute	PRO:IND	tout
réponse	NOM	réponse
,	PUN	,
Laurette	NAM	laurette
embrassa	VER:simp	embrasser
son	DET:POS	son
frère	NOM	frère
.	SENT	.
<EOS>	<EOS>	<EOS>
Le	DET:ART	le
retour	NOM	retour
à	PRP	à
la	DET:ART	le
maison	NOM	maison
fut	VER:simp	être
joyeux	ADJ	joyeux
:	PUN	:
c'	PRO:DEM	ce
est	VER:pres	être
si	ADV	si
bon	ADJ	bon
de	PRP	de
retrouver	VER:infi	retrouver
sa	DET:POS	son
chambre	NOM	chambre
,	PUN	,
de	PRP	de
contempler	VER:infi	contempler
le	DET:ART	le
jardin	NOM	jardin
,	PUN	,
de	PRP	de
revoir	VER:infi	revoir
la	DET:ART	le
bonne	ADJ	bon
Rose	NAM	rose
qui	PRO:REL	qui
pleure	VER:pres	pleurer
de	PRP	de
joie	NOM	joie
.	SENT	.
<EOS>	<EOS>	<EOS>
Son	DET:POS	son
émotion	NOM	émotion
pourtant	ADV	pourtant
ne	ADV	ne
fut	VER:simp	être
pas	ADV	pas
funeste	ADJ	funeste
au	PRP:det	au
dîner	NOM	dîner
,	PUN	,
auquel	PRO:REL	auquel
nos	DET:POS	notre
voyageurs	NOM	voyageur
firent	VER:simp	faire
une	DET:ART	un
large	ADJ	large
brèche	NOM	brèche
.	SENT	.
<EOS>	<EOS>	<EOS>
Laurette	NAM	laurette
sautait	VER:impf	sauter
,	PUN	,
chantait	VER:impf	chanter
,	PUN	,
comme	KON	comme
si	KON	si
elle	PRO:PER	elle
avait	VER:impf	avoir
eu	VER:pper	avoir
conscience	NOM	conscience
d'	PRP	de
avoir	VER:infi	avoir
bien	ADV	bien
employé	VER:pper	employer
son	DET:POS	son
temps	NOM	temps
.	SENT	.
<EOS>	<EOS>	<EOS>
Elle	PRO:PER	elle
se	PRO:PER	se
disait	VER:impf	dire
:	PUN	:
«	PUN:cit	«
Mes	ADJ	mes
frères	NOM	frère
ne	ADV	ne
me	PRO:PER	me
gronderont	VER:futu	gronder
pas	ADV	pas
comme	KON	comme
ils	PRO:PER	il
m'	PRO:PER	me
en	PRO:PER	en
ont	VER:pres	avoir
menacée	VER:pper	menacer
à	PRP	à
leur	DET:POS	leur
départ	NOM	départ
;	PUN	;
il	PRO:PER	il
y	PRO:PER	y
a	VER:pres	avoir
si	ADV	si
longtemps	ADV	longtemps
de	PRP	de
cela	PRO:DEM	cela
!	SENT	!
<EOS>	<EOS>	<EOS>
»	PUN:cit	»
Nous	PRO:PER	nous
l'	PRO:PER	la|le
avons	VER:pres	avoir
dit	VER:pper	dire
,	PUN	,
Laurette	NAM	laurette
semblait	VER:impf	sembler
n'	ADV	ne
avoir	VER:infi	avoir
rien	ADV	rien
à	PRP	à
se	PRO:PER	se
reprocher	VER:infi	reprocher
;	PUN	;
mais	KON	mais
cette	PRO:DEM	ce
quiétude	NOM	quiétude
fut	VER:simp	être
de	PRP	de
courte	ADJ	court
durée	NOM	durée
.	SENT	.
<EOS>	<EOS>	<EOS>
Dès	PRP	dès
le	DET:ART	le
lendemain	NOM	lendemain
matin	NOM	matin
Joseph	NAM	joseph
se	PRO:PER	se
ménagea	VER:simp	ménager
une	DET:ART	un
entrevue	NOM	entrevue
avec	PRP	avec
sa	DET:POS	son
petite	ADJ	petit
sœur	NOM	sœur
,	PUN	,
et	KON	et
il	PRO:PER	il
lui	PRO:PER	lui
fit	VER:simp	faire
des	PRP:det	du
reproches	NOM	reproche
capables	ADJ	capable
de	PRP	de
toucher	VER:infi	toucher
le	DET:ART	le
cœur	NOM	cœur
de	PRP	de
la	DET:ART	le
petite	ADJ	petit
fille	NOM	fille
la	DET:ART	le
plus	ADV	plus
paresseuse	ADJ	paresseux
.	SENT	.
<EOS>	<EOS>	<EOS>
«	PUN:cit	«
J'	NAM	j'
ai	VER:pres	avoir
honte	NOM	honte
de	PRP	de
toi	PRO:PER	toi
,	PUN	,
lui	PRO:PER	lui
dit-il	NOM	dit-il
;	PUN	;
si	KON	si
j'	PRO:PER	je
étais	VER:impf	être
papa	NOM	papa
,	PUN	,
je	PRO:PER	je
te	PRO:PER	te
mettrais	VER:cond	mettre
des	PRP:det	du
oreilles	NOM	oreille
d'	PRP	de
âne	NOM	âne
,	PUN	,
et	KON	et
tu	PRO:PER	tu
ne	ADV	ne
les	PRO:PER	la|le
quitterais	VER:cond	quitter
pas	ADV	pas
avant	PRP	avant
de	PRP	de
savoir	VER:infi	savoir
lire	VER:infi	lire
.	SENT	.
<EOS>	<EOS>	<EOS>
Je	PRO:PER	je
te	PRO:PER	te
le	PRO:PER	le
répète	VER:pres	répéter
,	PUN	,
j'	PRO:PER	je
ai	VER:pres	avoir
honte	NOM	honte
de	PRP	de
toi	PRO:PER	toi
!	SENT	!
<EOS>	<EOS>	<EOS>
Je	PRO:PER	je
n'	ADV	ne
irai	VER:futu	aller
plus	ADV	plus
prendre	VER:infi	prendre
le	DET:ART	le
café	NOM	café
chez	PRP	chez
Mme	NOM	madame
Firmin	NAM	firmin
,	PUN	,
si	KON	si
tu	PRO:PER	tu
dois	VER:pres	devoir
nous	PRO:PER	nous
y	PRO:PER	y
accompagner	VER:infi	accompagner
.	SENT	.
<EOS>	<EOS>	<EOS>
—	PUN	—
Mais	NAM	mais
,	PUN	,
Joseph	NAM	joseph
,	PUN	,
répliquait	VER:impf	répliquer
la	DET:ART	le
petite	ADJ	petit
paresseuse	NOM	paresseux
,	PUN	,
Mme	NOM	madame
Firmin	NAM	firmin
ignore	VER:pres	ignorer
que	KON	que
je	PRO:PER	je
ne	ADV	ne
sais	VER:pres	savoir
pas	ADV	pas
lire	VER:infi	lire
