I	NUM	i
Quand	NAM	quand
Jacques	NAM	jacques
Mirmont	NAM	mirmont
entra	VER:simp	entrer
,	PUN	,
madame	NOM	madame
de	PRP	de
Barroy	NAM	barroy
s'	PRO:PER	se
élança	VER:simp	élancer
à	PRP	à
sa	DET:POS	son
rencontre	NOM	rencontre
d'	PRP	de
une	DET:ART	un
longue	ADJ	longue
,	PUN	,
glissade	NOM	glissade
,	PUN	,
et	KON	et
après	PRP	après
un	DET:ART	un
coup	NOM	coup
d'	PRP	de
œil	NOM	œil
jeté	VER:pper	jeter
vers	PRP	vers
la	DET:ART	le
porte	NOM	porte
,	PUN	,
se	PRO:PER	se
serra	VER:simp	serrer
contre	PRP	contre
lui	PRO:PER	lui
,	PUN	,
cherchant	VER:ppre	chercher
à	PRP	à
se	PRO:PER	se
blottir	VER:infi	blottir
entre	PRP	entre
ses	DET:POS	son
bras	NOM	bras
.	SENT	.
<EOS>	<EOS>	<EOS>
Il	PRO:PER	il
la	PRO:PER	la
repoussa	VER:simp	repousser
doucement	ADV	doucement
et	KON	et
dit	VER:pper	dire
,	PUN	,
l'	DET:ART	le
air	NOM	air
agacé	VER:pper	agacer
mais	KON	mais
la	DET:ART	le
voix	NOM	voix
aimable	ADJ	aimable
:	PUN	:
—	PUN	—
C'	NAM	c'
est	VER:pres	être
fou	ADJ	fou
,	PUN	,
ma	DET:POS	mon
chérie	NOM	chéri
,	PUN	,
ce	PRO:DEM	ce
que	PRO:REL	que
vous	PRO:PER	vous
faites	VER:pres	faire
là	ADV	là
!	SENT	!
...	PUN	...
<EOS>	<EOS>	<EOS>
Elle	PRO:PER	elle
s'	PRO:PER	se
éloigna	VER:simp	éloigner
à	PRP	à
regret	NOM	regret
:	PUN	:
—	PUN	—
C'	NAM	c'
est	VER:pres	être
qu'	KON	que
il	PRO:PER	il
y	PRO:PER	y
a	VER:pres	avoir
si	ADV	si
long	ADJ	long
temps	NOM	temps
que	KON	que
je	PRO:PER	je
ne	ADV	ne
vous	PRO:PER	vous
ai	VER:pres	avoir
vu	VER:pper	voir
!	SENT	!
...	PUN	...
<EOS>	<EOS>	<EOS>
Il	PRO:PER	il
s'	PRO:PER	se
approcha	VER:simp	approcher
de	PRP	de
la	DET:ART	le
cheminée	NOM	cheminée
et	KON	et
,	PUN	,
présentant	VER:ppre	présenter
alternativement	ADV	alternativement
ses	DET:POS	son
semelles	NOM	semelle
à	PRP	à
la	DET:ART	le
flamme	NOM	flamme
,	PUN	,
il	PRO:PER	il
répondit	VER:simp	répondre
:	PUN	:
—	PUN	—
Si	VER:simp	si
longtemps	ADV	longtemps
!	SENT	!
...	PUN	...
<EOS>	<EOS>	<EOS>
je	PRO:PER	je
suis	VER:pres	suivre|être
venu	VER:pper	venir
dimanche	NOM	dimanche
...	PUN	...
—	PUN	—
Et	VER:simp	et
c'	PRO:DEM	ce
est	VER:pres	être
aujourd'hui	ADV	aujourd'hui
vendredi	NOM	vendredi
...	PUN	...
ça	PRO:DEM	cela
fait	VER:pres	faire
quatre	NUM	quatre
jours	NOM	jour
...	PUN	...
qui	PRO:REL	qui
m'	PRO:PER	me
ont	VER:pres	avoir
semblé	VER:pper	sembler
très	ADV	très
longs	ADJ	long
,	PUN	,
à	PRP	à
moi	PRO:PER	moi
!	SENT	!
...	PUN	...
<EOS>	<EOS>	<EOS>
—	PUN	—
En	NOM	en
admettant	VER:ppre	admettre
qu'	KON	que
ils	PRO:PER	il
vous	PRO:PER	vous
aient	VER:subp	avoir
semblé	VER:pper	sembler
très	ADV	très
longs	ADJ	long
.	SENT	.
,	PUN	,
ce	PRO:DEM	ce
n'	ADV	ne
est	VER:pres	être
pas	ADV	pas
une	DET:ART	un
raison	NOM	raison
pour	PRP	pour
faire	VER:infi	faire
une	DET:ART	un
imprudence	NOM	imprudence
comme	KON	comme
celle	PRO:DEM	celui
-là	ADV	là
...	PUN	...
vous	PRO:PER	vous
n'	ADV	ne
avez	VER:pres	avoir
même	ADV	même
pas	ADV	pas
regardé	VER:pper	regarder
si	KON	si
le	DET:ART	le
domestique	NOM	domestique
était	VER:impf	être
sorti	VER:pper	sortir
...	PUN	...
—	PUN	—
Je	PRO:PER	je
vous	PRO:PER	vous
demande	VER:pres	demander
pardon	NOM	pardon
...	PUN	...
j'	PRO:PER	je
étais	VER:impf	être
en	PRP	en
face	NOM	face
de	PRP	de
la	DET:ART	le
porte	NOM	porte
,	PUN	,
je	PRO:PER	je
voyais	VER:impf	voir
que	KON	que
nous	PRO:PER	nous
étions	VER:impf	être
seuls	ADJ	seul
...	PUN	...
—	PUN	—
Et	VER:ppre	et
votre	DET:POS	votre
mari	NOM	mari
!	SENT	!
...	PUN	...
<EOS>	<EOS>	<EOS>
qui	PRO	qui
pouvait	VER:impf	pouvoir
entrer	VER:infi	entrer
aussi	ADV	aussi
par	PRP	par
l'	DET:ART	le
autre	ADJ	autre
côté	NOM	côté
...	PUN	...
—	PUN	—
Il	NAM	il
est	VER:pres	être
sorti	VER:pper	sortir
...	PUN	...
<EOS>	<EOS>	<EOS>
Le	DET:ART	le
visage	NOM	visage
très	ADV	très
jeune	ADJ	jeune
,	PUN	,
presque	ADV	presque
gamin	ADJ	gamin
de	PRP	de
madame	NOM	madame
de	PRP	de
Barroy	NAM	barroy
s'	PRO:PER	se
attrista	VER:simp	attrister
,	PUN	,
ses	DET:POS	son
longs	ADJ	long
yeux	NOM	œil
se	PRO:PER	se
remplirent	VER:simp	remplir
de	PRP	de
larmes	NOM	larme
et	KON	et
elle	PRO:PER	elle
fixa	VER:simp	fixer
,	PUN	,
inquiète	ADJ	inquiet
,	PUN	,
Jacques	NAM	jacques
qui	PRO:REL	qui
évita	VER:simp	éviter
son	DET:POS	son
regard	NOM	regard
.	SENT	.
<EOS>	<EOS>	<EOS>
C'	PRO:DEM	ce
était	VER:impf	être
une	DET:ART	un
