Livre	NOM	livre
premier	NUM	premier
--	PUN	--
Waterloo	NAM	waterloo
Chapitre	NAM	chapitre
I	NUM	i
--	PUN	--
Ce	NAM	ce
qu'	KON	que
on	PRO:PER	on
rencontre	VER:pres	rencontrer
en	PRP	en
venant	VER:ppre	venir
de	PRP	de
Nivelles	NAM	nivelles
L'	DET:ART	le
an	NOM	an
dernier	ADJ	dernier
(	PUN	(
1861	NUM	@card@
)	PUN	)
,	PUN	,
par	PRP	par
une	DET:ART	un
belle	ADJ	beau
matinée	NOM	matinée
de	PRP	de
mai	NOM	mai
,	PUN	,
un	DET:ART	un
passant	NOM	passant
,	PUN	,
celui	PRO:DEM	celui
qui	PRO:REL	qui
raconte	VER:pres	raconter
cette	PRO:DEM	ce
histoire	NOM	histoire
[	PUN	[
1	NUM	@card@
]	PUN	]
,	PUN	,
arrivait	VER:impf	arriver
de	PRP	de
Nivelles	NAM	nivelles
et	KON	et
se	PRO:PER	se
dirigeait	VER:impf	diriger
vers	PRP	vers
La	DET:ART	le
Hulpe	NAM	hulpe
.	SENT	.
<EOS>	<EOS>	<EOS>
Il	PRO:PER	il
allait	VER:impf	aller
à	PRP	à
pied	NOM	pied
.	SENT	.
<EOS>	<EOS>	<EOS>
Il	PRO:PER	il
suivait	VER:impf	suivre
,	PUN	,
entre	PRP	entre
deux	NUM	deux
rangées	NOM	rangée
d'	PRP	de
arbres	NOM	arbre
,	PUN	,
une	DET:ART	un
large	ADJ	large
chaussée	NOM	chaussée
pavée	VER:pper	paver
ondulant	ADJ	ondulant
sur	PRP	sur
des	PRP:det	du
collines	NOM	colline
qui	PRO:REL	qui
viennent	VER:pres	venir
l'	DET:ART	le
une	NOM	un
après	PRP	après
l'	DET:ART	le
autre	ADJ	autre
,	PUN	,
soulèvent	VER:pres	soulever
la	DET:ART	le
route	NOM	route
et	KON	et
la	PRO:PER	la
laissent	VER:pres	laisser
retomber	VER:infi	retomber
,	PUN	,
et	KON	et
font	VER:pres	faire
là	ADV	là
comme	ADV	comme
des	PRP:det	du
vagues	NOM	vague
énormes	ADJ	énorme
.	SENT	.
<EOS>	<EOS>	<EOS>
Il	PRO:PER	il
avait	VER:impf	avoir
dépassé	VER:pper	dépasser
Lillois	NAM	lillois
et	KON	et
Bois-Seigneur-Isaac	NAM	bois-seigneur-isaac
.	SENT	.
<EOS>	<EOS>	<EOS>
Il	PRO:PER	il
apercevait	VER:impf	apercevoir
,	PUN	,
à	PRP	à
l'	DET:ART	le
ouest	NOM	ouest
,	PUN	,
le	DET:ART	le
clocher	NOM	clocher
d'	PRP	de
ardoise	NOM	ardoise
de	PRP	de
Braine-l'Alleud	NAM	braine-l'alleud
qui	PRO:REL	qui
a	VER:pres	avoir
la	DET:ART	le
forme	NOM	forme
d'	PRP	de
un	DET:ART	un
vase	NOM	vase
renversé	ADJ	renversé
.	SENT	.
<EOS>	<EOS>	<EOS>
Il	PRO:PER	il
venait	VER:impf	venir
de	PRP	de
laisser	VER:infi	laisser
derrière	PRP	derrière
lui	PRO:PER	lui
un	DET:ART	un
bois	NOM	bois
sur	PRP	sur
une	DET:ART	un
hauteur	NOM	hauteur
,	PUN	,
et	KON	et
,	PUN	,
à	PRP	à
l'	DET:ART	le
angle	NOM	angle
d'	PRP	de
un	DET:ART	un
chemin	NOM	chemin
de	PRP	de
traverse	NOM	traverse
,	PUN	,
à	PRP	à
côté	NOM	côté
d'	PRP	de
une	DET:ART	un
espèce	NOM	espèce
de	PRP	de
potence	NOM	potence
vermoulue	ADJ	vermoulu
portant	VER:ppre	porter
l'	DET:ART	le
inscription	NOM	inscription
:	PUN	:
Ancienne	ADJ	ancien
barrière	NOM	barrière
n	VER:subi	n
°	NOM	°
4	NUM	@card@
,	PUN	,
un	DET:ART	un
cabaret	NOM	cabaret
ayant	VER:ppre	avoir
sur	PRP	sur
sa	DET:POS	son
façade	NOM	façade
cet	PRO:DEM	ce
écriteau	NOM	écriteau
:	PUN	:
Au	PRP:det	au
quatre	NUM	quatre
vents	NOM	vent
.	SENT	.
<EOS>	<EOS>	<EOS>
Échabeau	NAM	échabeau
,	PUN	,
café	NOM	café
de	PRP	de
particulier	NOM	particulier
.	SENT	.
<EOS>	<EOS>	<EOS>
Un	DET:ART	un
demi-quart	NOM	demi-quart
de	PRP	de
lieue	NOM	lieue
plus	ADV	plus
loin	ADV	loin
que	KON	que
ce	PRO:DEM	ce
cabaret	NOM	cabaret
,	PUN	,
il	PRO:PER	il
arriva	VER:simp	arriver
au	PRP:det	au
fond	NOM	fond
d'	PRP	de
un	DET:ART	un
petit	ADJ	petit
vallon	NOM	vallon
où	PRO:REL	où
il	PRO:PER	il
y	PRO:PER	y
a	VER:pres	avoir
de	PRP	de
l'	DET:ART	le
eau	NOM	eau
qui	PRO:REL	qui
passe	VER:pres	passer
sous	PRP	sous
une	DET:ART	un
arche	NOM	arche
pratiquée	VER:pper	pratiquer
dans	PRP	dans
le	DET:ART	le
remblai	NOM	remblai
de	PRP	de
la	DET:ART	le
route	NOM	route
.	SENT	.
<EOS>	<EOS>	<EOS>
Le	DET:ART	le
bouquet	NOM	bouquet
d'	PRP	de
arbres	NOM	arbre
,	PUN	,
clairsemé	VER:pper	clairsemer
mais	KON	mais
très	ADV	très
vert	ADJ	vert
,	PUN	,
qui	PRO:REL	qui
emplit	VER:pres	emplir
le	DET:ART	le
vallon	NOM	vallon
d'	PRP	de
un	DET:ART	un
côté	NOM	côté
de	PRP	de
la	DET:ART	le
chaussée	NOM	chaussée
,	PUN	,
s'	PRO:PER	se
éparpille	VER:pres	éparpiller
de	PRP	de
l'	DET:ART	le
autre	ADJ	autre
dans	PRP	dans
les	DET:ART	le
prairies	NOM	prairie
et	KON	et
s'	PRO:PER	se
en	PRO:PER	en
va	VER:pres	aller
avec	PRP	avec
grâce	NOM	grâce
et	KON	et
comme	ADV	comme
en	PRP	en
désordre	NOM	désordre
vers	PRP	vers
Braine-l'Alleud	NAM	braine-l'alleud
.	SENT	.
<EOS>	<EOS>	<EOS>
Il	PRO:PER	il
y	PRO:PER	y
avait	VER:impf	avoir
là	ADV	là
,	PUN	,
à	PRP	à
droite	NOM	droit|droite
,	PUN	,
au	PRP:det	au
bord	NOM	bord
de	PRP	de
la	DET:ART	le
route	NOM	route
,	PUN	,
une	DET:ART	un
auberge	NOM	auberge
,	PUN	,
une	DET:ART	un
charrette	NOM	charrette
à	PRP	à
quatre	NUM	quatre
roues	NOM	roue
devant	PRP	devant
la	DET:ART	le
porte	NOM	porte
,	PUN	,
un	DET:ART	un
grand	ADJ	grand
faisceau	NOM	faisceau
de	PRP	de
perches	NOM	perche
à	PRP	à
houblon	NOM	houblon
,	PUN	,
une	DET:ART	un
charrue	NOM	charrue
,	PUN	,
un	DET:ART	un
tas	NOM	tas
de	PRP	de
broussailles	NOM	broussaille
sèches	ADJ	sèche
près	ADV	près
d'	PRP	de
une	DET:ART	un
haie	NOM	haie
vive	ADJ	vif
,	PUN	,
de	PRP	de
la	DET:ART	le
chaux	NOM	chaux
qui	PRO:REL	qui
fumait	VER:impf	fumer
dans	PRP	dans
un	DET:ART	un
trou	NOM	trou
carré	ADJ	carré
,	PUN	,
une	DET:ART	un
échelle	NOM	échelle
le	DET:ART	le
long	NOM	long
d'	PRP	de
un	DET:ART	un
vieux	ADJ	vieux
hangar	NOM	hangar
à	PRP	à
cloisons	NOM	cloison
de	PRP	de
paille	NOM	paille
.	SENT	.
<EOS>	<EOS>	<EOS>
Une	DET:ART	un
jeune	ADJ	jeune
fille	NOM	fille
sarclait	VER:impf	sarcler
dans	PRP	dans
un	DET:ART	un
champ	NOM	champ
où	PRO:REL	où
une	DET:ART	un
grande	ADJ	grand
affiche	NOM	affiche
jaune	ADJ	jaune
,	PUN	,
probablement	ADV	probablement
du	PRP:det	du
spectacle	NOM	spectacle
forain	ADJ	forain
de	PRP	de
quelque	PRO:IND	quelque
kermesse	NOM	kermesse
,	PUN	,
volait	VER:impf	voler
au	PRP:det	au
vent	NOM	vent
.	SENT	.
<EOS>	<EOS>	<EOS>
À	PRP	à
l'	DET:ART	le
angle	NOM	angle
de	PRP	de
l'	DET:ART	le
auberge	NOM	auberge
,	PUN	,
à	PRP	à
côté	NOM	côté
d'	PRP	de
une	DET:ART	un
mare	NOM	mare
où	PRO:REL	où
naviguait	VER:impf	naviguer
une	DET:ART	un
flottille	NOM	flottille
de	PRP	de
canards	NOM	canard
,	PUN	,
un	DET:ART	un
sentier	NOM	sentier
mal	ADV	mal
pavé	VER:pper	paver
s'	PRO:PER	se
enfonçait	VER:impf	enfoncer
dans	PRP	dans
les	DET:ART	le
broussailles	NOM	broussaille
.	SENT	.
<EOS>	<EOS>	<EOS>
Ce	PRO:DEM	ce
passant	NOM	passant
y	PRO:PER	y
entra	VER:simp	entrer
.	SENT	.
<EOS>	<EOS>	<EOS>
Au	PRP:det	au
bout	NOM	bout
d'	PRP	de
une	DET:ART	un
centaine	NOM	centaine
de	PRP	de
pas	ADV	pas
,	PUN	,
après	PRP	après
avoir	VER:infi	avoir
longé	VER:pper	longer
un	DET:ART	un
mur	NOM	mur
