Première	NUM	premier
partie	NOM	partie
--	PUN	--
Le	DET:ART	le
fils	NOM	fil|fils
du	PRP:det	du
médecin	NOM	médecin
I	NUM	i
--	PUN	--
«	PUN:cit	«
L'	DET:ART	le
enfance	NOM	enfance
est	VER:pres	être
sans	PRP	sans
pitié	NOM	pitié
»	PUN:cit	»
L'	DET:ART	le
orphelinat	NOM	orphelinat
de	PRP	de
Sainte-Marie	NAM	sainte-marie
,	PUN	,
à	PRP	à
Vouvray	NAM	vouvray
,	PUN	,
est	VER:pres	être
un	DET:ART	un
grand	ADJ	grand
bâtiment	NOM	bâtiment
carré	VER:pper	carrer
,	PUN	,
de	PRP	de
construction	NOM	construction
récente	ADJ	récent
,	PUN	,
affectant	VER:ppre	affecter
au-dehors	NOM	au-dehors
l'	DET:ART	le
aspect	NOM	aspect
d'	PRP	de
un	DET:ART	un
couvent	NOM	couvent
.	SENT	.
<EOS>	<EOS>	<EOS>
Les	DET:ART	le
fenêtres	NOM	fenêtre
des	PRP:det	du
dortoirs	NOM	dortoir
,	PUN	,
qui	PRO:REL	qui
donnent	VER:pres	donner
sur	PRP	sur
la	DET:ART	le
campagne	NOM	campagne
,	PUN	,
sont	VER:pres	être
haut	ADV	haut
percées	VER:pper	percer
,	PUN	,
mais	KON	mais
ne	ADV	ne
sont	VER:pres	être
point	ADV	point
garnies	VER:pper	garnir
de	PRP	de
grilles	NOM	grille
.	SENT	.
<EOS>	<EOS>	<EOS>
Les	DET:ART	le
ateliers	NOM	atelier
,	PUN	,
le	DET:ART	le
réfectoire	NOM	réfectoire
et	KON	et
les	DET:ART	le
salles	NOM	salle
d'	PRP	de
étude	NOM	étude
donnent	VER:pres	donner
sur	PRP	sur
une	DET:ART	un
cour	NOM	cour
intérieure	ADJ	intérieur
divisée	VER:pper	diviser
par	PRP	par
une	DET:ART	un
grille	NOM	grille
;	PUN	;
la	DET:ART	le
moitié	NOM	moitié
de	PRP	de
la	DET:ART	le
cour	NOM	cour
est	VER:pres	être
réservée	VER:pper	réserver
aux	PRP:det	au
orphelines	NOM	orphelin|orpheline
jusqu'	PRP	jusque
à	PRP	à
l'	DET:ART	le
âge	NOM	âge
de	PRP	de
quinze	NUM	quinze
ans	NOM	an
;	PUN	;
l'	DET:ART	le
autre	ADJ	autre
moitié	NOM	moitié
aux	PRP:det	au
orphelines	NOM	orphelin|orpheline
de	PRP	de
quinze	NUM	quinze
à	PRP	à
vingt	NUM	vingt
ans	NOM	an
.	SENT	.
<EOS>	<EOS>	<EOS>
L'	DET:ART	le
établissement	NOM	établissement
est	VER:pres	être
dirigé	VER:pper	diriger
par	PRP	par
des	PRP:det	du
sœurs	NOM	sœur
de	PRP	de
Saint-Vincent-de-Paul	NAM	saint-vincent-de-paul
.	SENT	.
<EOS>	<EOS>	<EOS>
C'	PRO:DEM	ce
était	VER:impf	être
à	PRP	à
l'	DET:ART	le
orphelinat	NOM	orphelinat
de	PRP	de
Vouvray	NAM	vouvray
que	KON	que
Claire	NAM	claire
et	KON	et
Louise	NAM	louise
,	PUN	,
deux	NUM	deux
gentilles	ADJ	gentil
fillettes	NOM	fillette
,	PUN	,
l'	DET:ART	le
une	NUM	un
aux	PRP:det	au
yeux	NOM	œil
bruns	ADJ	brun
,	PUN	,
l'	DET:ART	le
autre	ADJ	autre
aux	PRP:det	au
yeux	NOM	œil
bleus	ADJ	bleu
,	PUN	,
avaient	VER:impf	avoir
été	VER:pper	être
envoyées	VER:pper	envoyer
après	PRP	après
la	DET:ART	le
condamnation	NOM	condamnation
de	PRP	de
leur	DET:POS	leur
mère	NOM	mère
,	PUN	,
après	PRP	après
l'	DET:ART	le
envoi	NOM	envoi
de	PRP	de
leur	DET:POS	leur
père	NOM	père
dans	PRP	dans
