I	NUM	i
Au	ABR	au
coin	NOM	coin
de	PRP	de
la	DET:ART	le
ruelle	NOM	ruelle
du	PRP:det	du
Montalais	NAM	montalais
,	PUN	,
qui	PRO:REL	qui
descend	VER:pres	descendre
au	PRP:det	au
lac	NOM	lac
,	PUN	,
et	KON	et
à	PRP	à
deux	NUM	deux
pas	NOM	pas
du	PRP:det	du
bois	NOM	bois
de	PRP	de
Ville-d'Avray	NAM	ville-d'avray
,	PUN	,
s'	PRO:PER	se
élevait	VER:impf	élever
une	DET:ART	un
maison	NOM	maison
de	PRP	de
campagne	NOM	campagne
,	PUN	,
fraîche	ADJ	frais
et	KON	et
coquette	ADJ	coquet
au	PRP:det	au
possible	ADJ	possible
derrière	PRP	derrière
ses	DET:POS	son
clématites	NOM	clématite
et	KON	et
ses	DET:POS	son
plantes	NOM	plante
grimpantes	ADJ	grimpant
:	PUN	:
vrai	ADJ	vrai
nid	NOM	nid
d'	PRP	de
amoureux	NOM	amoureux
qui	PRO:REL	qui
détestent	VER:pres	détester
le	DET:ART	le
bruit	NOM	bruit
et	KON	et
d'	PRP	de
amants	NOM	amant
égoïstes	ADJ	égoïste
pour	KON	pour
qui	PRO:REL	qui
le	DET:ART	le
monde	NOM	monde
finit	VER:pres	finir
à	PRP	à
leur	DET:POS	leur
amour	NOM	amour
.	SENT	.
<EOS>	<EOS>	<EOS>
La	DET:ART	le
villa	NOM	villa
Montalais	NAM	montalais
avait	VER:impf	avoir
été	VER:pper	être
achetée	VER:pper	acheter
quelques	PRO:IND	quelque
années	NOM	année
auparavant	PRP	auparavant
par	PRP	par
M	NOM	m
.	SENT	.
Roger	NAM	roger
Laroque	NAM	laroque
,	PUN	,
un	DET:ART	un
ingénieur-mécanicien	NOM	ingénieur-mécanicien
,	PUN	,
très	ADV	très
connu	VER:pper	connaître
,	PUN	,
dont	PRO:REL	dont
les	DET:ART	le
ateliers	NOM	atelier
de	PRP	de
constructions	NOM	construction
étaient	VER:impf	être
rue	NOM	rue
Saint-Maur	NAM	saint-maur
et	KON	et
qui	PRO:REL	qui
avait	VER:impf	avoir
,	PUN	,
en	PRP	en
outre	ADV	outre
,	PUN	,
un	DET:ART	un
appartement	NOM	appartement
particulier	ADJ	particulier
,	PUN	,
boulevard	NOM	boulevard
Malesherbes	NAM	malesherbes
,	PUN	,
117.	ABR	@ord@
<EOS>	<EOS>	<EOS>
L'	DET:ART	le
hiver	NOM	hiver
,	PUN	,
il	PRO:PER	il
habitait	VER:impf	habiter
boulevard	NOM	boulevard
Malesherbes	NAM	malesherbes
;	PUN	;
l'	DET:ART	le
été	NOM	été
,	PUN	,
il	PRO:PER	il
se	PRO:PER	se
réfugiait	VER:impf	réfugier
à	PRP	à
Ville-d'Avray	NAM	ville-d'avray
,	PUN	,
avec	PRP	avec
sa	DET:POS	son
femme	NOM	femme
et	KON	et
sa	DET:POS	son
fille	NOM	fille
;	PUN	;
mais	KON	mais
chaque	PRO:IND	chaque
matin	NOM	matin
ses	DET:POS	son
affaires	NOM	affaire
le	PRO:PER	le
rappelaient	VER:impf	rappeler
à	PRP	à
Paris	NAM	paris
,	PUN	,
rue	NOM	rue
Saint-Maur	NAM	saint-maur
;	PUN	;
il	PRO:PER	il
y	PRO:PER	y
déjeunait	VER:impf	déjeuner
et	KON	et
rentrait	VER:pres	rentraire
le	DET:ART	le
soir	NOM	soir
,	PUN	,
vers	PRP	vers
sept	NUM	sept
heures	NOM	heure
,	PUN	,
pour	PRP	pour
dîner	VER:infi	dîner
en	PRP	en
famille	NOM	famille
.	SENT	.
