Partie	NOM	partie
1	NUM	@card@
Chapitre	ABR	chapitre
1	NUM	@card@
Le	DET:ART	le
jour	NOM	jour
tombait	VER:impf	tomber
dans	PRP	dans
le	DET:ART	le
vaste	ADJ	vaste
atelier	NOM	atelier
par	PRP	par
la	DET:ART	le
baie	NOM	bai|baie
ouverte	ADJ	ouvert
du	PRP:det	du
plafond	NOM	plafond
.	SENT	.
<EOS>	<EOS>	<EOS>
C'	PRO:DEM	ce
était	VER:impf	être
un	DET:ART	un
grand	ADJ	grand
carré	NOM	carré
de	PRP	de
lumière	NOM	lumière
éclatante	ADJ	éclatant
et	KON	et
bleue	ADJ	bleu
,	PUN	,
un	DET:ART	un
trou	NOM	trou
clair	ADJ	clair
sur	PRP	sur
un	DET:ART	un
infini	ADJ	infini
lointain	NOM	lointain
d'	PRP	de
azur	NOM	azur
,	PUN	,
où	PRO:REL	où
passaient	VER:impf	passer
,	PUN	,
rapides	ADJ	rapide
,	PUN	,
des	PRP:det	du
vols	NOM	vol
d'	PRP	de
oiseaux	NOM	oiseau
.	SENT	.
<EOS>	<EOS>	<EOS>
Mais	KON	mais
à	PRP	à
peine	NOM	peine
entrée	VER:pper	entrer
dans	PRP	dans
la	DET:ART	le
haute	ADJ	haut
pièce	NOM	pièce
sévère	ADJ	sévère
et	KON	et
drapée	ADJ	drapé
,	PUN	,
la	DET:ART	le
clarté	NOM	clarté
joyeuse	ADJ	joyeux
du	PRP:det	du
ciel	NOM	ciel
s'	PRO:PER	se
atténuait	VER:impf	atténuer
,	PUN	,
devenait	VER:impf	devenir
douce	ADJ	doux
,	PUN	,
s'	PRO:PER	se
endormait	VER:impf	endormir
sur	PRP	sur
les	DET:ART	le
étoffes	NOM	étoffe
,	PUN	,
allait	VER:impf	aller
mourir	VER:infi	mourir
dans	PRP	dans
les	DET:ART	le
portières	NOM	portier|portière
,	PUN	,
éclairait	VER:impf	éclairer
à	PRP	à
peine	NOM	peine
les	DET:ART	le
coins	NOM	coin
sombres	ADJ	sombre
où	PRO:REL	où
,	PUN	,
seuls	ADJ	seul
,	PUN	,
les	DET:ART	le
cadres	NOM	cadre
d'	PRP	de
or	NOM	or
s'	PRO:PER	se
allumaient	VER:impf	allumer
comme	ADV	comme
des	PRP:det	du
feux	NOM	feu
.	SENT	.
<EOS>	<EOS>	<EOS>
La	DET:ART	le
paix	NOM	paix
et	KON	et
le	DET:ART	le
sommeil	NOM	sommeil
semblaient	VER:impf	sembler
emprisonnés	VER:pper	emprisonner
là-dedans	ADV	là-dedans
,	PUN	,
la	DET:ART	le
paix	NOM	paix
des	PRP:det	du
maisons	NOM	maison
d'	PRP	de
artistes	NOM	artiste
où	PRO:REL	où
l'	DET:ART	le
âme	NOM	âme
humaine	ADJ	humain
a	VER:pres	avoir
travaillé	VER:pper	travailler
.	SENT	.
<EOS>	<EOS>	<EOS>
En	PRP	en
ces	PRO:DEM	ce
murs	NOM	mur
que	KON	que
la	DET:ART	le
pensée	NOM	pensée
habite	VER:pres	habiter
,	PUN	,
où	PRO:REL	où
la	DET:ART	le
pensée	NOM	pensée
s'	PRO:PER	se
agite	VER:pres	agiter
,	PUN	,
s'	PRO:PER	se
épuise	VER:pres	épuiser
en	PRP	en
des	PRP:det	du
efforts	NOM	effort
violents	ADJ	violent
,	PUN	,
il	PRO:PER	il
semble	VER:pres	sembler
que	KON	que
tout	ADV	tout
soit	KON	soit
las	ADJ	las
,	PUN	,
accablé	VER:pper	accabler
,	PUN	,
dès	PRP	dès
qu'	KON	que
elle	PRO:PER	elle
s'	PRO:PER	se
apaise	VER:pres	apaiser
.	SENT	.
<EOS>	<EOS>	<EOS>
Tout	PRO:IND	tout
semble	VER:pres	sembler
mort	VER:pper	mourir
après	PRP	après
ces	PRO:DEM	ce
crises	NOM	crise
de	PRP	de
vie	NOM	vie
;	PUN	;
et	KON	et
tout	PRO:IND	tout
repose	NOM	repose
,	PUN	,
les	DET:ART	le
meubles	NOM	meuble
,	PUN	,
les	DET:ART	le
étoffes	NOM	étoffe
,	PUN	,
les	DET:ART	le
grands	ADJ	grand
personnages	NOM	personnage
inachevés	VER:pper	inachever
sur	PRP	sur
les	DET:ART	le
toiles	NOM	toile
,	PUN	,
comme	KON	comme
si	KON	si
le	DET:ART	le
logis	NOM	logis
entier	ADJ	entier
avait	VER:impf	avoir
souffert	VER:pper	souffrir
de	PRP	de
la	DET:ART	le
fatigue	NOM	fatigue
du	PRP:det	du
maître	NOM	maître
,	PUN	,
avait	VER:impf	avoir
peiné	VER:pper	peiner
avec	PRP	avec
lui	PRO:PER	lui
,	PUN	,
prenant	VER:ppre	prendre
part	NOM	part
,	PUN	,
tous	PRO:IND	tout
les	DET:ART	le
jours	NOM	jour
,	PUN	,
à	PRP	à
sa	DET:POS	son
lutte	NOM	lutte
recommencée	VER:pper	recommencer
.	SENT	.
<EOS>	<EOS>	<EOS>
Une	DET:ART	un
vague	ADJ	vague
odeur	NOM	odeur
engourdissante	ADJ	engourdissant
de	PRP	de
peinture	NOM	peinture
,	PUN	,
de	PRP	de
térébenthine	NOM	térébenthine
et	KON	et
de	PRP	de
tabac	NOM	tabac
flottait	VER:impf	flotter
,	PUN	,
captée	VER:pper	capter
par	PRP	par
les	DET:ART	le
tapis	NOM	tapis
et	KON	et
les	DET:ART	le
sièges	NOM	siège
;	PUN	;
et	KON	et
aucun	PRO:IND	aucun
autre	ADJ	autre
bruit	NOM	bruit
ne	ADV	ne
troublait	VER:impf	troubler
le	DET:ART	le
lourd	ADJ	lourd
silence	NOM	silence
que	KON	que
les	DET:ART	le
cris	NOM	cri
vifs	ADJ	vif
et	KON	et
courts	ADJ	court
des	PRP:det	du
hirondelles	NOM	hirondelle
qui	PRO:REL	qui
passaient	VER:impf	passer
sur	PRP	sur
le	DET:ART	le
châssis	NOM	châssis
ouvert	ADJ	ouvert
,	PUN	,
et	KON	et
la	DET:ART	le
longue	ADJ	longue
rumeur	NOM	rumeur
confuse	ADJ	confus
de	PRP	de
Paris	NAM	paris
à	PRP	à
peine	NOM	peine
entendue	VER:pper	entendre
pardessus	NOM	pardessus
les	DET:ART	le
toits	NOM	toit
.	SENT	.
<EOS>	<EOS>	<EOS>
Rien	NOM	rien
ne	ADV	ne
remuait	VER:impf	remuer
que	ADV	que
la	DET:ART	le
montée	NOM	montée
intermittente	ADJ	intermittent
d'	PRP	de
un	DET:ART	un
petit	ADJ	petit
nuage	NOM	nuage
de	PRP	de
fumée	NOM	fumée
bleue	ADJ	bleu
s'	PRO:PER	se
élevant	VER:ppre	élever
vers	PRP	vers
le	DET:ART	le
plafond	NOM	plafond
à	PRP	à
chaque	PRO:IND	chaque
bouffée	NOM	bouffée
de	PRP	de
cigarette	NOM	cigarette
qu'	PRO:REL	que
Olivier	NAM	olivier
Bertin	NAM	bertin
,	PUN	,
allongé	VER:pper	allonger
sur	PRP	sur
son	DET:POS	son
divan	NOM	divan
,	PUN	,
soufflait	VER:impf	souffler
lentement	ADV	lentement
entre	PRP	entre
ses	DET:POS	son
lèvres	NOM	lèvre
.	SENT	.
<EOS>	<EOS>	<EOS>
Le	DET:ART	le
regard	NOM	regard
perdu	VER:pper	perdre
dans	PRP	dans
le	DET:ART	le
ciel	NOM	ciel
lointain	ADJ	lointain
,	PUN	,
il	PRO:PER	il
cherchait	VER:impf	chercher
le	DET:ART	le
sujet	NOM	sujet
d'	PRP	de
un	DET:ART	un
nouveau	ADJ	nouveau
tableau	NOM	tableau
.	SENT	.
<EOS>	<EOS>	<EOS>
Qu'	KON	que
allait-il	VER:subi	allait-il
faire	VER:infi	faire
?	SENT	?
<EOS>	<EOS>	<EOS>
Il	PRO:PER	il
n'	ADV	ne
en	PRO:PER	en
savait	VER:impf	savoir
rien	ADV	rien
encore	ADV	encore
.	SENT	.
<EOS>	<EOS>	<EOS>
Ce	PRO:DEM	ce
n'	ADV	ne
était	VER:impf	être
point	ADV	point
d'	PRP	de
ailleurs	ADV	ailleurs
un	DET:ART	un
artiste	NOM	artiste
résolu	ADJ	résolu
et	KON	et
sûr	ADJ	sûr
de	PRP	de
lui	PRO:PER	lui
,	PUN	,
mais	KON	mais
un	DET:ART	un
inquiet	ADJ	inquiet
dont	PRO:REL	dont
l'	DET:ART	le
inspiration	NOM	inspiration
indécise	ADJ	indécis
hésitait	VER:impf	hésiter
sans	PRP	sans
cesse	NOM	cesse
entre	PRP	entre
toutes	PRO:IND	tout
les	DET:ART	le
manifestations	NOM	manifestation
de	PRP	de
l'	DET:ART	le
art	NOM	art
.	SENT	.
<EOS>	<EOS>	<EOS>
Riche	ADJ	riche
,	PUN	,
illustre	ADJ	illustre
,	PUN	,
ayant	VER:ppre	avoir
conquis	VER:pper	conquérir
tous	PRO:IND	tout
les	DET:ART	le
honneurs	NOM	honneur
,	PUN	,
il	PRO:PER	il
demeurait	VER:impf	demeurer
,	PUN	,
vers	PRP	vers
la	DET:ART	le
fin	NOM	fin
de	PRP	de
sa	DET:POS	son
vie	NOM	vie
,	PUN	,
l'	DET:ART	le
homme	NOM	homme
qui	PRO:REL	qui
ne	ADV	ne
sait	VER:pres	savoir
pas	ADV	pas
encore	ADV	encore
au	PRP:det	au
juste	NOM	juste
vers	PRP	vers
quel	PRO:REL	quel
idéal	ADJ	idéal
il	PRO:PER	il
a	VER:pres	avoir
marché	VER:pper	marcher
.	SENT	.
<EOS>	<EOS>	<EOS>
Il	PRO:PER	il
avait	VER:impf	avoir
été	VER:pper	être
prix	NOM	prix
de	PRP	de
Rome	NAM	rome
,	PUN	,
défenseur	NOM	défenseur
des	PRP:det	du
traditions	NOM	tradition
,	PUN	,
évocateur	ADJ	évocateur
,	PUN	,
après	PRP	après
tant	ADV	tant
d'	PRP	de
autres	ADJ	autre
,	PUN	,
des	PRP:det	du
grandes	ADJ	grand
scènes	NOM	scène
de	PRP	de
l'	DET:ART	le
histoire	NOM	histoire
;	PUN	;
puis	ADV	puis
,	PUN	,
modernisant	VER:ppre	moderniser
ses	DET:POS	son
tendances	NOM	tendance
,	PUN	,
il	PRO:PER	il
avait	VER:impf	avoir
peint	VER:pper	peindre
des	PRP:det	du
hommes	NOM	homme
vivants	ADJ	vivant
avec	PRP	avec
des	PRP:det	du
souvenirs	NOM	souvenir
classiques	ADJ	classique
.	SENT	.
<EOS>	<EOS>	<EOS>
Intelligent	ADJ	intelligent
,	PUN	,
enthousiaste	ADJ	enthousiaste
,	PUN	,
travailleur	NOM	travailleur
tenace	ADJ	tenace
au	PRP:det	au
rêve	NOM	rêve
changeant	ADJ	changeant
,	PUN	,
épris	VER:pper	éprendre
de	PRP	de
son	DET:POS	son
art	NOM	art
qu'	PRO:REL	que
il	PRO:PER	il
connaissait	VER:impf	connaître
à	PRP	à
merveille	NOM	merveille
,	PUN	,
il	PRO:PER	il
avait	VER:impf	avoir
acquis	VER:pper	acquérir
,	PUN	,
grâce	NOM	grâce
à	PRP	à
la	DET:ART	le
finesse	NOM	finesse
de	PRP	de
son	DET:POS	son
esprit	NOM	esprit
,	PUN	,
des	PRP:det	du
qualités	NOM	qualité
d'	PRP	de
exécution	NOM	exécution
remarquables	ADJ	remarquable
et	KON	et
une	DET:ART	un
grande	ADJ	grand
souplesse	NOM	souplesse
de	PRP	de
talent	NOM	talent
née	VER:pper	naître
en	PRP	en
partie	NOM	partie
de	PRP	de
ses	DET:POS	son
hésitations	NOM	hésitation
et	KON	et
de	PRP	de
ses	DET:POS	son
tentatives	NOM	tentative
dans	PRP	dans
tous	PRO:IND	tout
les	DET:ART	le
genres	NOM	genre
.	SENT	.
<EOS>	<EOS>	<EOS>
Peut-être	ADV	peut-être
aussi	ADV	aussi
l'	DET:ART	le
engouement	NOM	engouement
brusque	ADJ	brusque
du	PRP:det	du
monde	NOM	monde
pour	PRP	pour
ses	DET:POS	son
œuvres	NOM	œuvre
élégantes	ADJ	élégant
,	PUN	,
distinguées	ADJ	distingué
et	KON	et
correctes	ADJ	correct
,	PUN	,
avait-il	NOM	avait-il
influencé	VER:pper	influencer
sa	DET:POS	son
nature	NOM	nature
en	PRP	en
l'	DET:ART	le
empêchant	VER:ppre	empêcher
d'	PRP	de
être	VER:infi	être
ce	PRO:DEM	ce
qu'	PRO:REL	que
il	PRO:PER	il
serait	VER:cond	être
normalement	ADV	normalement
devenu	VER:pper	devenir
.	SENT	.
<EOS>	<EOS>	<EOS>
Depuis	PRP	depuis
le	DET:ART	le
triomphe	NOM	triomphe
