I	NUM	i
Le	DET:ART	le
docteur	NOM	docteur
Davidoff	NAM	davidoff
,	PUN	,
d'	PRP	de
un	DET:ART	un
air	NOM	air
inspiré	VER:pper	inspirer
,	PUN	,
tournant	VER:ppre	tourner
vers	PRP	vers
les	DET:ART	le
convives	NOM	convive
du	PRP:det	du
prince	NOM	prince
Patrizzi	NAM	patrizzi
son	DET:POS	son
visage	NOM	visage
aux	PRP:det	au
traits	NOM	trait
rudes	ADJ	rude
et	KON	et
tourmentés	VER:pper	tourmenter
,	PUN	,
laissa	VER:simp	laisser
,	PUN	,
au	PRP:det	au
milieu	NOM	milieu
de	PRP	de
la	DET:ART	le
discussion	NOM	discussion
,	PUN	,
tomber	VER:infi	tomber
ces	PRO:DEM	ce
surprenantes	ADJ	surprenant
paroles	NOM	parole
:	PUN	:
--Et	ADJ	--et
vous	PRO:PER	vous
,	PUN	,
croyez	VER:pres	croire
-vous	PRO:PER	vous
à	PRP	à
la	DET:ART	le
puissance	NOM	puissance
d'	PRP	de
une	DET:ART	un
suggestion	NOM	suggestion
répétée	VER:pper	répéter
,	PUN	,
qui	PRO:REL	qui
fait	VER:pres	faire
entrer	VER:infi	entrer
une	DET:ART	un
idée	NOM	idée
dans	PRP	dans
votre	DET:POS	votre
cerveau	NOM	cerveau
,	PUN	,
aiguë	ADJ	aiguë
et	KON	et
persistante	ADJ	persistant
comme	KON	comme
la	DET:ART	le
pointe	NOM	pointe
d'	PRP	de
une	DET:ART	un
vrille	NOM	vrille
?	SENT	?
<EOS>	<EOS>	<EOS>
Croyez	VER:pres	croire
-vous	PRO:PER	vous
que	PRO:REL	que
cette	PRO:DEM	ce
idée	NOM	idée
puisse	VER:subp	pouvoir
influer	VER:infi	influer
sur	PRP	sur
votre	DET:POS	votre
état	NOM	état
moral	ADJ	moral
,	PUN	,
jusqu'	PRP	jusque
à	PRP	à
modifier	VER:infi	modifier
votre	DET:POS	votre
état	NOM	état
physique	ADJ	physique
,	PUN	,
car	KON	car
vous	PRO:PER	vous
me	PRO:PER	me
concéderez	VER:futu	concéder
bien	ADV	bien
,	PUN	,
n'	ADV	ne
est	VER:pres	être
-ce	PRO:DEM	ce
pas	NOM	pas
,	PUN	,
que	KON	que
le	DET:ART	le
moral	ADJ	moral
a	VER:pres	avoir
une	DET:ART	un
action	NOM	action
souveraine	ADJ	souverain
et	KON	et
décisive	ADJ	décisif
sur	PRP	sur
le	DET:ART	le
physique	ADJ	physique
?	SENT	?
...	PUN	...
<EOS>	<EOS>	<EOS>
--Nous	NOM	--nous
vous	PRO:PER	vous
le	PRO:PER	le
concédons	VER:pres	concéder
,	PUN	,
répondit	VER:simp	répondre
