I	NUM	i
Dans	ABR	dans
un	NUM	un
de	PRP	de
ces	PRO:DEM	ce
charmants	ADJ	charmant
chemins	NOM	chemin
creux	ADJ	creux
de	PRP	de
Normandie	NAM	normandie
,	PUN	,
serpentant	VER:ppre	serpenter
entre	PRP	entre
les	DET:ART	le
levées	NOM	levée
,	PUN	,
plantées	VER:pper	planter
de	PRP	de
grands	ADJ	grand
arbres	NOM	arbre
,	PUN	,
qui	PRO:REL	qui
entourent	VER:pres	entourer
les	DET:ART	le
fermes	NOM	ferme
d'	PRP	de
un	DET:ART	un
rempart	NOM	rempart
de	PRP	de
verdure	NOM	verdure
impénétrable	ADJ	impénétrable
au	PRP:det	au
vent	NOM	vent
et	KON	et
au	PRP:det	au
soleil	NOM	soleil
,	PUN	,
par	PRP	par
une	DET:ART	un
belle	ADJ	beau
matinée	NOM	matinée
d'	PRP	de
été	NOM	été
,	PUN	,
une	DET:ART	un
amazone	NOM	amazone
,	PUN	,
montée	VER:pper	monter
sur	PRP	sur
une	DET:ART	un
jument	NOM	jument
de	PRP	de
forme	NOM	forme
assez	ADV	assez
médiocre	ADJ	médiocre
,	PUN	,
s'	PRO:PER	se
avançait	VER:impf	avancer
au	PRP:det	au
pas	NOM	pas
,	PUN	,
les	DET:ART	le
rênes	NOM	rêne
abandonnées	VER:pper	abandonner
,	PUN	,
rêveuse	ADJ	rêveur
,	PUN	,
respirant	VER:ppre	respirer
l'	DET:ART	le
air	NOM	air
tiède	ADJ	tiède
,	PUN	,
embaumé	VER:pper	embaumer
du	PRP:det	du
parfum	NOM	parfum
des	PRP:det	du
trèfles	NOM	trèfle
en	PRP	en
fleurs	NOM	fleur
.	SENT	.
<EOS>	<EOS>	<EOS>
Avec	PRP	avec
son	DET:POS	son
chapeau	NOM	chapeau
de	PRP	de
feutre	NOM	feutre
noir	ADJ	noir
entouré	VER:pper	entourer
d'	PRP	de
un	DET:ART	un
voile	NOM	voile
de	PRP	de
gaze	NOM	gaze
blanche	ADJ	blanc
,	PUN	,
son	DET:POS	son
costume	NOM	costume
de	PRP	de
drap	NOM	drap
gris	ADJ	gris
fer	NOM	fer
à	PRP	à
longue	ADJ	longue
jupe	NOM	jupe
,	PUN	,
elle	PRO:PER	elle
avait	VER:impf	avoir
fière	ADJ	fier
tournure	NOM	tournure
.	SENT	.
<EOS>	<EOS>	<EOS>
On	PRO:PER	on
eût	VER:subi	avoir
dit	VER:pper	dire
une	NUM	un
de	PRP	de
ces	PRO:DEM	ce
aventureuses	ADJ	aventureux
grandes	ADJ	grand
dames	NOM	dame
qui	PRO:REL	qui
,	PUN	,
au	PRP:det	au
temps	NOM	temps
de	PRP	de
Stofflet	NAM	stofflet
et	KON	et
de	PRP	de
Cathelineau	NAM	cathelineau
,	PUN	,
suivaient	VER:impf	suivre
hardiment	ADV	hardiment
l'	DET:ART	le
armée	NOM	armée
royaliste	ADJ	royaliste
,	PUN	,
dans	PRP	dans
les	DET:ART	le
traînes	NOM	traîne
du	PRP:det	du
Bocage	NOM	bocage
,	PUN	,
et	KON	et
éclairaient	VER:impf	éclairer
de	PRP	de
leur	PRO:PER	lui
sourire	VER:infi	sourire
la	DET:ART	le
sombre	ADJ	sombre
épopée	NOM	épopée
vendéenne	ADJ	vendéen
.	SENT	.
<EOS>	<EOS>	<EOS>
Élégante	ADJ	élégant
et	KON	et
svelte	ADJ	svelte
,	PUN	,
elle	PRO:PER	elle
se	PRO:PER	se
laissait	VER:impf	laisser
aller	VER:infi	aller
