I	NUM	i
Le	DET:ART	le
jour	NOM	jour
déclinait	VER:impf	décliner
,	PUN	,
assombrissant	VER:ppre	assombrir
les	DET:ART	le
corridors	NOM	corridor
de	PRP	de
la	DET:ART	le
grande	ADJ	grand
demeure	NOM	demeure
silencieuse	ADJ	silencieux
,	PUN	,
mettant	VER:ppre	mettre
des	PRP:det	du
écrans	NOM	écran
de	PRP	de
crêpe	NOM	crêpe
aux	PRP:det	au
vitres	NOM	vitre
.	SENT	.
<EOS>	<EOS>	<EOS>
Hugues	NAM	hugues
Viane	NAM	viane
se	PRO:PER	se
disposa	VER:simp	disposer
à	PRP	à
sortir	VER:infi	sortir
,	PUN	,
comme	KON	comme
il	PRO:PER	il
en	PRO:PER	en
avait	VER:impf	avoir
l'	DET:ART	le
habitude	NOM	habitude
quotidienne	ADJ	quotidien
à	PRP	à
la	DET:ART	le
fin	NOM	fin
des	PRP:det	du
après-midi	NOM	après-midi
.	SENT	.
<EOS>	<EOS>	<EOS>
Inoccupé	ADJ	inoccupé
,	PUN	,
solitaire	ADJ	solitaire
,	PUN	,
il	PRO:PER	il
passait	VER:impf	passer
toute	PRO:IND	tout
la	DET:ART	le
journée	NOM	journée
dans	PRP	dans
sa	DET:POS	son
chambre	NOM	chambre
,	PUN	,
une	DET:ART	un
vaste	ADJ	vaste
pièce	NOM	pièce
au	PRP:det	au
premier	NUM	premier
étage	NOM	étage
,	PUN	,
dont	PRO:REL	dont
les	DET:ART	le
fenêtres	NOM	fenêtre
donnaient	VER:impf	donner
sur	PRP	sur
le	DET:ART	le
quai	NOM	quai
du	PRP:det	du
Rosaire	NOM	rosaire
,	PUN	,
au	PRP:det	au
long	NOM	long
duquel	PRO:REL	duquel
s'	PRO:PER	se
alignait	VER:impf	aligner
sa	DET:POS	son
maison	NOM	maison
,	PUN	,
mirée	VER:pper	mirer
dans	PRP	dans
l'	DET:ART	le
eau	NOM	eau
.	SENT	.
<EOS>	<EOS>	<EOS>
Il	PRO:PER	il
lisait	VER:impf	lire|liser
un	DET:ART	un
peu	ADV	peu
:	PUN	:
des	PRP:det	du
revues	NOM	revue
,	PUN	,
de	PRP	de
vieux	ADJ	vieux
livres	NOM	livre
;	PUN	;
fumait	VER:impf	fumer
beaucoup	ADV	beaucoup
;	PUN	;
rêvassait	VER:impf	rêvasser
à	PRP	à
la	DET:ART	le
croisée	NOM	croisée
ouverte	ADJ	ouvert
par	PRP	par
les	DET:ART	le
temps	NOM	temps
gris	ADJ	gris
,	PUN	,
perdu	VER:pper	perdre
dans	PRP	dans
ses	DET:POS	son
souvenirs	NOM	souvenir
.	SENT	.
<EOS>	<EOS>	<EOS>
Voilà	ADV	voilà
cinq	NUM	cinq
ans	NOM	an
qu'	PRO:REL	que
il	PRO:PER	il
vivait	VER:impf	vivre
ainsi	ADV	ainsi
,	PUN	,
depuis	PRP	depuis
qu'	PRO:REL	que
il	PRO:PER	il
était	VER:impf	être
venu	VER:pper	venir
se	PRO:PER	se
fixer	VER:infi	fixer
à	PRP	à
Bruges	NAM	bruges
,	PUN	,
au	PRP:det	au
lendemain	NOM	lendemain
de	PRP	de
la	DET:ART	le
mort	NOM	mort
de	PRP	de
sa	DET:POS	son
femme	NOM	femme
.	SENT	.
<EOS>	<EOS>	<EOS>
Cinq	NUM	cinq
ans	NOM	an
déjà	ADV	déjà
!	SENT	!
<EOS>	<EOS>	<EOS>
Et	KON	et
il	PRO:PER	il
se	PRO:PER	se
répétait	VER:impf	répéter
à	PRP	à
lui	PRO:PER	lui
-même	ADJ	même
:	PUN	:
«	PUN:cit	«
Veuf	NAM	veuf
!	SENT	!
<EOS>	<EOS>	<EOS>
Être	VER:infi	être
veuf	ADJ	veuf
!	SENT	!
<EOS>	<EOS>	<EOS>
Je	PRO:PER	je
suis	VER:pres	suivre|être
le	DET:ART	le
veuf	NOM	veuf
!	SENT	!
<EOS>	<EOS>	<EOS>
»	PUN:cit	»
Mot	NOM	mot
irrémédiable	ADJ	irrémédiable
et	KON	et
bref	ADJ	bref
!	SENT	!
<EOS>	<EOS>	<EOS>
d'	PRP	de
une	DET:ART	un
seule	ADJ	seul
syllabe	NOM	syllabe
,	PUN	,
sans	PRP	sans
écho	NOM	écho
.	SENT	.
<EOS>	<EOS>	<EOS>
Mot	NOM	mot
impair	ADJ	impair
et	KON	et
qui	PRO:REL	qui
désigne	VER:pres	désigner
bien	ADV	bien
l'	DET:ART	le
être	NOM	être
dépareillé	VER:pper	dépareiller
.	SENT	.
<EOS>	<EOS>	<EOS>
Pour	PRP	pour
lui	PRO:PER	lui
,	PUN	,
la	DET:ART	le
séparation	NOM	séparation
avait	VER:impf	avoir
été	VER:pper	être
terrible	ADJ	terrible
:	PUN	:
il	PRO:PER	il
avait	VER:impf	avoir
connu	VER:pper	connaître
l'	DET:ART	le
amour	NOM	amour
dans	PRP	dans
