CHAPITRE	NOM	chapitre
I	NUM	i
Au	ABR	au
milieu	NOM	milieu
du	PRP:det	du
grand	ADJ	grand
silence	NOM	silence
,	PUN	,
et	KON	et
dans	PRP	dans
le	DET:ART	le
désert	NOM	désert
de	PRP	de
l'	DET:ART	le
avenue	NOM	avenue
,	PUN	,
les	DET:ART	le
voitures	NOM	voiture
de	PRP	de
maraîchers	NOM	maraîcher
montaient	VER:impf	monter
vers	PRP	vers
Paris	NAM	paris
,	PUN	,
avec	PRP	avec
les	DET:ART	le
cahots	NOM	cahot
rythmés	VER:pper	rythmer
de	PRP	de
leurs	DET:POS	leur
roues	NOM	roue
,	PUN	,
dont	PRO:REL	dont
les	DET:ART	le
échos	NOM	écho
battaient	VER:impf	battre
les	DET:ART	le
façades	NOM	façade
des	PRP:det	du
maisons	NOM	maison
,	PUN	,
endormies	VER:pper	endormir
aux	PRP:det	au
deux	NUM	deux
bords	NOM	bord
,	PUN	,
derrière	PRP	derrière
les	DET:ART	le
lignes	NOM	ligne
confuses	ADJ	confus
des	PRP:det	du
ormes	NOM	orme
.	SENT	.
<EOS>	<EOS>	<EOS>
Un	DET:ART	un
tombereau	NOM	tombereau
de	PRP	de
choux	NOM	chou
et	KON	et
un	DET:ART	un
tombereau	NOM	tombereau
de	PRP	de
pois	NOM	pois
,	PUN	,
au	PRP:det	au
pont	NOM	pont
de	PRP	de
Neuilly	NAM	neuilly
,	PUN	,
s'	PRO:PER	se
étaient	VER:impf	être
joints	VER:pper	joindre
aux	PRP:det	au
huit	NUM	huit
voitures	NOM	voiture
de	PRP	de
navets	NOM	navet
et	KON	et
de	PRP	de
carottes	NOM	carotte
qui	PRO:REL	qui
descendaient	VER:impf	descendre
de	PRP	de
Nanterre	NAM	nanterre
;	PUN	;
et	KON	et
les	DET:ART	le
chevaux	NOM	cheval
allaient	VER:impf	aller
tout	ADV	tout
seuls	ADJ	seul
,	PUN	,
la	DET:ART	le
tête	NOM	tête
basse	ADJ	bas
,	PUN	,
de	PRP	de
leur	DET:POS	leur
allure	NOM	allure
continue	ADJ	continu
et	KON	et
paresseuse	ADJ	paresseux
,	PUN	,
que	KON	que
la	DET:ART	le
montée	NOM	montée
ralentissait	VER:impf	ralentir
encore	ADV	encore
.	SENT	.
<EOS>	<EOS>	<EOS>
En	PRP	en
haut	ADV	haut
,	PUN	,
sur	PRP	sur
la	DET:ART	le
charge	NOM	charge
des	PRP:det	du
légumes	NOM	légume
,	PUN	,
allongés	VER:pper	allonger
à	PRP	à
plat	ADJ	plat
ventre	NOM	ventre
,	PUN	,
couverts	VER:pper	couvrir
de	PRP	de
leur	DET:POS	leur
limousine	NOM	limousine
à	PRP	à
petites	ADJ	petit
raies	NOM	raie
noires	ADJ	noir
et	KON	et
grises	ADJ	gris
,	PUN	,
les	DET:ART	le
charretiers	NOM	charretier
sommeillaient	VER:impf	sommeiller
,	PUN	,
les	DET:ART	le
guides	NOM	guide|guides
aux	PRP:det	au
poignets	NOM	poignet
.	SENT	.
<EOS>	<EOS>	<EOS>
Un	DET:ART	un
bec	NOM	bec
de	PRP	de
gaz	NOM	gaz
,	PUN	,
au	PRP:det	au
sortir	NOM	sortir
d'	PRP	de
une	DET:ART	un
nappe	NOM	nappe
d'	PRP	de
ombre	NOM	ombre
,	PUN	,
éclairait	VER:impf	éclairer
les	DET:ART	le
clous	NOM	clou
d'	PRP	de
un	DET:ART	un
soulier	NOM	soulier
,	PUN	,
la	DET:ART	le
manche	NOM	manche
bleue	ADJ	bleu
d'	PRP	de
une	DET:ART	un
blouse	NOM	blouse
,	PUN	,
le	DET:ART	le
bout	NOM	bout
d'	PRP	de
une	DET:ART	un
casquette	NOM	casquette
,	PUN	,
entrevus	VER:pper	entrevoir
dans	PRP	dans
cette	PRO:DEM	ce
floraison	NOM	floraison
énorme	ADJ	énorme
des	PRP:det	du
bouquets	NOM	bouquet
rouges	ADJ	rouge
des	PRP:det	du
carottes	NOM	carotte
,	PUN	,
des	PRP:det	du
bouquets	NOM	bouquet
blancs	ADJ	blanc
des	PRP:det	du
navets	NOM	navet
,	PUN	,
des	PRP:det	du
verdures	NOM	verdure
débordantes	ADJ	débordant
des	PRP:det	du
pois	NOM	pois
et	KON	et
des	PRP:det	du
choux	NOM	chou
.	SENT	.
<EOS>	<EOS>	<EOS>
Et	KON	et
,	PUN	,
sur	PRP	sur
la	DET:ART	le
route	NOM	route
,	PUN	,
sur	PRP	sur
les	DET:ART	le
routes	NOM	route
voisines	ADJ	voisin
,	PUN	,
en	PRP	en
avant	PRP	avant
et	KON	et
en	PRO:PER	en
arrière	VER:subp	arriérer
,	PUN	,
des	PRP:det	du
ronflements	NOM	ronflement
lointains	ADJ	lointain
de	PRP	de
charrois	NOM	charroi
annonçaient	VER:impf	annoncer
des	PRP:det	du
convois	NOM	convoi
pareils	ADJ	pareil
,	PUN	,
tout	PRO:IND	tout
un	DET:ART	un
arrivage	NOM	arrivage
traversant	VER:ppre	traverser
les	DET:ART	le
ténèbres	NOM	ténèbre
et	KON	et
le	DET:ART	le
gros	ADJ	gros
sommeil	NOM	sommeil
de	PRP	de
deux	NUM	deux
heures	NOM	heure
du	PRP:det	du
matin	NOM	matin
,	PUN	,
berçant	VER:ppre	bercer
la	DET:ART	le
ville	NOM	ville
noire	ADJ	noir
du	PRP:det	du
bruit	NOM	bruit
de	PRP	de
cette	PRO:DEM	ce
nourriture	NOM	nourriture
qui	PRO:REL	qui
passait	VER:impf	passer
.	SENT	.
<EOS>	<EOS>	<EOS>
Balthazar	NOM	balthazar
,	PUN	,
le	DET:ART	le
cheval	NOM	cheval
de	PRP	de
madame	NOM	madame
François	NAM	françois
,	PUN	,
une	DET:ART	un
bête	NOM	bête
trop	ADV	trop
grasse	ADJ	gras
,	PUN	,
tenait	VER:impf	tenir
la	DET:ART	le
tête	NOM	tête
de	PRP	de
la	DET:ART	le
file	NOM	file
.	SENT	.
<EOS>	<EOS>	<EOS>
Il	PRO:PER	il
marchait	VER:impf	marcher
,	PUN	,
dormant	VER:ppre	dormir
à	PRP	à
demi	NOM	demi
,	PUN	,
dodelinant	VER:ppre	dodeliner
des	PRP:det	du
oreilles	NOM	oreille
,	PUN	,
lorsque	KON	lorsque
,	PUN	,
à	PRP	à
la	DET:ART	le
hauteur	NOM	hauteur
de	PRP	de
la	DET:ART	le
rue	NOM	rue
de	PRP	de
Longchamp	NAM	longchamp
,	PUN	,
un	DET:ART	un
sursaut	NOM	sursaut
de	PRP	de
peur	NOM	peur
le	PRO:PER	le
planta	VER:simp	planter
net	ADV	net
sur	PRP	sur
ses	DET:POS	son
quatre	NUM	quatre
pieds	NOM	pied
.	SENT	.
<EOS>	<EOS>	<EOS>
Les	DET:ART	le
autres	ADJ	autre
bêtes	NOM	bête
vinrent	VER:simp	venir
donner	VER:infi	donner
de	PRP	de
la	DET:ART	le
tête	NOM	tête
contre	PRP	contre
le	DET:ART	le
cul	NOM	cul
des	PRP:det	du
voitures	NOM	voiture
,	PUN	,
et	KON	et
la	DET:ART	le
file	NOM	file
s'	PRO:PER	se
arrêta	VER:simp	arrêter
,	PUN	,
avec	PRP	avec
la	DET:ART	le
secousse	NOM	secousse
des	PRP:det	du
ferrailles	NOM	ferraille
,	PUN	,
au	PRP:det	au
milieu	NOM	milieu
des	PRP:det	du
jurements	NOM	jurement
des	PRP:det	du
charretiers	NOM	charretier
réveillés	VER:pper	réveiller
.	SENT	.
<EOS>	<EOS>	<EOS>
Madame	NAM	madame
François	NAM	françois
,	PUN	,
adossée	VER:pper	adosser
à	PRP	à
une	DET:ART	un
planchette	NOM	planchette
contre	PRP	contre
ses	DET:POS	son
légumes	NOM	légume
,	PUN	,
regardait	VER:impf	regarder
,	PUN	,
ne	ADV	ne
voyait	VER:impf	voir
rien	ADV	rien
,	PUN	,
dans	PRP	dans
la	DET:ART	le
maigre	ADJ	maigre
lueur	NOM	lueur
jetée	VER:pper	jeter
à	PRP	à
gauche	ADJ	gauche
par	PRP	par
la	DET:ART	le
petite	ADJ	petit
lanterne	NOM	lanterne
carrée	VER:pper	carrer
,	PUN	,
qui	PRO:REL	qui
n'	ADV	ne
éclairait	VER:impf	éclairer
guère	ADV	guère
qu'	KON	que
un	DET:ART	un
des	PRP:det	du
flancs	NOM	flanc
