I	NUM	i
--	PUNCT	--
Comment	NOUN	comment
un	DET	un
démon	NOUN	démon
tomba	VERB	tomber
du	ADP	du
ciel	NOUN	ciel
et	CONJ	et
comment	ADV	comment
il	PRON	il
fut	VERB	être
accueilli	VERB	accueillir
sur	ADP	sur
la	DET	le
terre	NOUN	terre
Le	DET	le
nouveau	ADJ	nouveau
récit	NOUN	récit
que	PRON	que
nous	PRON	nous
entreprenons	VERB	entreprendre
aujourd'hui	ADV	aujourd'hui
de	ADP	de
faire	VERB	faire
à	ADP	à
nos	PRON	notre
lecteurs	NOUN	lecteur
se	PRON	se
déroule	VERB	dérouler
tout	ADV	tout
entier	ADJ	entier
dans	ADP	dans
l	NOUN	l
'	PUNCT	'
Arizona	NOUN	arizona
,	PUNCT	,
ancienne	ADJ	ancien
province	NOUN	province
du	ADP	du
Mexique	NOUN	mexique
,	PUNCT	,
annexée	VERB	annexer
par	ADP	par
les	DET	le
États-Unis	NOUN	états-unis
,	PUNCT	,
après	ADP	après
tant	ADV	tant
d'	ADP	de
autres	ADJ	autre
,	PUNCT	,
à	ADP	à
leur	PRON	leur
colossale	ADJ	colossal
confédération	NOUN	confédération
,	PUNCT	,
sans	ADP	sans
autre	ADJ	autre
droit	NOUN	droit
que	CONJ	que
celui	PRON	celui
de	ADP	de
la	DET	le
force	NOUN	force
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Toutes	PRON	tout
les	DET	le
tentatives	NOUN	tentative
des	ADP	du
Anglo-Saxons	NOUN	anglo-saxon
pour	ADP	pour
faire	VERB	faire
pénétrer	VERB	pénétrer
la	DET	le
civilisation	NOUN	civilisation
moderne	ADJ	moderne
dans	ADP	dans
cette	PRON	ce
terre	NOUN	terre
rebelle	ADJ	rebelle
furent	VERB	être
faites	VERB	faire
en	ADP	en
pure	ADJ	pur
perte	NOUN	perte
;	PUNCT	;
le	DET	le
gouvernement	NOUN	gouvernement
de	ADP	de
Washington	NOUN	washington
fut	VERB	être
contraint	VERB	contraindre
d'	ADP	de
y	PRON	y
renoncer	VERB	renoncer
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Aussi	ADV	aussi
aujourd'hui	ADV	aujourd'hui
l'	DET	le
Arizona	NOUN	arizona
est-elle	ADJ	est-elle
restée	VERB	rester
ce	PRON	ce
qu'	PRON	que
elle	PRON	elle
était	VERB	être
lorsqu'	CONJ	lorsque
elle	PRON	elle
se	PRON	se
nommait	VERB	nommer
Cibola	NOUN	cibola
et	CONJ	et
que	CONJ	que
Cabeza	NOUN	cabeza
de	ADP	de
Vacca	NOUN	vacca
la	PRON	la
découvrit	VERB	découvrir
au	ADP	au
prix	NOUN	prix
de	ADP	de
fatigues	NOUN	fatigue
et	CONJ	et
de	ADP	de
périls	NOUN	péril
terribles	ADJ	terrible
;	PUNCT	;
c'	PRON	ce
est-à-dire	ADV	est-à-dire
une	DET	un
contrée	NOUN	contrée
mystérieuse	ADJ	mystérieux
,	PUNCT	,
pleine	ADJ	plein
de	ADP	de
légendes	NOUN	légende
sinistres	ADJ	sinistre
,	PUNCT	,
de	ADP	de
prodiges	NOUN	prodige
effrayants	ADJ	effrayant
et	CONJ	et
inexpliqués	ADJ	inexpliqué
;	PUNCT	;
peuplée	VERB	peupler
d'	ADP	de
animaux	NOUN	animal
inconnus	ADJ	inconnu
et	CONJ	et
féroces	ADJ	féroce
,	PUNCT	,
ne	ADV	ne
ressemblant	ADJ	ressemblant
à	ADP	à
aucuns	PRON	aucun
autres	ADJ	autre
;	PUNCT	;
dont	PRON	dont
le	DET	le
sol	NOUN	sol
bouleversé	VERB	bouleverser
est	VERB	être
rempli	VERB	remplir
de	ADP	de
ruines	NOUN	ruine
de	ADP	de
toutes	PRON	tout
sortes	NOUN	sorte
laissées	VERB	laisser
par	ADP	par
des	ADP	du
peuples	NOUN	peuple
inconnus	ADJ	inconnu
et	CONJ	et
qui	PRON	qui
depuis	ADP	depuis
des	ADP	du
siècles	NOUN	siècle
ont	VERB	avoir
disparu	VERB	disparaître
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Aussi	ADV	aussi
les	DET	le
plus	ADV	plus
braves	ADJ	brave
coureurs	NOUN	coureur
des	ADP	du
bois	NOUN	bois
ne	ADV	ne
se	PRON	se
risquent	VERB	risquer
