Prologue	NOUN	prologue
--	PUNCT	--
Le	DET	le
maudit	NOUN	maudit
I	NUM	i
--	PUNCT	--
Hermosillo	NOUN	hermosillo
Le	DET	le
voyageur	NOUN	voyageur
qui	PRON	qui
pour	ADP	pour
la	DET	le
première	NUM	premier
fois	NOUN	fois
débarque	VERB	débarquer
dans	ADP	dans
l'	DET	le
Amérique	NOUN	amérique
du	ADP	du
Sud	NOUN	sud
éprouve	VERB	éprouver
malgré	ADP	malgré
lui	PRON	lui
un	DET	un
sentiment	NOUN	sentiment
de	ADP	de
tristesse	NOUN	tristesse
indéfinissable	ADJ	indéfinissable
.	PUNCT	.
<EOS>	<EOS>	<EOS>
En	ADP	en
effet	NOUN	effet
,	PUNCT	,
l'	DET	le
histoire	NOUN	histoire
du	ADP	du
Nouveau	NOUN	nouveau
Monde	NOUN	monde
n'	ADV	ne
est	VERB	être
qu'	CONJ	que
un	DET	un
lamentable	ADJ	lamentable
martyrologe	NOUN	martyrologe
,	PUNCT	,
dans	ADP	dans
lequel	PRON	lequel
le	DET	le
fanatisme	NOUN	fanatisme
et	CONJ	et
la	DET	le
cupidité	NOUN	cupidité
marchent	VERB	marcher
continuellement	ADV	continuellement
côte	NOUN	côte
à	ADP	à
côte	NOUN	côte
.	PUNCT	.
<EOS>	<EOS>	<EOS>
La	DET	le
recherche	NOUN	recherche
de	ADP	de
l'	DET	le
or	NOUN	or
fut	VERB	être
l'	DET	le
origine	NOUN	origine
de	ADP	de
la	DET	le
découverte	NOUN	découverte
du	ADP	du
Nouveau	NOUN	nouveau
Monde	NOUN	monde
;	PUNCT	;
cet	PRON	ce
or	NOUN	or
une	DET	un
fois	NOUN	fois
trouvé	VERB	trouver
,	PUNCT	,
l'	DET	le
Amérique	NOUN	amérique
ne	ADV	ne
fut	VERB	être
plus	ADV	plus
pour	ADP	pour
ses	PRON	son
conquérants	NOUN	conquérant
qu'	CONJ	que
une	DET	un
étape	NOUN	étape
où	PRON	où
