Chapitre	NOUN	chapitre
I	NUM	i
Vous	NOUN	vous
est-il	ADJ	est-il
arrivé	VERB	arriver
,	PUNCT	,
le	DET	le
soir	NOUN	soir
,	PUNCT	,
vers	ADP	vers
minuit	NOUN	minuit
,	PUNCT	,
de	ADP	de
manquer	VERB	manquer
le	DET	le
dernier	ADJ	dernier
omnibus	NOUN	omnibus
de	ADP	de
la	DET	le
ligne	NOUN	ligne
qui	PRON	qui
conduit	VERB	conduire
à	ADP	à
votre	PRON	votre
domicile	NOUN	domicile
?	PUNCT	?
<EOS>	<EOS>	<EOS>
Si	CONJ	si
vous	PRON	vous
n'	ADV	ne
êtes	VERB	être
pas	ADV	pas
obligé	VERB	obliger
de	ADP	de
régler	VERB	régler
strictement	ADV	strictement
vos	PRON	votre
dépenses	NOUN	dépense
sur	ADP	sur
votre	PRON	votre
budget	NOUN	budget
de	ADP	de
recettes	NOUN	recette
,	PUNCT	,
vous	PRON	vous
en	PRON	en
avez	VERB	avoir
été	VERB	être
quitte	ADJ	quitte
pour	ADP	pour
prendre	VERB	prendre
un	DET	un
fiacre	NOUN	fiacre
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Mais	CONJ	mais
si	ADV	si
,	PUNCT	,
au	ADP	au
contraire	NOUN	contraire
,	PUNCT	,
votre	PRON	votre
modeste	ADJ	modeste
fortune	NOUN	fortune
vous	PRON	vous
interdit	VERB	interdire
ce	PRON	ce
léger	ADJ	léger
extra	NOUN	extra
,	PUNCT	,
il	PRON	il
vous	PRON	vous
a	VERB	avoir
fallu	VERB	falloir
revenir	VERB	revenir
à	ADP	à
pied	NOUN	pied
,	PUNCT	,
traverser	VERB	traverser
Paris	NOUN	paris
en	ADP	en
pataugeant	VERB	patauger
dans	ADP	dans
la	DET	le
boue	NOUN	boue
,	PUNCT	,
quelquefois	ADV	quelquefois
sous	ADP	sous
une	DET	un
pluie	NOUN	pluie
battante	ADJ	battant
,	PUNCT	,
et	CONJ	et
vous	PRON	vous
avez	VERB	avoir
cent	NUM	cent
fois	NOUN	fois
en	ADP	en
route	NOUN	route
maugréé	VERB	maugréer
contre	ADP	contre
la	DET	le
Compagnie	NOUN	compagnie
qui	PRON	qui
n'	ADV	ne
en	PRON	en
peut	VERB	pouvoir
mais	CONJ	mais
,	PUNCT	,
car	CONJ	car
il	PRON	il
faut	VERB	falloir
bien	ADV	bien
qu'	CONJ	que
après	ADP	après
seize	NUM	seize
heures	NOUN	heure
de	ADP	de
travail	NOUN	travail
,	PUNCT	,
elle	PRON	elle
accorde	VERB	accorder
un	DET	un
peu	ADV	peu
de	ADP	de
repos	NOUN	repos
à	ADP	à
ses	PRON	son
chevaux	NOUN	cheval
et	CONJ	et
à	ADP	à
ses	PRON	son
employés	NOUN	employé
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Il	PRON	il
y	PRON	y
a	VERB	avoir
