Partie	NOUN	partie
1	NUM	@card@
Chapitre	X	chapitre
1	NUM	@card@
Le	DET	le
15	NUM	@card@
septembre	NOUN	septembre
1840	NUM	@card@
,	PUNCT	,
vers	ADP	vers
six	NUM	six
heures	NOUN	heure
du	ADP	du
matin	NOUN	matin
,	PUNCT	,
la	DET	le
Ville-de-Montereau	NOUN	ville-de-montereau
,	PUNCT	,
près	ADV	près
de	ADP	de
partir	VERB	partir
,	PUNCT	,
fumait	VERB	fumer
à	ADP	à
gros	ADJ	gros
tourbillons	NOUN	tourbillon
devant	ADP	devant
le	DET	le
quai	NOUN	quai
Saint-Bernard	NOUN	saint-bernard
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Des	ADP	du
gens	NOUN	gens
arrivaient	VERB	arriver
hors	ADP	hors
d'	ADP	de
haleine	NOUN	haleine
;	PUNCT	;
des	ADP	du
barriques	NOUN	barrique
,	PUNCT	,
des	ADP	du
câbles	NOUN	câble
,	PUNCT	,
des	ADP	du
corbeilles	NOUN	corbeille
de	ADP	de
linge	NOUN	linge
gênaient	VERB	gêner
la	DET	le
circulation	NOUN	circulation
;	PUNCT	;
les	DET	le
matelots	NOUN	matelot
ne	ADV	ne
répondaient	VERB	répondre
à	ADP	à
personne	NOUN	personne
;	PUNCT	;
on	PRON	on
se	PRON	se
heurtait	VERB	heurter
;	PUNCT	;
les	DET	le
colis	NOUN	colis
montaient	VERB	monter
entre	ADP	entre
les	DET	le
deux	NUM	deux
tambours	NOUN	tambour
,	PUNCT	,
et	CONJ	et
le	DET	le
tapage	NOUN	tapage
s'	PRON	se
absorbait	VERB	absorber
dans	ADP	dans
le	DET	le
bruissement	NOUN	bruissement
de	ADP	de
la	DET	le
vapeur	NOUN	vapeur
,	PUNCT	,
qui	PRON	qui
,	PUNCT	,
s'	PRON	se
échappant	VERB	échapper
par	ADP	par
des	ADP	du
plaques	NOUN	plaque
de	ADP	de
tôle	NOUN	tôle
,	PUNCT	,
enveloppait	VERB	envelopper
tout	ADV	tout
d'	ADP	de
une	DET	un
nuée	NOUN	nuée
blanchâtre	ADJ	blanchâtre
,	PUNCT	,
tandis	CONJ	tandis
que	CONJ	que
la	DET	le
cloche	NOUN	cloche
,	PUNCT	,
à	ADP	à
l'	DET	le
avant	NOUN	avant
,	PUNCT	,
tintait	VERB	tinter
sans	ADP	sans
discontinuer	VERB	discontinuer
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Enfin	ADV	enfin
le	DET	le
navire	NOUN	navire
partit	VERB	partir
;	PUNCT	;
et	CONJ	et
les	DET	le
deux	NUM	deux
berges	NOUN	berge
,	PUNCT	,
peuplées	VERB	peupler
de	ADP	de
magasins	NOUN	magasin
,	PUNCT	,
de	ADP	de
chantiers	NOUN	chantier
et	CONJ	et
d'	ADP	de
usines	NOUN	usine
,	PUNCT	,
filèrent	VERB	filer
comme	ADV	comme
deux	NUM	deux
larges	ADJ	large
rubans	NOUN	ruban
que	PRON	que
l'	DET	le
on	PRON	on
déroule	VERB	dérouler
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Un	DET	un
jeune	ADJ	jeune
homme	NOUN	homme
de	ADP	de
dix-huit	NUM	dix-huit
ans	NOUN	an
,	PUNCT	,
à	ADP	à
longs	ADJ	long
cheveux	NOUN	cheveu
et	CONJ	et
qui	PRON	qui
tenait	VERB	tenir
un	DET	un
album	NOUN	album
sous	ADP	sous
son	PRON	son
bras	NOUN	bras
,	PUNCT	,
restait	VERB	rester
auprès	ADV	auprès
du	ADP	du
gouvernail	NOUN	gouvernail
,	PUNCT	,
immobile	ADJ	immobile
.	PUNCT	.
<EOS>	<EOS>	<EOS>
A	ADP	à
travers	NOUN	travers
le	DET	le
brouillard	NOUN	brouillard
,	PUNCT	,
il	PRON	il
contemplait	VERB	contempler
des	ADP	du
clochers	NOUN	clocher
,	PUNCT	,
des	ADP	du
édifices	NOUN	édifice
dont	PRON	dont
il	PRON	il
ne	ADV	ne
savait	VERB	savoir
pas	ADV	pas
les	DET	le
noms	NOUN	nom
;	PUNCT	;
puis	ADV	puis
il	PRON	il
embrassa	VERB	embrasser
,	PUNCT	,
dans	ADP	dans
un	DET	un
dernier	ADJ	dernier
coup	NOUN	coup
d'	ADP	de
oeil	NOUN	œil
,	PUNCT	,
l'	DET	le
île	NOUN	île
Saint-Louis	NOUN	saint-louis
,	PUNCT	,
la	DET	le
Cité	NOUN	cité
,	PUNCT	,
Notre-Dame	NOUN	notre-dame
;	PUNCT	;
et	CONJ	et
bientôt	ADV	bientôt
,	PUNCT	,
Paris	NOUN	paris
disparaissant	VERB	disparaître
,	PUNCT	,
il	PRON	il
poussa	VERB	pousser
un	DET	un
grand	ADJ	grand
soupir	NOUN	soupir
.	PUNCT	.
<EOS>	<EOS>	<EOS>
M	NOUN	m
.	PUNCT	.
Frédéric	NOUN	frédéric
Moreau	NOUN	moreau
,	PUNCT	,
nouvellement	ADV	nouvellement
reçu	VERB	recevoir
bachelier	NOUN	bachelier
,	PUNCT	,
s'	PRON	se
en	PRON	en
retournait	VERB	retourner
à	ADP	à
Nogent-sur-Seine	NOUN	nogent-sur-seine
,	PUNCT	,
où	PRON	où
il	PRON	il
devait	VERB	devoir
languir	VERB	languir
pendant	ADP	pendant
deux	NUM	deux
mois	NOUN	moi|mois
,	PUNCT	,
avant	ADP	avant
d'	ADP	de
aller	VERB	aller
faire	VERB	faire
son	PRON	son
droit	NOUN	droit
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Sa	PRON	son
mère	NOUN	mère
,	PUNCT	,
avec	ADP	avec
la	DET	le
somme	NOUN	somme
indispensable	ADJ	indispensable
,	PUNCT	,
l'	PRON	la|le
avait	VERB	avoir
envoyé	VERB	envoyer
au	ADP	au
Havre	NOUN	havre
voir	VERB	voir
un	DET	un
oncle	NOUN	oncle
,	PUNCT	,
dont	PRON	dont
elle	PRON	elle
espérait	VERB	espérer
,	PUNCT	,
pour	ADP	pour
lui	PRON	lui
,	PUNCT	,
l'	DET	le
héritage	NOUN	héritage
;	PUNCT	;
il	PRON	il
en	PRON	en
était	VERB	être
revenu	VERB	revenir
la	DET	le
veille	NOUN	veille
seulement	ADV	seulement
;	PUNCT	;
et	CONJ	et
il	PRON	il
se	PRON	se
dédommageait	VERB	dédommager
de	ADP	de
ne	ADV	ne
pouvoir	VERB	pouvoir
séjourner	VERB	séjourner
dans	ADP	dans
la	DET	le
capitale	NOUN	capitale
,	PUNCT	,
en	PRON	en
regagnant	VERB	regagner
sa	PRON	son
province	NOUN	province
par	ADP	par
la	DET	le
route	NOUN	route
la	DET	le
plus	ADV	plus
longue	ADJ	longue
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Le	DET	le
tumulte	NOUN	tumulte
s'	PRON	se
apaisait	VERB	apaiser
;	PUNCT	;
tous	PRON	tout
avaient	VERB	avoir
pris	VERB	prendre
leur	PRON	leur
place	NOUN	place
;	PUNCT	;
quelques-uns	PRON	quelques-uns
,	PUNCT	,
debout	ADV	debout
,	PUNCT	,
se	PRON	se
chauffaient	VERB	chauffer
autour	ADV	autour
de	ADP	de
la	DET	le
machine	NOUN	machine
,	PUNCT	,
et	CONJ	et
la	DET	le
cheminée	NOUN	cheminée
crachait	VERB	cracher
avec	ADP	avec
un	DET	un
râle	NOUN	râle
lent	ADJ	lent
et	CONJ	et
rythmique	NOUN	rythmique
son	PRON	son
panache	NOUN	panache
de	ADP	de
fumée	NOUN	fumée
noire	ADJ	noir
;	PUNCT	;
des	ADP	du
gouttelettes	NOUN	gouttelette
de	ADP	de
rosée	NOUN	rosée
coulaient	VERB	couler
sur	ADP	sur
les	DET	le
cuivres	NOUN	cuivre
;	PUNCT	;
le	DET	le
pont	NOUN	pont
tremblait	VERB	trembler
sous	ADP	sous
une	DET	un
petite	ADJ	petit
vibration	NOUN	vibration
intérieure	ADJ	intérieur
,	PUNCT	,
et	CONJ	et
les	DET	le
deux	NUM	deux
roues	NOUN	roue
,	PUNCT	,
tournant	VERB	tourner
rapidement	ADV	rapidement
,	PUNCT	,
battaient	VERB	battre
l'	DET	le
eau	NOUN	eau
.	PUNCT	.
<EOS>	<EOS>	<EOS>
La	DET	le
rivière	NOUN	rivière
était	VERB	être
bordée	VERB	border
par	ADP	par
des	ADP	du
grèves	NOUN	grève
de	ADP	de
sable	NOUN	sable
.	PUNCT	.
<EOS>	<EOS>	<EOS>
On	PRON	on
rencontrait	VERB	rencontrer
des	ADP	du
trains	NOUN	train
de	ADP	de
bois	NOUN	bois
qui	PRON	qui
se	PRON	se
mettaient	VERB	mettre
à	ADP	à
onduler	VERB	onduler
sous	ADP	sous
le	DET	le
remous	NOUN	remous
des	ADP	du
vagues	NOUN	vague
,	PUNCT	,
ou	CONJ	ou
bien	ADV	bien
,	PUNCT	,
dans	ADP	dans
un	DET	un
bateau	NOUN	bateau
sans	ADP	sans
voiles	NOUN	voile
,	PUNCT	,
un	DET	un
homme	NOUN	homme
assis	VERB	asseoir
pêchait	VERB	pêcher
;	PUNCT	;
puis	ADV	puis
les	DET	le
brumes	NOUN	brume
errantes	ADJ	errant
se	PRON	se
fondirent	VERB	fondre
,	PUNCT	,
le	DET	le
soleil	NOUN	soleil
parut	VERB	paraître
,	PUNCT	,
la	DET	le
colline	NOUN	colline
qui	PRON	qui
suivait	VERB	suivre
à	ADP	à
droite	ADJ	droit
le	DET	le
cours	NOUN	cour|cours
de	ADP	de
la	DET	le
Seine	NOUN	seine
peu	ADV	peu
à	ADP	à
peu	ADV	peu
s'	PRON	se
abaissa	VERB	abaisser
,	PUNCT	,
et	CONJ	et
il	PRON	il
en	PRON	en
surgit	VERB	surgir
une	DET	un
autre	ADJ	autre
,	PUNCT	,
plus	ADV	plus
proche	ADJ	proche
,	PUNCT	,
sur	ADP	sur
la	DET	le
rive	NOUN	rive
opposée	VERB	opposer
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Des	ADP	du
