I	NUM	i
--	PUNCT	--
La	DET	le
vente	NOUN	vente
de	ADP	de
charité	NOUN	charité
—	PUNCT	—
C'	NOUN	c'
est	VERB	être
bien	ADV	bien
vous	PRON	vous
?	PUNCT	?
<EOS>	<EOS>	<EOS>
—	PUNCT	—
C'	NOUN	c'
est	VERB	être
bien	ADV	bien
moi	NOUN	moi
.	PUNCT	.
<EOS>	<EOS>	<EOS>
—	PUNCT	—
Êtes	VERB	être
-vous	PRON	vous
à	ADP	à
Paris	NOUN	paris
,	PUNCT	,
homme	NOUN	homme
errant	ADJ	errant
,	PUNCT	,
heureux	NOUN	heureux
David	NOUN	david
?	PUNCT	?
<EOS>	<EOS>	<EOS>
—	PUNCT	—
Je	PRON	je
suis	VERB	suivre|être
à	ADP	à
Paris	NOUN	paris
depuis	ADP	depuis
quatre	NUM	quatre
jours	NOUN	jour
,	PUNCT	,
mon	PRON	mon
cher	ADJ	cher
Dragonneau	NOUN	dragonneau
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Un	DET	un
jeune	ADJ	jeune
homme	NOUN	homme
fort	ADV	fort
élégant	ADJ	élégant
d'	ADP	de
aspect	NOUN	aspect
,	PUNCT	,
mais	CONJ	mais
très	ADV	très
français	ADJ	français
d'	ADP	de
accent	NOUN	accent
et	CONJ	et
d'	ADP	de
allure	NOUN	allure
,	PUNCT	,
avait	VERB	avoir
le	DET	le
premier	NUM	premier
jeté	NOUN	jeté
son	PRON	son
exclamation	NOUN	exclamation
étonnée	VERB	étonner
en	ADP	en
apercevant	VERB	apercevoir
un	DET	un
jeune	ADJ	jeune
gommeux	NOUN	gommeux
de	ADP	de
la	DET	le
plus	ADV	plus
belle	ADJ	beau
eau	NOUN	eau
,	PUNCT	,
très	ADV	très
étranger	ADJ	étranger
d'	ADP	de
allure	NOUN	allure
et	CONJ	et
d'	ADP	de
accent	NOUN	accent
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Celui	PRON	celui
-ci	ADV	-ci
lui	PRON	lui
répondait	VERB	répondre
du	ADP	du
haut	NOUN	haut
d'	ADP	de
un	DET	un
phaéton	NOUN	phaéton
qui	PRON	qui
s'	PRON	se
était	VERB	être
enchevêtré	VERB	enchevêtrer
au	ADP	au
milieu	NOUN	milieu
d'	ADP	de
un	DET	un
groupe	NOUN	groupe
compact	ADJ	compact
de	ADP	de
voitures	NOUN	voiture
de	ADP	de
tous	PRON	tout
les	DET	le
genres	NOUN	genre
,	PUNCT	,
arrêtées	ADJ	arrêté
place	NOUN	place
Vendôme	NOUN	vendôme
,	PUNCT	,
en	ADP	en
face	NOUN	face
du	ADP	du
ministère	NOUN	ministère
de	ADP	de
la	DET	le
justice	NOUN	justice
.	PUNCT	.
<EOS>	<EOS>	<EOS>
—	PUNCT	—
Allez	VERB	aller
m'	PRON	me
attendre	VERB	attendre
au	ADP	au
coin	NOUN	coin
de	ADP	de
la	DET	le
rue	NOUN	rue
Castiglione	NOUN	castiglione
,	PUNCT	,
dit	VERB	dire
le	DET	le
jeune	ADJ	jeune
étranger	ADJ	étranger
au	ADP	au
domestique	NOUN	domestique
en	ADP	en
livrée	NOUN	livrée
qui	PRON	qui
était	VERB	être
assis	VERB	asseoir
au-dessous	ADV	au-dessous
de	ADP	de
lui	PRON	lui
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Et	CONJ	et
,	PUNCT	,
sautant	VERB	sauter
lestement	ADV	lestement
à	ADP	à
terre	NOUN	terre
,	PUNCT	,
il	PRON	il
vint	VERB	venir
serrer	VERB	serrer
la	DET	le
main	NOUN	main
au	ADP	au
passant	NOUN	passant
.	PUNCT	.
<EOS>	<EOS>	<EOS>
—	PUNCT	—
D'	NOUN	d'
où	PRON	où
venez	VERB	venir
-vous	PRON	vous
,	PUNCT	,
Louzéma	NOUN	louzéma
?	PUNCT	?
<EOS>	<EOS>	<EOS>
—	PUNCT	—
De	NOUN	de
Vienne	NOUN	vienne
.	PUNCT	.
<EOS>	<EOS>	<EOS>
—	PUNCT	—
Et	NOUN	et
comment	ADV	comment
trouvez	VERB	trouver
-vous	PRON	vous
Paris	NOUN	paris
,	PUNCT	,
maintenant	ADV	maintenant
?	PUNCT	?
<EOS>	<EOS>	<EOS>
Le	DET	le
jeune	ADJ	jeune
homme	NOUN	homme
au	ADP	au
teint	NOUN	teint
mat	ADJ	mat
,	PUNCT	,
au	ADP	au
nez	NOUN	nez
aquilin	ADJ	aquilin
,	PUNCT	,
au	ADP	au
front	NOUN	front
fuyant	ADJ	fuyant
,	PUNCT	,
posa	VERB	poser
ses	PRON	son
doigts	NOUN	doigt
sur	ADP	sur
ses	PRON	son
lèvres	NOUN	lèvre
épaisses	ADJ	épais
et	CONJ	et
rouges	ADJ	rouge
:	PUNCT	:
—	PUNCT	—
Exquis	NOUN	exquis
,	PUNCT	,
dit-il	NOUN	dit-il
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Et	CONJ	et
il	PRON	il
ajouta	VERB	ajouter
:	PUNCT	:
—	PUNCT	—
Où	X	où
allez	VERB	aller
-vous	PRON	vous
,	PUNCT	,
Dragonneau	NOUN	dragonneau
?	PUNCT	?
<EOS>	<EOS>	<EOS>
Son	PRON	son
interlocuteur	NOUN	interlocuteur
leva	VERB	lever
la	DET	le
main	NOUN	main
vers	ADP	vers
le	DET	le
cintre	NOUN	cintre
de	ADP	de
la	DET	le
porte	NOUN	porte
cochère	ADJ	cochère
la	DET	le
plus	ADV	plus
voisine	ADJ	voisin
.	PUNCT	.
<EOS>	<EOS>	<EOS>
—	PUNCT	—
Au	VERB	au
ministère	NOUN	ministère
de	ADP	de
la	DET	le
justice	NOUN	justice
?	PUNCT	?
<EOS>	<EOS>	<EOS>
dit	VERB	dire
David	NOUN	david
qui	PRON	qui
avait	VERB	avoir
suivi	VERB	suivre
le	DET	le
mouvement	NOUN	mouvement
de	ADP	de
sa	PRON	son
main	NOUN	main
.	PUNCT	.
<EOS>	<EOS>	<EOS>
—	PUNCT	—
Non	NOUN	non
,	PUNCT	,
hélas	X	hélas
!	PUNCT	!
<EOS>	<EOS>	<EOS>
Lisez	VERB	lire|liser
plus	ADV	plus
bas	ADJ	bas
.	PUNCT	.
<EOS>	<EOS>	<EOS>
—	PUNCT	—
Vente	NOUN	vente
de	ADP	de
charité	NOUN	charité
au	ADP	au
profit	NOUN	profit
...	PUNCT	...
—	PUNCT	—
C'	NOUN	c'
est	VERB	être
cela	PRON	cela
,	PUNCT	,
mon	PRON	mon
cher	ADJ	cher
,	PUNCT	,
ce	PRON	ce
n'	ADV	ne
est	VERB	être
que	CONJ	que
trop	ADV	trop
cela	PRON	cela
.	PUNCT	.
<EOS>	<EOS>	<EOS>
—	PUNCT	—
Savez	VERB	savoir
-vous	PRON	vous
ce	PRON	ce
que	CONJ	que
c'	PRON	ce
est	VERB	être
qu'	CONJ	que
une	DET	un
vente	NOUN	vente
de	ADP	de
charité	NOUN	charité
?	PUNCT	?
<EOS>	<EOS>	<EOS>
—	PUNCT	—
À	ADP	à
peu	ADV	peu
près	ADV	près
.	PUNCT	.
<EOS>	<EOS>	<EOS>
C'	PRON	ce
est	VERB	être
une	DET	un
sorte	NOUN	sorte
de	ADP	de
kermesse	NOUN	kermesse
où	PRON	où
les	DET	le
femmes	NOUN	femme
de	ADP	de
votre	PRON	votre
connaissance	NOUN	connaissance
tiennent	VERB	tenir
boutiques	NOUN	boutique
de	ADP	de
cigares	NOUN	cigare
,	PUNCT	,
de	ADP	de
bouquets	NOUN	bouquet
et	CONJ	et
de	ADP	de
bibelots	NOUN	bibelot
.	PUNCT	.
<EOS>	<EOS>	<EOS>
—	PUNCT	—
Vous	NOUN	vous
paraissez	VERB	paraître
pressé	VERB	presser
?	PUNCT	?
<EOS>	<EOS>	<EOS>
Je	PRON	je
vous	PRON	vous
accompagne	VERB	accompagner
