I	NUM	i
Dans	VERB	dans
son	PRON	son
cabinet	NOUN	cabinet
de	ADP	de
travail	NOUN	travail
,	PUNCT	,
au	ADP	au
bruit	NOUN	bruit
clair	ADJ	clair
et	CONJ	et
mécanique	ADJ	mécanique
du	ADP	du
piano	NOUN	piano
sur	ADP	sur
lequel	PRON	lequel
ses	PRON	son
filles	NOUN	fille
exécutaient	VERB	exécuter
,	PUNCT	,
non	ADV	non
loin	ADV	loin
,	PUNCT	,
des	ADP	du
exercices	NOUN	exercice
difficiles	ADJ	difficile
,	PUNCT	,
M	VERB	m
.	PUNCT	.
Bergeret	NOUN	bergeret
,	PUNCT	,
maître	NOUN	maître
de	ADP	de
conférences	NOUN	conférence
à	ADP	à
la	DET	le
Faculté	NOUN	faculté
des	ADP	du
lettres	NOUN	lettre
,	PUNCT	,
préparait	VERB	préparer
sa	PRON	son
leçon	NOUN	leçon
sur	ADP	sur
le	DET	le
huitième	ADJ	huitième
livre	NOUN	livre
de	ADP	de
l'	DET	le
Énéide	NOUN	énéide
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Le	DET	le
cabinet	NOUN	cabinet
de	ADP	de
travail	NOUN	travail
de	ADP	de
M	NOUN	m
.	PUNCT	.
Bergeret	NOUN	bergeret
n'	ADV	ne
avait	VERB	avoir
qu'	ADV	qu'
une	DET	un
fenêtre	NOUN	fenêtre
,	PUNCT	,
mais	CONJ	mais
grande	ADJ	grand
,	PUNCT	,
qui	PRON	qui
en	PRON	en
occupait	VERB	occuper
tout	ADV	tout
un	DET	un
côté	NOUN	côté
et	CONJ	et
qui	PRON	qui
laissait	VERB	laisser
entrer	VERB	entrer
plus	ADV	plus
d'	ADP	de
air	NOUN	air
que	CONJ	que
de	ADP	de
lumière	NOUN	lumière
,	PUNCT	,
car	CONJ	car
les	DET	le
croisées	NOUN	croisée
en	PRON	en
étaient	VERB	être
mal	ADV	mal
jointes	VERB	joindre
et	CONJ	et
les	DET	le
vitres	NOUN	vitre
offusquées	VERB	offusquer
par	ADP	par
un	DET	un
mur	NOUN	mur
haut	ADJ	haut
et	CONJ	et
proche	ADJ	proche
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Poussée	VERB	pousser
contre	ADP	contre
cette	PRON	ce
fenêtre	NOUN	fenêtre
,	PUNCT	,
la	DET	le
table	NOUN	table
de	ADP	de
M	NOUN	m
.	PUNCT	.
Bergeret	NOUN	bergeret
en	PRON	en
recevait	VERB	recevoir
les	DET	le
reflets	NOUN	reflet
d'	ADP	de
un	DET	un
jour	NOUN	jour
avare	ADJ	avare
et	CONJ	et
sordide	ADJ	sordide
.	PUNCT	.
<EOS>	<EOS>	<EOS>
À	ADP	à
vrai	ADJ	vrai
dire	NOUN	dire
,	PUNCT	,
ce	PRON	ce
cabinet	NOUN	cabinet
de	ADP	de
travail	NOUN	travail
,	PUNCT	,
où	PRON	où
le	DET	le
maître	NOUN	maître
de	ADP	de
conférences	NOUN	conférence
aiguisait	VERB	aiguiser
ses	PRON	son
fines	ADJ	fin
pensées	NOUN	pensée
d'	ADP	de
humanité	NOUN	humanité
,	PUNCT	,
n'	ADV	ne
était	VERB	être
qu'	ADV	qu'
un	DET	un
recoin	NOUN	recoin
difforme	ADJ	difforme
,	PUNCT	,
ou	CONJ	ou
plutôt	ADV	plutôt
un	DET	un
double	ADJ	double
recoin	NOUN	recoin
derrière	ADP	derrière
la	DET	le
cage	NOUN	cage
du	ADP	du
grand	ADJ	grand
escalier	NOUN	escalier
dont	PRON	dont
la	DET	le
rotondité	NOUN	rotondité
indiscrète	ADJ	indiscret
,	PUNCT	,
s'	PRON	se
avançant	VERB	avancer
vers	ADP	vers
la	DET	le
fenêtre	NOUN	fenêtre
,	PUNCT	,
ne	ADV	ne
ménageait	VERB	ménager
à	ADP	à
droite	NOUN	droit|droite
et	CONJ	et
à	ADP	à
gauche	NOUN	gauche
que	CONJ	que
deux	NUM	deux
angles	NOUN	angle
déraisonnables	ADJ	déraisonnable
et	CONJ	et
inhumains	ADJ	inhumain
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Opprimé	VERB	opprimer
par	ADP	par
ce	PRON	ce
monstrueux	ADJ	monstrueux
ventre	NOUN	ventre
de	ADP	de
maçonnerie	NOUN	maçonnerie
,	PUNCT	,
qu'	PRON	que
habillait	VERB	habiller
un	DET	un
papier	NOUN	papier
vert	ADJ	vert
,	PUNCT	,
M	VERB	m
.	PUNCT	.
Bergeret	NOUN	bergeret
avait	VERB	avoir
trouvé	VERB	trouver
à	ADP	à
peine	NOUN	peine
,	PUNCT	,
dans	ADP	dans
cette	PRON	ce
pièce	NOUN	pièce
hostile	ADJ	hostile
,	PUNCT	,
en	ADP	en
horreur	NOUN	horreur
à	ADP	à
la	DET	le
géométrie	NOUN	géométrie
et	CONJ	et
à	ADP	à
la	DET	le
raison	NOUN	raison
élégante	ADJ	élégant
,	PUNCT	,
une	DET	un
étroite	ADJ	étroit
surface	NOUN	surface
plane	ADJ	plan
où	PRON	où
ranger	VERB	ranger
ses	PRON	son
livres	NOUN	livre
sur	ADP	sur
des	ADP	du
planches	NOUN	planche
de	ADP	de
sapin	NOUN	sapin
,	PUNCT	,
au	ADP	au
long	NOUN	long
desquelles	PRON	duquel
la	DET	le
file	NOUN	file
jaune	ADJ	jaune
des	ADP	du
Tübner	NOUN	tübner
baignait	VERB	baigner
dans	ADP	dans
une	DET	un
ombre	NOUN	ombre
éternelle	ADJ	éternel
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Lui	PRON	lui
-même	ADJ	même
,	PUNCT	,
pressé	VERB	presser
contre	ADP	contre
la	DET	le
fenêtre	NOUN	fenêtre
,	PUNCT	,
y	PRON	y
écrivait	VERB	écrire
d'	ADP	de
un	DET	un
style	NOUN	style
glacé	VERB	glacer
par	ADP	par
l'	DET	le
air	NOUN	air
malin	ADJ	malin
,	PUNCT	,
heureux	ADJ	heureux
s'	CONJ	si
il	PRON	il
ne	ADV	ne
trouvait	VERB	trouver
pas	ADV	pas
ses	PRON	son
manuscrits	NOUN	manuscrit
bouleversés	VERB	bouleverser
et	CONJ	et
tronqués	VERB	tronquer
,	PUNCT	,
et	CONJ	et
ses	PRON	son
plumes	NOUN	plume
de	ADP	de
fer	NOUN	fer
entrouvrant	VERB	entrouvrir
un	DET	un
bec	NOUN	bec
mutilé	VERB	mutiler
!	PUNCT	!
<EOS>	<EOS>	<EOS>
C'	PRON	ce
