Partie	NOUN	partie
1	NUM	@card@
--	PUNCT	--
Le	DET	le
Lotus	NOUN	lotus
En	NOUN	en
ce	PRON	ce
temps	NOUN	temps
-là	ADV	là
,	PUNCT	,
le	DET	le
désert	NOUN	désert
était	VERB	être
peuplé	VERB	peupler
d'	ADP	de
anachorètes	NOUN	anachorète
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Sur	ADP	sur
les	DET	le
deux	NUM	deux
rives	NOUN	rive
du	ADP	du
Nil	NOUN	nil
,	PUNCT	,
d'	ADP	de
innombrables	ADJ	innombrable
cabanes	NOUN	cabane
,	PUNCT	,
bâties	VERB	bâtir
de	ADP	de
branchages	NOUN	branchage
et	CONJ	et
d'	ADP	de
argile	NOUN	argile
par	ADP	par
la	DET	le
main	NOUN	main
des	ADP	du
solitaires	NOUN	solitaire
,	PUNCT	,
étaient	VERB	être
semées	VERB	semer
à	ADP	à
quelque	PRON	quelque
distance	NOUN	distance
les	DET	le
unes	NOUN	un
des	ADP	du
autres	ADJ	autre
,	PUNCT	,
de	ADP	de
façon	NOUN	façon
que	CONJ	que
ceux	PRON	celui
qui	PRON	qui
les	PRON	la|le
habitaient	VERB	habiter
pouvaient	VERB	pouvoir
vivre	VERB	vivre
isolés	VERB	isoler
et	CONJ	et
pourtant	ADV	pourtant
s'	PRON	se
entr'aider	VERB	entr'aider
au	ADP	au
besoin	NOUN	besoin
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Des	ADP	du
églises	NOUN	église
,	PUNCT	,
surmontées	VERB	surmonter
du	ADP	du
signe	NOUN	signe
de	ADP	de
la	DET	le
croix	NOUN	croix
,	PUNCT	,
s'	PRON	se
élevaient	VERB	élever
de	ADP	de
loin	ADV	loin
en	ADP	en
loin	ADV	loin
au-dessus	ADV	au-dessus
des	ADP	du
cabanes	NOUN	cabane
et	CONJ	et
les	DET	le
moines	NOUN	moine
s'	PRON	se
y	PRON	y
rendaient	VERB	rendre
dans	ADP	dans
les	DET	le
jours	NOUN	jour
de	ADP	de
fête	NOUN	fête
,	PUNCT	,
pour	ADP	pour
assister	VERB	assister
à	ADP	à
la	DET	le
célébration	NOUN	célébration
des	ADP	du
mystères	NOUN	mystère
et	CONJ	et
participer	VERB	participer
aux	ADP	au
sacrements	NOUN	sacrement
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Il	PRON	il
y	PRON	y
avait	VERB	avoir
aussi	ADV	aussi
,	PUNCT	,
tout	ADV	tout
au	ADP	au
bord	NOUN	bord
du	ADP	du
fleuve	NOUN	fleuve
,	PUNCT	,
des	ADP	du
maisons	NOUN	maison
où	PRON	où
les	DET	le
cénobites	NOUN	cénobite
,	PUNCT	,
renfermés	VERB	renfermer
chacun	PRON	chacun
dans	ADP	dans
une	DET	un
étroite	ADJ	étroit
cellule	NOUN	cellule
,	PUNCT	,
ne	ADV	ne
se	PRON	se
réunissaient	VERB	réunir
qu'	CONJ	que
afin	CONJ	afin
de	ADP	de
mieux	ADV	mieux
goûter	VERB	goûter
la	DET	le
solitude	NOUN	solitude
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Anachorètes	NOUN	anachorète
et	CONJ	et
cénobites	NOUN	cénobite
vivaient	VERB	vivre
dans	ADP	dans
l'	DET	le
abstinence	NOUN	abstinence
,	PUNCT	,
ne	ADV	ne
prenant	VERB	prendre
de	ADP	de
nourriture	NOUN	nourriture
qu'	CONJ	que
après	ADP	après
le	DET	le
coucher	NOUN	coucher
du	ADP	du
soleil	NOUN	soleil
,	PUNCT	,
mangeant	VERB	manger
pour	ADP	pour
tout	PRON	tout
repas	NOUN	repas
leur	PRON	leur
pain	NOUN	pain
avec	ADP	avec
un	DET	un
peu	ADV	peu
de	ADP	de
sel	NOUN	sel
et	CONJ	et
d'	ADP	de
hysope	NOUN	hysope
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Quelques-uns	PRON	quelques-uns
,	PUNCT	,
s'	PRON	se
enfonçant	VERB	enfoncer
dans	ADP	dans
les	DET	le
sables	NOUN	sable
,	PUNCT	,
faisaient	VERB	faire
leur	PRON	leur
asile	NOUN	asile
d'	ADP	de
une	DET	un
caverne	NOUN	caverne
ou	CONJ	ou
d'	ADP	de
un	DET	un
tombeau	NOUN	tombeau
et	CONJ	et
menaient	VERB	mener
une	DET	un
vie	NOUN	vie
encore	ADV	encore
plus	ADV	plus
singulière	ADJ	singulier
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Tous	PRON	tout
gardaient	VERB	garder
la	DET	le
continence	NOUN	continence
,	PUNCT	,
portaient	VERB	porter
le	DET	le
cilice	NOUN	cilice
et	CONJ	et
la	DET	le
cuculle	NOUN	cuculle
,	PUNCT	,
dormaient	VERB	dormir
sur	ADP	sur
la	DET	le
terre	NOUN	terre
nue	VERB	nuer
après	ADV	après
de	ADP	de
longues	ADJ	longue
veilles	NOUN	veille
,	PUNCT	,
priaient	VERB	prier
,	PUNCT	,
chantaient	VERB	chanter
des	ADP	du
psaumes	NOUN	psaume
,	PUNCT	,
et	CONJ	et
pour	ADP	pour
tout	PRON	tout
dire	NOUN	dire
,	PUNCT	,
accomplissaient	VERB	accomplir
chaque	PRON	chaque
jour	NOUN	jour
les	DET	le
chefs-d'œuvre	NOUN	chefs-d'œuvre
de	ADP	de
la	DET	le
pénitence	NOUN	pénitence
.	PUNCT	.
<EOS>	<EOS>	<EOS>
En	ADP	en
considération	NOUN	considération
du	ADP	du
péché	NOUN	péché
originel	ADJ	originel
,	PUNCT	,
ils	PRON	il
refusaient	VERB	refuser
à	ADP	à
leur	PRON	leur
corps	NOUN	corps
,	PUNCT	,
non	ADV	non
seulement	ADV	seulement
les	DET	le
plaisirs	NOUN	plaisir
et	CONJ	et
les	DET	le
contentements	NOUN	contentement
,	PUNCT	,
mais	CONJ	mais
les	DET	le
soins	NOUN	soin
mêmes	ADJ	même
qui	PRON	qui
passent	VERB	passer
pour	ADP	pour
indispensables	NOUN	indispensable
selon	ADP	selon
les	DET	le
idées	NOUN	idée
du	ADP	du
siècle	NOUN	siècle
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Ils	PRON	il
estimaient	VERB	estimer
que	CONJ	que
les	DET	le
maladies	NOUN	maladie
de	ADP	de
nos	PRON	notre
membres	NOUN	membre
assainissent	VERB	assainir
nos	PRON	notre
âmes	NOUN	âme
et	CONJ	et
que	CONJ	que
la	DET	le
chair	NOUN	chair
ne	ADV	ne
saurait	VERB	savoir
recevoir	VERB	recevoir
de	ADP	de
plus	ADV	plus
glorieuses	ADJ	glorieux
parures	NOUN	parure
que	CONJ	que
les	DET	le
ulcères	NOUN	ulcère
et	CONJ	et
les	DET	le
plaies	NOUN	plaie
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Ainsi	CONJ	ainsi
s'	PRON	se
accomplissait	VERB	accomplir
la	DET	le
parole	NOUN	parole
des	ADP	du
prophètes	NOUN	prophète
qui	PRON	qui
avaient	VERB	avoir
dit	VERB	dire
:	PUNCT	:
«	PUNCT	«
Le	DET	le
désert	NOUN	désert
se	PRON	se
couvrira	VERB	couvrir
de	ADP	de
fleurs	NOUN	fleur
.	PUNCT	.
<EOS>	<EOS>	<EOS>
»	PUNCT	»
Parmi	VERB	parmi
les	DET	le
hôtes	NOUN	hôte
de	ADP	de
cette	PRON	ce
sainte	ADJ	saint
Thébaïde	NOUN	thébaïde
,	PUNCT	,
les	DET	le
uns	NOUN	un
consumaient	VERB	consumer
leurs	PRON	leur
jours	NOUN	jour
dans	ADP	dans
l'	DET	le
ascétisme	NOUN	ascétisme
et	CONJ	et
la	DET	le
contemplation	NOUN	contemplation
,	PUNCT	,
les	DET	le
autres	ADJ	autre
gagnaient	VERB	gagner
leur	PRON	leur
subsistance	NOUN	subsistance
en	ADP	en
tressant	VERB	tresser
les	DET	le
fibres	NOUN	fibre
des	ADP	du
palmes	NOUN	palme
,	PUNCT	,
ou	CONJ	ou
se	PRON	se
louaient	VERB	louer
aux	ADP	au
cultivateurs	NOUN	cultivateur
voisins	ADJ	voisin
pour	ADP	pour
le	DET	le
temps	NOUN	temps
de	ADP	de
la	DET	le
moisson	NOUN	moisson
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Les	DET	le
gentils	NOUN	gentil
en	PRON	en
soupçonnaient	VERB	soupçonner
faussement	ADV	faussement
quelques-uns	PRON	quelques-uns
de	ADP	de
vivre	VERB	vivre
de	ADP	de
brigandage	NOUN	brigandage
et	CONJ	et
de	ADP	de
se	PRON	se
joindre	VERB	joindre
aux	ADP	au
Arabes	NOUN	arabe
nomades	ADJ	nomade
qui	PRON	qui
pillaient	VERB	piller
les	DET	le
caravanes	NOUN	caravane
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Mais	CONJ	mais
à	ADP	à
la	DET	le
vérité	NOUN	vérité
ces	PRON	ce
moines	NOUN	moine
méprisaient	VERB	mépriser
les	DET	le
richesses	NOUN	richesse
et	CONJ	et
l'	DET	le
odeur	NOUN	odeur
de	ADP	de
leurs	PRON	leur
vertus	NOUN	vertu
montait	VERB	monter
jusqu'	ADP	jusque
au	ADP	au
ciel	NOUN	ciel
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Des	ADP	du
anges	NOUN	ange
semblables	ADJ	semblable
à	ADP	à
de	ADP	de
jeunes	ADJ	jeune
hommes	NOUN	homme
venaient	VERB	venir
,	PUNCT	,
un	DET	un
bâton	NOUN	bâton
à	ADP	à
la	DET	le
main	NOUN	main
,	PUNCT	,
commodes	NOUN	commode
voyageurs	ADJ	voyageur
,	PUNCT	,
visiter	VERB	visiter
les	DET	le
ermitages	NOUN	ermitage
,	PUNCT	,
tandis	CONJ	tandis
que	CONJ	que
des	ADP	du
démons	NOUN	démon
,	PUNCT	,
ayant	VERB	avoir
pris	VERB	prendre
des	ADP	du
figures	NOUN	figure
d'	ADP	de
Éthiopiens	NOUN	éthiopiens
ou	CONJ	ou
d'	ADP	de
animaux	NOUN	animal
,	PUNCT	,
erraient	VERB	errer
autour	ADV	autour
des	ADP	du
solitaires	NOUN	solitaire
,	PUNCT	,
afin	CONJ	afin
de	ADP	de
les	PRON	la|le
induire	VERB	induire
en	ADP	en
tentation	NOUN	tentation
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Quand	CONJ	quand
les	DET	le
moines	NOUN	moine
allaient	VERB	aller
,	PUNCT	,
le	DET	le
matin	NOUN	matin
,	PUNCT	,
remplir	VERB	remplir
leur	PRON	leur
cruche	NOUN	cruche
à	ADP	à
la	DET	le
fontaine	NOUN	fontaine
,	PUNCT	,
ils	PRON	il
voyaient	VERB	voir
des	ADP	du
pas	NOUN	pas
de	ADP	de
Satyres	NOUN	satyres
et	CONJ	et
de	ADP	de
Centaures	NOUN	centaure
imprimés	VERB	imprimer
dans	ADP	dans
le	DET	le
sable	NOUN	sable
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Considérée	VERB	considérer
sous	ADP	sous
son	PRON	son
aspect	NOUN	aspect
véritable	ADJ	véritable
et	CONJ	et
spirituel	ADJ	spirituel
,	PUNCT	,
la	DET	le
Thébaïde	NOUN	thébaïde
était	VERB	être
un	DET	un
champ	NOUN	champ
de	ADP	de
bataille	NOUN	bataille
où	PRON	où
se	PRON	se
livraient	VERB	livrer
à	ADP	à
toute	PRON	tout
heure	NOUN	heure
,	PUNCT	,
et	CONJ	et
spécialement	ADV	spécialement
la	DET	le
nuit	NOUN	nuit
,	PUNCT	,
les	DET	le
merveilleux	ADJ	merveilleux
combats	NOUN	combat
du	ADP	du
ciel	NOUN	ciel
et	CONJ	et
de	ADP	de
l'	DET	le
enfer	NOUN	enfer
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Les	DET	le
ascètes	NOUN	ascète
,	PUNCT	,
furieusement	ADV	furieusement
assaillis	VERB	assaillir
par	ADP	par
des	ADP	du
légions	NOUN	légion
de	ADP	de
damnés	VERB	damner
,	PUNCT	,
se	PRON	se
défendaient	VERB	défendre
avec	ADP	avec
l'	DET	le
aide	NOUN	aide
de	ADP	de
Dieu	NOUN	dieu
et	CONJ	et
des	ADP	du
anges	NOUN	ange
,	PUNCT	,
au	ADP	au
moyen	NOUN	moyen
du	ADP	du
jeûne	NOUN	jeûne
,	PUNCT	,
de	ADP	de
la	DET	le
pénitence	NOUN	pénitence
et	CONJ	et
des	ADP	du
macérations	NOUN	macération
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Parfois	ADV	parfois
,	PUNCT	,
l'	DET	le
aiguillon	NOUN	aiguillon
des	ADP	du
désirs	NOUN	désir
charnels	ADJ	charnel
les	PRON	la|le
déchirait	VERB	déchirer
si	ADV	si
cruellement	ADV	cruellement
qu'	CONJ	que
ils	PRON	il
en	PRON	en
hurlaient	VERB	hurler
de	ADP	de
douleur	NOUN	douleur
et	CONJ	et
que	CONJ	que
leurs	PRON	leur
lamentations	NOUN	lamentation
répondaient	VERB	répondre
,	PUNCT	,
sous	ADP	sous
le	DET	le
ciel	NOUN	ciel
plein	ADJ	plein
d'	ADP	de
étoiles	NOUN	étoile
,	PUNCT	,
aux	ADP	au
miaulements	NOUN	miaulement
des	ADP	du
hyènes	NOUN	hyène
affamées	ADJ	affamé
.	PUNCT	.
<EOS>	<EOS>	<EOS>
C'	PRON	ce
est	VERB	être
alors	ADV	alors
que	CONJ	que
les	DET	le
démons	NOUN	démon
se	PRON	se
présentaient	VERB	présenter
à	ADP	à
eux	PRON	eux
sous	ADP	sous
des	ADP	du
formes	NOUN	forme
ravissantes	ADJ	ravissant
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Car	CONJ	car
si	CONJ	si
les	DET	le
démons	NOUN	démon
sont	VERB	être
laids	ADJ	laid
en	ADP	en
réalité	NOUN	réalité
,	PUNCT	,
ils	PRON	il
se	PRON	se
revêtent	VERB	revêtir
parfois	ADV	parfois
d'	ADP	de
une	DET	un
beauté	NOUN	beauté
apparente	ADJ	apparent
qui	PRON	qui
empêche	VERB	empêcher
de	ADP	de
discerner	VERB	discerner
leur	PRON	leur
nature	NOUN	nature
intime	ADJ	intime
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Les	DET	le
ascètes	NOUN	ascète
de	ADP	de
la	DET	le
Thébaïde	NOUN	thébaïde
virent	VERB	virer
avec	ADP	avec
épouvante	NOUN	épouvante
,	PUNCT	,
dans	ADP	dans
leur	PRON	leur
cellule	NOUN	cellule
,	PUNCT	,
des	ADP	du
images	NOUN	image
du	ADP	du
plaisir	NOUN	plaisir
inconnues	ADJ	inconnu
même	ADJ	même
aux	ADP	au
voluptueux	ADJ	voluptueux
du	ADP	du
siècle	NOUN	siècle
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Mais	CONJ	mais
,	PUNCT	,
comme	ADV	comme
le	DET	le
signe	NOUN	signe
de	ADP	de
la	DET	le
croix	NOUN	croix
était	VERB	être
sur	ADP	sur
eux	PRON	eux
,	PUNCT	,
ils	PRON	il
ne	ADV	ne
succombaient	VERB	succomber
pas	ADV	pas
à	ADP	à
la	DET	le
tentation	NOUN	tentation
,	PUNCT	,
et	CONJ	et
les	DET	le
esprits	NOUN	esprit
immondes	ADJ	immonde
,	PUNCT	,
reprenant	VERB	reprendre
leur	PRON	leur
véritable	ADJ	véritable
figure	NOUN	figure
,	PUNCT	,
s'	PRON	se
éloignaient	VERB	éloigner
dès	ADP	dès
l'	DET	le
aurore	NOUN	aurore
,	PUNCT	,
pleins	ADJ	plein
de	ADP	de
honte	NOUN	honte
et	CONJ	et
de	ADP	de
rage	NOUN	rage
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Il	PRON	il
n'	ADV	ne
était	VERB	être
pas	ADV	pas
rare	ADJ	rare
,	PUNCT	,
à	ADP	à
l'	DET	le
aube	NOUN	aube
,	PUNCT	,
de	ADP	de
rencontrer	VERB	rencontrer
un	NUM	un
de	ADP	de
ceux	PRON	celui
-là	ADV	là
s'	PRON	se
enfuyant	VERB	enfuir
tout	ADV	tout
en	ADP	en
larmes	NOUN	larme
,	PUNCT	,
et	CONJ	et
répondant	VERB	répondre
à	ADP	à
ceux	PRON	celui
qui	PRON	qui
l'	PRON	la|le
interrogeaient	VERB	interroger
:	PUNCT	:
«	PUNCT	«
Je	PRON	je
pleure	VERB	pleurer
et	CONJ	et
je	PRON	je
gémis	VERB	gémir
,	PUNCT	,
parce	CONJ	parce
qu'	CONJ	que
un	DET	un
des	ADP	du
chrétiens	NOUN	chrétien
qui	PRON	qui
habitent	VERB	habiter
ici	ADV	ici
m'	PRON	me
a	VERB	avoir
battu	VERB	battre
avec	ADP	avec
des	ADP	du
verges	NOUN	verge
et	CONJ	et
chassé	VERB	chasser
ignominieusement	ADV	ignominieusement
.	PUNCT	.
<EOS>	<EOS>	<EOS>
»	PUNCT	»
Les	DET	le
anciens	NOUN	ancien
du	ADP	du
désert	NOUN	désert
étendaient	VERB	étendre
leur	PRON	leur
puissance	NOUN	puissance
sur	ADP	sur
les	DET	le
pécheurs	NOUN	pécheur
et	CONJ	et
sur	ADP	sur
les	DET	le
impies	NOUN	impie
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Leur	PRON	leur
