I	NUM	i
Le	DET	le
9	NUM	@card@
juillet	NOUN	juillet
186.	ADJ	@ord@
.	PUNCT	.
,	PUNCT	,
un	DET	un
jeudi	NOUN	jeudi
,	PUNCT	,
Jean	NOUN	jean
Bertaud	NOUN	bertaud
,	PUNCT	,
dit	VERB	dire
La	DET	le
Ripaille	NOUN	ripaille
,	PUNCT	,
et	CONJ	et
son	PRON	son
fils	NOUN	fil|fils
,	PUNCT	,
bien	ADV	bien
connus	VERB	connaître
à	ADP	à
Orcival	NOUN	orcival
pour	CONJ	pour
vivre	VERB	vivre
de	ADP	de
braconnage	NOUN	braconnage
et	CONJ	et
de	ADP	de
maraude	NOUN	maraud|maraude
,	PUNCT	,
se	PRON	se
levèrent	VERB	lever
sur	ADP	sur
les	DET	le
trois	NUM	trois
heures	NOUN	heure
du	ADP	du
matin	NOUN	matin
,	PUNCT	,
avec	ADP	avec
le	DET	le
jour	NOUN	jour
,	PUNCT	,
pour	ADP	pour
aller	VERB	aller
à	ADP	à
la	DET	le
pêche	NOUN	pêche
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Chargés	VERB	charger
de	ADP	de
leurs	PRON	leur
agrès	NOUN	agrès
,	PUNCT	,
ils	PRON	il
descendirent	VERB	descendre
ce	PRON	ce
chemin	NOUN	chemin
charmant	ADJ	charmant
,	PUNCT	,
ombragé	VERB	ombrager
d'	ADP	de
acacias	NOUN	acacia
,	PUNCT	,
qu'	PRON	que
on	PRON	on
aperçoit	VERB	apercevoir
de	ADP	de
la	DET	le
station	NOUN	station
d'	ADP	de
Évry	NOUN	évry
,	PUNCT	,
et	CONJ	et
qui	PRON	qui
conduit	VERB	conduire
du	ADP	du
bourg	NOUN	bourg
d'	ADP	de
Orcival	NOUN	orcival
à	ADP	à
la	DET	le
Seine	NOUN	seine
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Ils	PRON	il
se	PRON	se
rendaient	VERB	rendre
à	ADP	à
leur	PRON	leur
bateau	NOUN	bateau
amarré	VERB	amarrer
d'	ADP	de
ordinaire	NOUN	ordinaire
à	ADP	à
une	DET	un
cinquantaine	NOUN	cinquantaine
de	ADP	de
mètres	NOUN	mètre
en	ADP	en
amont	NOUN	amont
du	ADP	du
pont	NOUN	pont
de	ADP	de
fil	NOUN	fil
de	ADP	de
fer	NOUN	fer
,	PUNCT	,
le	DET	le
long	NOUN	long
d'	ADP	de
une	DET	un
prairie	NOUN	prairie
joignant	VERB	joindre
Valfeuillu	ADJ	valfeuillu
,	PUNCT	,
la	DET	le
belle	ADJ	beau
propriété	NOUN	propriété
du	ADP	du
comte	NOUN	comte
de	ADP	de
Trémorel	NOUN	trémorel
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Arrivés	VERB	arriver
au	ADP	au
