I	NUM	i
L'	DET	le
année	NOUN	année
scolaire	ADJ	scolaire
est	VERB	être
finie	VERB	finir
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Les	DET	le
portes	NOUN	porte
du	ADP	du
Lycée	NOUN	lycée
sont	VERB	être
à	ADP	à
peine	NOUN	peine
assez	ADV	assez
larges	ADJ	large
pour	ADP	pour
suffire	VERB	suffire
à	ADP	à
l'	DET	le
empressement	NOUN	empressement
des	ADP	du
écoliers	NOUN	écolier
qui	PRON	qui
partent	VERB	partir
en	ADP	en
vacances	NOUN	vacance
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Toutefois	ADV	toutefois
cette	PRON	ce
journée	NOUN	journée
ne	ADV	ne
donne	VERB	donner
pas	ADV	pas
satisfaction	NOUN	satisfaction
à	ADP	à
tous	PRON	tout
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Mais	CONJ	mais
M	VERB	m
.	PUNCT	.
Thiébaut	NOUN	thiébaut
n'	ADV	ne
est	VERB	être
pas	ADV	pas
du	ADP	du
nombre	NOUN	nombre
de	ADP	de
ces	PRON	ce
pères	NOUN	père
de	ADP	de
famille	NOUN	famille
dont	PRON	dont
la	DET	le
physionomie	NOUN	physionomie
sérieuse	ADJ	sérieux
accuse	VERB	accuser
une	DET	un
déception	NOUN	déception
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Il	PRON	il
sourit	VERB	sourire
à	ADP	à
Joseph	NOUN	joseph
et	CONJ	et
à	ADP	à
Xavier	NOUN	xavier
,	PUNCT	,
qui	PRON	qui
élèvent	VERB	élever
leurs	PRON	leur
bras	NOUN	bras
au-dessus	ADV	au-dessus
de	ADP	de
leurs	PRON	leur
têtes	NOUN	tête
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Ces	PRON	ce
braves	ADJ	brave
enfants	NOUN	enfant
sont	VERB	être
assurément	ADV	assurément
bien	ADV	bien
heureux	ADJ	heureux
de	ADP	de
voir	VERB	voir
leur	PRON	leur
père	NOUN	père
;	PUNCT	;
mais	CONJ	mais
pourquoi	ADV	pourquoi
leur	PRON	leur
mère	NOUN	mère
n'	ADV	ne
est-elle	ADJ	est-elle
pas	ADV	pas
là	ADV	là
?	PUNCT	?
<EOS>	<EOS>	<EOS>
Serait-elle	VERB	serait-elle
malade	ADJ	malade
,	PUNCT	,
cette	PRON	ce
mère	NOUN	mère
chérie	VERB	chérir
,	PUNCT	,
dont	PRON	dont
le	DET	le
souvenir	NOUN	souvenir
a	VERB	avoir
soutenu	VERB	soutenir
leur	PRON	leur
courage	NOUN	courage
?	PUNCT	?
