I	NUM	i
Quand	NOUN	quand
Jacques	NOUN	jacques
Mirmont	NOUN	mirmont
entra	VERB	entrer
,	PUNCT	,
madame	NOUN	madame
de	ADP	de
Barroy	NOUN	barroy
s'	PRON	se
élança	VERB	élancer
à	ADP	à
sa	PRON	son
rencontre	NOUN	rencontre
d'	ADP	de
une	DET	un
longue	ADJ	longue
,	PUNCT	,
glissade	NOUN	glissade
,	PUNCT	,
et	CONJ	et
après	ADP	après
un	DET	un
coup	NOUN	coup
d'	ADP	de
œil	NOUN	œil
jeté	VERB	jeter
vers	ADP	vers
la	DET	le
porte	NOUN	porte
,	PUNCT	,
se	PRON	se
serra	VERB	serrer
contre	ADP	contre
lui	PRON	lui
,	PUNCT	,
cherchant	VERB	chercher
à	ADP	à
se	PRON	se
blottir	VERB	blottir
entre	ADP	entre
ses	PRON	son
bras	NOUN	bras
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Il	PRON	il
la	PRON	la
repoussa	VERB	repousser
doucement	ADV	doucement
et	CONJ	et
dit	VERB	dire
,	PUNCT	,
l'	DET	le
air	NOUN	air
agacé	VERB	agacer
mais	CONJ	mais
la	DET	le
voix	NOUN	voix
aimable	ADJ	aimable
:	PUNCT	:
—	PUNCT	—
C'	NOUN	c'
est	VERB	être
fou	ADJ	fou
,	PUNCT	,
ma	PRON	mon
chérie	NOUN	chéri
,	PUNCT	,
ce	PRON	ce
que	PRON	que
vous	PRON	vous
faites	VERB	faire
là	ADV	là
!	PUNCT	!
...	PUNCT	...
<EOS>	<EOS>	<EOS>
Elle	PRON	elle
s'	PRON	se
éloigna	VERB	éloigner
à	ADP	à
regret	NOUN	regret
:	PUNCT	:
—	PUNCT	—
C'	NOUN	c'
est	VERB	être
qu'	CONJ	que
il	PRON	il
y	PRON	y
a	VERB	avoir
si	ADV	si
long	ADJ	long
temps	NOUN	temps
que	CONJ	que
je	PRON	je
ne	ADV	ne
vous	PRON	vous
ai	VERB	avoir
vu	VERB	voir
!	PUNCT	!
...	PUNCT	...
<EOS>	<EOS>	<EOS>
Il	PRON	il
s'	PRON	se
approcha	VERB	approcher
de	ADP	de
la	DET	le
cheminée	NOUN	cheminée
et	CONJ	et
,	PUNCT	,
présentant	VERB	présenter
alternativement	ADV	alternativement
ses	PRON	son
semelles	NOUN	semelle
à	ADP	à
la	DET	le
flamme	NOUN	flamme
,	PUNCT	,
il	PRON	il
répondit	VERB	répondre
:	PUNCT	:
—	PUNCT	—
Si	VERB	si
longtemps	ADV	longtemps
!	PUNCT	!
...	PUNCT	...
<EOS>	<EOS>	<EOS>
je	PRON	je
suis	VERB	suivre|être
venu	VERB	venir
dimanche	NOUN	dimanche
...	PUNCT	...
—	PUNCT	—
Et	VERB	et
c'	PRON	ce
est	VERB	être
aujourd'hui	ADV	aujourd'hui
vendredi	NOUN	vendredi
...	PUNCT	...
ça	PRON	cela
fait	VERB	faire
quatre	NUM	quatre
jours	NOUN	jour
...	PUNCT	...
qui	PRON	qui
m'	PRON	me
ont	VERB	avoir
semblé	VERB	sembler
très	ADV	très
longs	ADJ	long
,	PUNCT	,
à	ADP	à
moi	PRON	moi
!	PUNCT	!
...	PUNCT	...
<EOS>	<EOS>	<EOS>
—	PUNCT	—
En	NOUN	en
admettant	VERB	admettre
qu'	CONJ	que
ils	PRON	il
vous	PRON	vous
aient	VERB	avoir
semblé	VERB	sembler
très	ADV	très
longs	ADJ	long
.	PUNCT	.
,	PUNCT	,
ce	PRON	ce
n'	ADV	ne
est	VERB	être
pas	ADV	pas
une	DET	un
raison	NOUN	raison
pour	ADP	pour
faire	VERB	faire
une	DET	un
imprudence	NOUN	imprudence
comme	CONJ	comme
celle	PRON	celui
-là	ADV	là
...	PUNCT	...
vous	PRON	vous
n'	ADV	ne
avez	VERB	avoir
même	ADV	même
pas	ADV	pas
regardé	VERB	regarder
si	CONJ	si
le	DET	le
domestique	NOUN	domestique
était	VERB	être
sorti	VERB	sortir
...	PUNCT	...
—	PUNCT	—
Je	PRON	je
vous	PRON	vous
demande	VERB	demander
pardon	NOUN	pardon
...	PUNCT	...
j'	PRON	je
étais	VERB	être
en	ADP	en
face	NOUN	face
de	ADP	de
la	DET	le
porte	NOUN	porte
,	PUNCT	,
je	PRON	je
voyais	VERB	voir
que	CONJ	que
nous	PRON	nous
étions	VERB	être
seuls	ADJ	seul
...	PUNCT	...
—	PUNCT	—
Et	VERB	et
votre	PRON	votre
mari	NOUN	mari
!	PUNCT	!
...	PUNCT	...
<EOS>	<EOS>	<EOS>
qui	PRON	qui
pouvait	VERB	pouvoir
entrer	VERB	entrer
aussi	ADV	aussi
par	ADP	par
l'	DET	le
autre	ADJ	autre
côté	NOUN	côté
...	PUNCT	...
—	PUNCT	—
Il	NOUN	il
est	VERB	être
sorti	VERB	sortir
...	PUNCT	...
<EOS>	<EOS>	<EOS>
Le	DET	le
visage	NOUN	visage
très	ADV	très
jeune	ADJ	jeune
,	PUNCT	,
