Livre	NOUN	livre
premier	NUM	premier
--	PUNCT	--
Un	VERB	un
juste	ADJ	juste
Chapitre	NOUN	chapitre
I	NUM	i
--	PUNCT	--
Monsieur	NOUN	monsieur
Myriel	NOUN	myriel
[	PUNCT	[
1	NUM	@card@
]	PUNCT	]
En	NOUN	en
1815	NUM	@card@
,	PUNCT	,
M	VERB	m
.	PUNCT	.
Charles-François-Bienvenu	NOUN	charles-françois-bienvenu
Myriel	NOUN	myriel
était	VERB	être
évêque	NOUN	évêque
de	ADP	de
Digne	NOUN	digne
.	PUNCT	.
<EOS>	<EOS>	<EOS>
C'	PRON	ce
était	VERB	être
un	DET	un
vieillard	NOUN	vieillard
d'	ADP	de
environ	ADV	environ
soixante-quinze	NUM	soixante-quinze
ans	NOUN	an
;	PUNCT	;
il	PRON	il
occupait	VERB	occuper
le	DET	le
siège	NOUN	siège
de	ADP	de
Digne	NOUN	digne
depuis	ADP	depuis
1806.	NOUN	@ord@
<EOS>	<EOS>	<EOS>
Quoique	CONJ	quoique
ce	PRON	ce
détail	NOUN	détail
ne	ADV	ne
touche	VERB	toucher
en	ADP	en
aucune	PRON	aucun
manière	NOUN	manière
au	ADP	au
fond	NOUN	fond
même	ADJ	même
de	ADP	de
ce	PRON	ce
que	PRON	que
nous	PRON	nous
avons	VERB	avoir
à	ADP	à
raconter	VERB	raconter
,	PUNCT	,
il	PRON	il
n'	ADV	ne
est	VERB	être
peut-être	ADV	peut-être
pas	ADV	pas
inutile	ADJ	inutile
,	PUNCT	,
ne	ADV	ne
fût	VERB	être
-ce	PRON	ce
que	PRON	que
pour	ADP	pour
être	VERB	être
exact	ADJ	exact
en	ADP	en
tout	ADV	tout
,	PUNCT	,
d'	ADP	de
indiquer	VERB	indiquer
ici	ADV	ici
les	DET	le
bruits	NOUN	bruit
et	CONJ	et
les	DET	le
propos	NOUN	propos
qui	PRON	qui
avaient	VERB	avoir
couru	VERB	courir
sur	ADP	sur
son	PRON	son
compte	NOUN	compte
au	ADP	au
moment	NOUN	moment
où	PRON	où
il	PRON	il
était	VERB	être
arrivé	VERB	arriver
dans	ADP	dans
le	DET	le
diocèse	NOUN	diocèse
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Vrai	ADJ	vrai
ou	CONJ	ou
faux	ADJ	faux
,	PUNCT	,
ce	PRON	ce
qu'	PRON	que
on	PRON	on
dit	VERB	dire
des	ADP	du
hommes	NOUN	homme
tient	VERB	tenir
souvent	ADV	souvent
