[	PUNCT	[
Première	NOUN	premier|première
partie	NOUN	partie
]	PUNCT	]
I	NUM	i
HAUPOIS-DAGUILLON	NOUN	haupois-daguillon
(	PUNCT	(
Ch	NOUN	ch
.	PUNCT	.
<EOS>	<EOS>	<EOS>
P	NOUN	p
.	PUNCT	.
)	PUNCT	)
,	PUNCT	,
orfèvre	VERB	orfévrer
fournisseur	NOUN	fournisseur
des	ADP	du
cours	NOUN	cour|cours
d'	ADP	de
Angleterre	NOUN	angleterre
,	PUNCT	,
d'	ADP	de
Espagne	NOUN	espagne
,	PUNCT	,
de	ADP	de
Belgique	NOUN	belgique
,	PUNCT	,
de	ADP	de
Grèce	NOUN	grèce
,	PUNCT	,
rue	NOUN	rue
Royale	NOUN	royale
,	PUNCT	,
maisons	NOUN	maison
à	ADP	à
Londres	NOUN	londres
,	PUNCT	,
Regent	NOUN	regent
street	NOUN	street
,	PUNCT	,
et	CONJ	et
à	ADP	à
Madrid	NOUN	madrid
,	PUNCT	,
calle	VERB	caller
de	ADP	de
la	DET	le
Montera	NOUN	montera
.	PUNCT	.
<EOS>	<EOS>	<EOS>
--	PUNCT	--
(	PUNCT	(
0	NUM	@card@
)	PUNCT	)
1802-6-19-23-27-31-44-40	NUM	@card@
.	PUNCT	.
<EOS>	<EOS>	<EOS>
--	PUNCT	--
(	PUNCT	(
P.M.	NOUN	p.m.
)	PUNCT	)
Londres	NOUN	londres
,	PUNCT	,
1851.	X	@ord@
<EOS>	<EOS>	<EOS>
--	PUNCT	--
(	PUNCT	(
A	VERB	avoir
)	PUNCT	)
New-York	NOUN	new-york
,	PUNCT	,
1853.	X	@ord@
<EOS>	<EOS>	<EOS>
--	PUNCT	--
Hors	ADP	hors
concours	NOUN	concours
,	PUNCT	,
Londres	NOUN	londres
1862	NUM	@card@
et	CONJ	et
Paris	NOUN	paris
1867.	X	@ord@
<EOS>	<EOS>	<EOS>
C'	PRON	ce
est	VERB	être
ainsi	ADV	ainsi
que	CONJ	que
se	PRON	se
trouve	VERB	trouver
désignée	VERB	désigner
dans	ADP	dans
le	DET	le
Bottin	NOUN	bottin
une	DET	un
maison	NOUN	maison
d'	ADP	de
orfèvrerie	NOUN	orfèvrerie
qui	PRON	qui
,	PUNCT	,
par	ADP	par
son	PRON	son
ancienneté	NOUN	ancienneté
,	PUNCT	,
--	PUNCT	--
