XXXIX	NUM	xxxix
L'	DET	le
affaire	NOUN	affaire
de	ADP	de
ma	PRON	mon
démission	NOUN	démission
,	PUNCT	,
compliquée	VERB	compliquer
des	ADP	du
scrupules	NOUN	scrupule
prudents	ADJ	prudent
de	ADP	de
mon	PRON	mon
colonel	NOUN	colonel
,	PUNCT	,
m'	PRON	me
avait	VERB	avoir
amené	VERB	amener
à	ADP	à
entretenir	VERB	entretenir
une	DET	un
correspondance	NOUN	correspondance
active	ADJ	actif
avec	ADP	avec
le	DET	le
général	ADJ	général
Martory	NOUN	martory
;	PUNCT	;
tous	PRON	tout
les	DET	le
matins	NOUN	matin
,	PUNCT	,
pendant	ADP	pendant
ma	PRON	mon
maladie	NOUN	maladie
officielle	ADJ	officiel
,	PUNCT	,
je	PRON	je
lui	PRON	lui
avais	VERB	avoir
écrit	VERB	écrire
,	PUNCT	,
et	CONJ	et
plus	ADV	plus
d'	ADP	de
une	DET	un
fois	NOUN	fois
,	PUNCT	,
dans	ADP	dans
le	DET	le
cours	NOUN	cour|cours
de	ADP	de
la	DET	le
journée	NOUN	journée
,	PUNCT	,
je	PRON	je
lui	PRON	lui
avais	VERB	avoir
envoyé	VERB	envoyer
une	DET	un
seconde	NUM	second
lettre	NOUN	lettre
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Mais	CONJ	mais
en	ADP	en
sa	PRON	son
qualité	NOUN	qualité
de	ADP	de
vieux	NOUN	vieux
militaire	ADJ	militaire
qui	PRON	qui
méprise	VERB	mépriser
le	DET	le
papier	NOUN	papier
blanc	ADJ	blanc
et	CONJ	et
considère	VERB	considérer
le	DET	le
travail	NOUN	travail
de	ADP	de
la	DET	le
correspondance	NOUN	correspondance
comme	CONJ	comme
une	DET	un
annexe	NOUN	annexe
du	ADP	du
ménage	NOUN	ménage
,	PUNCT	,
--	PUNCT	--
le	DET	le
balayage	NOUN	balayage
ou	CONJ	ou
le	DET	le
lavage	NOUN	lavage
de	ADP	de
la	DET	le
vaisselle	NOUN	vaisselle
,	PUNCT	,
--	PUNCT	--
il	PRON	il
avait	VERB	avoir
chargé	VERB	charger
Clotilde	NOUN	clotilde
de	ADP	de
me	PRON	me
répondre	VERB	répondre
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Par	ADP	par
ce	PRON	ce
moyen	NOUN	moyen
,	PUNCT	,
nous	PRON	nous
