Première	NUM	premier
partie	NOUN	partie
--	PUNCT	--
Le	DET	le
fils	NOUN	fil|fils
du	ADP	du
médecin	NOUN	médecin
I	NUM	i
--	PUNCT	--
«	PUNCT	«
L'	DET	le
enfance	NOUN	enfance
est	VERB	être
sans	ADP	sans
pitié	NOUN	pitié
»	PUNCT	»
L'	DET	le
orphelinat	NOUN	orphelinat
de	ADP	de
Sainte-Marie	NOUN	sainte-marie
,	PUNCT	,
à	ADP	à
Vouvray	NOUN	vouvray
,	PUNCT	,
est	VERB	être
un	DET	un
grand	ADJ	grand
bâtiment	NOUN	bâtiment
carré	VERB	carrer
,	PUNCT	,
de	ADP	de
construction	NOUN	construction
récente	ADJ	récent
,	PUNCT	,
affectant	VERB	affecter
au-dehors	NOUN	au-dehors
l'	DET	le
aspect	NOUN	aspect
d'	ADP	de
un	DET	un
couvent	NOUN	couvent
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Les	DET	le
fenêtres	NOUN	fenêtre
des	ADP	du
dortoirs	NOUN	dortoir
,	PUNCT	,
qui	PRON	qui
donnent	VERB	donner
sur	ADP	sur
la	DET	le
campagne	NOUN	campagne
,	PUNCT	,
sont	VERB	être
haut	ADV	haut
percées	VERB	percer
,	PUNCT	,
mais	CONJ	mais
ne	ADV	ne
sont	VERB	être
point	ADV	point
garnies	VERB	garnir
de	ADP	de
grilles	NOUN	grille
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Les	DET	le
ateliers	NOUN	atelier
,	PUNCT	,
le	DET	le
réfectoire	NOUN	réfectoire
et	CONJ	et
les	DET	le
salles	NOUN	salle
d'	ADP	de
étude	NOUN	étude
donnent	VERB	donner
sur	ADP	sur
une	DET	un
cour	NOUN	cour
intérieure	ADJ	intérieur
divisée	VERB	diviser
par	ADP	par
une	DET	un
grille	NOUN	grille
;	PUNCT	;
la	DET	le
moitié	NOUN	moitié
de	ADP	de
la	DET	le
cour	NOUN	cour
est	VERB	être
réservée	VERB	réserver
aux	ADP	au
