Chapitre	NOUN	chapitre
1	NUM	@card@
«	PUNCT	«
Zut	NOUN	zut
!	PUNCT	!
<EOS>	<EOS>	<EOS>
»	PUNCT	»
s'	PRON	se
écria	VERB	écrier
tout	ADV	tout
à	ADP	à
coup	NOUN	coup
le	DET	le
père	NOUN	père
Roland	NOUN	roland
qui	PRON	qui
depuis	ADP	depuis
un	DET	un
quart	NOUN	quart
d'	ADP	de
heure	NOUN	heure
demeurait	VERB	demeurer
immobile	ADJ	immobile
,	PUNCT	,
les	DET	le
yeux	NOUN	œil
fixés	VERB	fixer
sur	ADP	sur
l'	DET	le
eau	NOUN	eau
,	PUNCT	,
et	CONJ	et
soulevant	VERB	soulever
par	ADP	par
moments	NOUN	moment
,	PUNCT	,
d'	ADP	de
un	DET	un
mouvement	NOUN	mouvement
très	ADV	très
léger	ADJ	léger
,	PUNCT	,
sa	PRON	son
ligne	NOUN	ligne
descendue	VERB	descendre
au	ADP	au
fond	NOUN	fond
de	ADP	de
la	DET	le
mer	NOUN	mer
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Mme	NOUN	madame
Roland	NOUN	roland
,	PUNCT	,
assoupie	VERB	assoupir
à	ADP	à
l'	DET	le
arrière	NOUN	arrière
du	ADP	du
bateau	NOUN	bateau
,	PUNCT	,
à	ADP	à
côté	NOUN	côté
de	ADP	de
Mme	NOUN	madame
Rosémilly	NOUN	rosémilly
invitée	VERB	inviter
à	ADP	à
cette	PRON	ce
partie	NOUN	partie
de	ADP	de
pêche	NOUN	pêche
,	PUNCT	,
se	PRON	se
réveilla	VERB	réveiller
,	PUNCT	,
et	CONJ	et
tournant	VERB	tourner
la	DET	le
tête	NOUN	tête
vers	ADP	vers
son	PRON	son
mari	NOUN	mari
:	PUNCT	:
«	PUNCT	«
Eh	NOUN	eh
bien	ADJ	bien
,	PUNCT	,
...	PUNCT	...
eh	X	eh
bien	ADV	bien
,	PUNCT	,
...	PUNCT	...
Jérôme	NOUN	jérôme
!	PUNCT	!
<EOS>	<EOS>	<EOS>
»	PUNCT	»
Le	DET	le
bonhomme	NOUN	bonhomme
,	PUNCT	,
furieux	ADJ	furieux
,	PUNCT	,
répondit	VERB	répondre
:	PUNCT	:
«	PUNCT	«
Ça	VERB	ça
ne	ADV	ne
mord	VERB	mordre
plus	ADV	plus
du	ADP	du
tout	NOUN	tout
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Depuis	ADP	depuis
midi	NOUN	midi
je	PRON	je
n'	ADV	ne
ai	VERB	avoir
rien	ADV	rien
pris	VERB	prendre
.	PUNCT	.
<EOS>	<EOS>	<EOS>
On	PRON	on
ne	ADV	ne
devrait	VERB	devoir
jamais	ADV	jamais
pêcher	VERB	pêcher
qu'	CONJ	que
entre	ADP	entre
hommes	NOUN	homme
;	PUNCT	;
les	DET	le
femmes	NOUN	femme
vous	PRON	vous
font	VERB	faire
embarquer	VERB	embarquer
toujours	ADV	toujours
trop	ADV	trop
tard	ADV	tard
.	PUNCT	.
<EOS>	<EOS>	<EOS>
»	PUNCT	»
Ses	NOUN	ses
deux	NUM	deux
fils	NOUN	fil|fils
,	PUNCT	,
Pierre	NOUN	pierre
et	CONJ	et
Jean	NOUN	jean
,	PUNCT	,
qui	PRON	qui
tenaient	VERB	tenir
,	PUNCT	,
l'	DET	le
un	NOUN	un
à	ADP	à
bâbord	NOUN	bâbord
,	PUNCT	,
l'	DET	le
autre	ADJ	autre
à	ADP	à
tribord	NOUN	tribord
,	PUNCT	,
chacun	PRON	chacun
une	DET	un
ligne	NOUN	ligne
enroulée	VERB	enrouler
à	ADP	à
l'	DET	le
index	NOUN	index
,	PUNCT	,
se	PRON	se
mirent	VERB	mettre
à	ADP	à
rire	VERB	rire
en	ADP	en
même	ADJ	même
temps	NOUN	temps
et	CONJ	et
Jean	NOUN	jean
répondit	VERB	répondre
:	PUNCT	:
«	PUNCT	«
Tu	NOUN	tu
n'	ADV	ne
es	VERB	être
pas	ADV	pas
galant	ADJ	galant
pour	ADP	pour
notre	PRON	notre
invitée	NOUN	invité
,	PUNCT	,
papa	NOUN	papa
.	PUNCT	.
<EOS>	<EOS>	<EOS>
»	PUNCT	»
M	ADJ	m
.	PUNCT	.
Roland	NOUN	roland
fut	VERB	être
confus	ADJ	confus
et	CONJ	et
s'	PRON	se
excusa	VERB	excuser
:	PUNCT	:
«	PUNCT	«
Je	PRON	je
vous	PRON	vous
demande	VERB	demander
pardon	NOUN	pardon
,	PUNCT	,
madame	NOUN	madame
Rosémilly	NOUN	rosémilly
,	PUNCT	,
je	PRON	je
suis	VERB	suivre|être
comme	ADV	comme
ça	PRON	cela
.	PUNCT	.
<EOS>	<EOS>	<EOS>
J'	PRON	je
invite	VERB	inviter
les	DET	le
dames	NOUN	dame
parce	CONJ	parce
que	PRON	que
j'	PRON	je
aime	VERB	aimer
me	PRON	me
trouver	VERB	trouver
avec	ADP	avec
elles	PRON	elle
,	PUNCT	,
et	CONJ	et
puis	ADV	puis
,	PUNCT	,
dès	ADP	dès
que	CONJ	que
je	PRON	je
sens	VERB	sentir
de	ADP	de
l'	DET	le
eau	NOUN	eau
sous	ADP	sous
moi	PRON	moi
,	PUNCT	,
je	PRON	je
ne	ADV	ne
pense	VERB	penser
plus	ADV	plus
qu'	CONJ	que
au	ADP	au
poisson	NOUN	poisson
.	PUNCT	.
<EOS>	<EOS>	<EOS>
»	PUNCT	»
Mme	NOUN	madame
Roland	NOUN	roland
s'	PRON	se
était	VERB	être
tout	ADV	tout
à	ADP	à
fait	NOUN	fait
réveillée	VERB	réveiller
et	CONJ	et
regardait	VERB	regarder
d'	ADP	de
un	DET	un
air	NOUN	air
attendri	VERB	attendrir
le	DET	le
large	ADJ	large
horizon	NOUN	horizon
de	ADP	de
falaises	NOUN	falaise
et	CONJ	et
de	ADP	de
mer	NOUN	mer
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Elle	PRON	elle
murmura	VERB	murmurer
:	PUNCT	:
«	PUNCT	«
Vous	NOUN	vous
avez	VERB	avoir
cependant	ADV	cependant
fait	VERB	faire
une	DET	un
belle	ADJ	beau
pêche	NOUN	pêche
.	PUNCT	.
<EOS>	<EOS>	<EOS>
»	PUNCT	»
Mais	VERB	mais
son	PRON	son
mari	NOUN	mari
remuait	VERB	remuer
la	DET	le
tête	NOUN	tête
pour	ADP	pour
dire	VERB	dire
non	ADV	non
,	PUNCT	,
tout	ADV	tout
en	ADP	en
jetant	VERB	jeter
un	DET	un
coup	NOUN	coup
d'	ADP	de
œil	NOUN	œil
bienveillant	ADJ	bienveillant
sur	ADP	sur
le	DET	le
panier	NOUN	panier
où	PRON	où
le	DET	le
poisson	NOUN	poisson
capturé	VERB	capturer
par	ADP	par
les	DET	le
trois	NUM	trois
hommes	NOUN	homme
palpitait	VERB	palpiter
vaguement	ADV	vaguement
encore	ADV	encore
,	PUNCT	,
avec	ADP	avec
un	DET	un
bruit	NOUN	bruit
doux	ADJ	doux
d'	ADP	de
écailles	NOUN	écaille
gluantes	ADJ	gluant
et	CONJ	et
de	ADP	de
nageoires	NOUN	nageoire
soulevées	VERB	soulever
,	PUNCT	,
d'	ADP	de
efforts	NOUN	effort
impuissants	ADJ	impuissant
et	CONJ	et
mous	ADJ	mou
,	PUNCT	,
et	CONJ	et
de	ADP	de
bâillements	NOUN	bâillement
dans	ADP	dans
l'	DET	le
air	NOUN	air
mortel	ADJ	mortel
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Le	DET	le
père	NOUN	père
Roland	NOUN	roland
saisit	VERB	saisir
la	DET	le
manne	NOUN	manne
entre	ADP	entre
ses	PRON	son
genoux	NOUN	genou
,	PUNCT	,
la	PRON	la
pencha	VERB	pencher
,	PUNCT	,
fit	VERB	faire
couler	VERB	couler
jusqu'	ADP	jusque
au	ADP	au
bord	NOUN	bord
le	DET	le
flot	NOUN	flot
d'	ADP	de
argent	NOUN	argent
des	ADP	du
bêtes	NOUN	bête
pour	ADP	pour
voir	VERB	voir
celles	PRON	celui
du	ADP	du
fond	NOUN	fond
,	PUNCT	,
et	CONJ	et
leur	PRON	leur
palpitation	NOUN	palpitation
d'	ADP	de
agonie	NOUN	agonie
s'	PRON	se
accentua	VERB	accentuer
,	PUNCT	,
et	CONJ	et
l'	DET	le
odeur	NOUN	odeur
forte	ADJ	fort
de	ADP	de
leur	PRON	leur
corps	NOUN	corps
,	PUNCT	,
une	DET	un
saine	ADJ	sain
puanteur	NOUN	puanteur
de	ADP	de
marée	NOUN	marée
,	PUNCT	,
monta	VERB	monter
du	ADP	du
ventre	NOUN	ventre
plein	ADJ	plein
de	ADP	de
la	DET	le
corbeille	NOUN	corbeille
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Le	DET	le
vieux	ADJ	vieux
pêcheur	NOUN	pêcheur
la	PRON	la
huma	VERB	humer
vivement	ADV	vivement
,	PUNCT	,
comme	CONJ	comme
on	PRON	on
sent	VERB	sentir
des	ADP	du
roses	NOUN	rose
,	PUNCT	,
et	CONJ	et
déclara	VERB	déclarer
:	PUNCT	:
«	PUNCT	«
Cristi	NOUN	cristi
!	PUNCT	!
<EOS>	<EOS>	<EOS>
ils	PRON	il
sont	VERB	être
frais	ADJ	frais
,	PUNCT	,
ceux	PRON	celui
-là	ADV	là
!	PUNCT	!
<EOS>	<EOS>	<EOS>
»	PUNCT	»
Puis	NOUN	puis
il	PRON	il
continua	VERB	continuer
:	PUNCT	:
«	PUNCT	«
Combien	NOUN	combien
en	PRON	en
as	VERB	avoir
-tu	PRON	tu
pris	VERB	prendre
,	PUNCT	,
toi	PRON	toi
,	PUNCT	,
docteur	NOUN	docteur
?	PUNCT	?
<EOS>	<EOS>	<EOS>
»	PUNCT	»
Son	ADJ	son
fils	NOUN	fil|fils
aîné	ADJ	aîné
,	PUNCT	,
Pierre	NOUN	pierre
,	PUNCT	,
un	DET	un
homme	NOUN	homme
de	ADP	de
trente	NUM	trente
ans	NOUN	an
à	ADP	à
favoris	ADJ	favori
noirs	NOUN	noir
coupés	VERB	couper
comme	CONJ	comme
ceux	PRON	celui
des	ADP	du
magistrats	NOUN	magistrat
,	PUNCT	,
moustaches	NOUN	moustache
et	CONJ	et
menton	NOUN	menton
rasés	VERB	raser
,	PUNCT	,
répondit	VERB	répondre
:	PUNCT	:
«	PUNCT	«
Oh	NOUN	oh
!	PUNCT	!
<EOS>	<EOS>	<EOS>
pas	ADV	pas
grand-chose	NOUN	grand-chose
,	PUNCT	,
trois	NUM	trois
ou	CONJ	ou
quatre	NUM	quatre
.	PUNCT	.
<EOS>	<EOS>	<EOS>
»	PUNCT	»
Le	DET	le
père	NOUN	père
se	PRON	se
tourna	VERB	tourner
vers	ADP	vers
le	DET	le
cadet	NOUN	cadet
:	PUNCT	:
«	PUNCT	«
Et	VERB	et
toi	PRON	toi
,	PUNCT	,
Jean	NOUN	jean
?	PUNCT	?
<EOS>	<EOS>	<EOS>
»	PUNCT	»
Jean	NOUN	jean
,	PUNCT	,
un	DET	un
grand	ADJ	grand
garçon	NOUN	garçon
blond	ADJ	blond
,	PUNCT	,
très	ADV	très
barbu	ADJ	barbu
,	PUNCT	,
beaucoup	ADV	beaucoup
plus	ADV	plus
jeune	ADJ	jeune
que	CONJ	que
son	PRON	son
frère	NOUN	frère
,	PUNCT	,
sourit	VERB	sourire
et	CONJ	et
murmura	VERB	murmurer
:	PUNCT	:
«	PUNCT	«
À	ADP	à
peu	ADV	peu
près	ADV	près
comme	ADV	comme
Pierre	NOUN	pierre
,	PUNCT	,
quatre	NUM	quatre
ou	CONJ	ou
cinq	NUM	cinq
.	PUNCT	.
<EOS>	<EOS>	<EOS>
»	PUNCT	»
Ils	NOUN	ils
faisaient	VERB	faire
,	PUNCT	,
chaque	PRON	chaque
fois	NOUN	fois
,	PUNCT	,
le	DET	le
même	ADJ	même
mensonge	NOUN	mensonge
qui	PRON	qui
ravissait	VERB	ravir
le	DET	le
père	NOUN	père
Roland	NOUN	roland
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Il	PRON	il
avait	VERB	avoir
enroulé	VERB	enrouler
son	PRON	son
fil	NOUN	fil
au	ADP	au
tolet	NOUN	tolet
d'	ADP	de
un	DET	un
aviron	NOUN	aviron
,	PUNCT	,
et	CONJ	et
,	PUNCT	,
croisant	VERB	croiser
ses	PRON	son
bras	NOUN	bras
,	PUNCT	,
il	PRON	il
annonça	VERB	annoncer
:	PUNCT	:
«	PUNCT	«
Je	PRON	je
n'	ADV	ne
essayerai	VERB	essayer
plus	ADV	plus
jamais	ADV	jamais
de	ADP	de
pêcher	VERB	pêcher
l'	DET	le
après-midi	NOUN	après-midi
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Une	DET	un
fois	NOUN	fois
dix	NUM	dix
heures	NOUN	heure
passées	VERB	passer
,	PUNCT	,
c'	PRON	ce
est	VERB	être
fini	VERB	finir
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Il	PRON	il
ne	ADV	ne
mord	VERB	mordre
plus	ADV	plus
,	PUNCT	,
le	DET	le
gredin	NOUN	gredin
,	PUNCT	,
il	PRON	il
fait	VERB	faire
la	DET	le
sieste	NOUN	sieste
au	ADP	au
soleil	NOUN	soleil
.	PUNCT	.
<EOS>	<EOS>	<EOS>
»	PUNCT	»
Le	DET	le
bonhomme	NOUN	bonhomme
regardait	VERB	regarder
la	DET	le
mer	NOUN	mer
autour	ADV	autour
de	ADP	de
lui	PRON	lui
avec	ADP	avec
un	DET	un
air	NOUN	air
satisfait	VERB	satisfaire
de	ADP	de
propriétaire	NOUN	propriétaire
.	PUNCT	.
<EOS>	<EOS>	<EOS>
C'	PRON	ce
était	VERB	être
un	DET	un
ancien	ADJ	ancien
bijoutier	NOUN	bijoutier
parisien	ADJ	parisien
qu'	PRON	que
un	DET	un
amour	NOUN	amour
immodéré	ADJ	immodéré
de	ADP	de
la	DET	le
navigation	NOUN	navigation
et	CONJ	et
de	ADP	de
la	DET	le
pêche	NOUN	pêche
avait	VERB	avoir
arraché	VERB	arracher
au	ADP	au
comptoir	NOUN	comptoir
dès	ADP	dès
qu'	PRON	que
il	PRON	il
eut	VERB	avoir
assez	ADV	assez
d'	ADP	de
aisance	NOUN	aisance
pour	ADP	pour
vivre	VERB	vivre
modestement	ADV	modestement
de	ADP	de
ses	PRON	son
rentes	NOUN	rente
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Il	PRON	il
se	PRON	se
retira	VERB	retirer
donc	ADV	donc
au	ADP	au
Havre	NOUN	havre
,	PUNCT	,
acheta	VERB	acheter
une	DET	un
barque	NOUN	barque
et	CONJ	et
devint	VERB	devenir
matelot	NOUN	matelot
amateur	NOUN	amateur
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Ses	PRON	son
deux	NUM	deux
fils	NOUN	fil|fils
,	PUNCT	,
Pierre	NOUN	pierre
et	CONJ	et
Jean	NOUN	jean
,	PUNCT	,
restèrent	VERB	rester
à	ADP	à
Paris	NOUN	paris
pour	CONJ	pour
continuer	VERB	continuer
leurs	PRON	leur
études	NOUN	étude
et	CONJ	et
vinrent	VERB	venir
en	ADP	en
congé	NOUN	congé
de	ADP	de
temps	NOUN	temps
en	ADP	en
temps	NOUN	temps
partager	VERB	partager
les	DET	le
plaisirs	NOUN	plaisir
de	ADP	de
leur	PRON	leur
père	NOUN	père
.	PUNCT	.
<EOS>	<EOS>	<EOS>
À	ADP	à
la	DET	le
sortie	NOUN	sortie
du	ADP	du
collège	NOUN	collège
,	PUNCT	,
l'	DET	le
aîné	NOUN	aîné
,	PUNCT	,
Pierre	NOUN	pierre
,	PUNCT	,
de	ADP	de
cinq	NUM	cinq
ans	NOUN	an
plus	ADV	plus
âgé	ADJ	âgé
que	CONJ	que
Jean	NOUN	jean
,	PUNCT	,
s'	PRON	se
étant	VERB	être
senti	VERB	sentir
successivement	ADV	successivement
de	ADP	de
la	DET	le
vocation	NOUN	vocation
pour	CONJ	pour
des	ADP	du
professions	NOUN	profession
variées	ADJ	varié
,	PUNCT	,
en	PRON	en
avait	VERB	avoir
essayé	VERB	essayer
,	PUNCT	,
l'	DET	le
une	NOUN	un
après	ADP	après
l'	DET	le
autre	ADJ	autre
,	PUNCT	,
une	DET	un
demi-douzaine	NOUN	demi-douzaine
,	PUNCT	,
et	CONJ	et
,	PUNCT	,
vite	ADV	vite
dégoûté	VERB	dégoûter
de	ADP	de
chacune	PRON	chacun
,	PUNCT	,
se	PRON	se
lançait	VERB	lancer
aussitôt	ADV	aussitôt
dans	ADP	dans
de	ADP	de
nouvelles	ADJ	nouveau
espérances	NOUN	espérance
.	PUNCT	.
<EOS>	<EOS>	<EOS>
En	ADP	en
dernier	ADJ	dernier
lieu	NOUN	lieu
la	DET	le
médecine	NOUN	médecine
l'	PRON	la|le
avait	VERB	avoir
tenté	VERB	tenter
,	PUNCT	,
et	CONJ	et
il	PRON	il
s'	PRON	se
était	VERB	être
mis	VERB	mettre
au	ADP	au
travail	NOUN	travail
avec	ADP	avec
tant	ADV	tant
d'	ADP	de
ardeur	NOUN	ardeur
qu'	PRON	que
il	PRON	il
venait	VERB	venir
d'	ADP	de
