PREMIÈRE	NUM	premier
PARTIE	NOUN	partie
I	NUM	i
Hormis	VERB	hormis
les	DET	le
jours	NOUN	jour
où	PRON	où
mon	PRON	mon
père	NOUN	père
avait	VERB	avoir
pratiqué	VERB	pratiquer
une	DET	un
opération	NOUN	opération
difficile	ADJ	difficile
,	PUNCT	,
un	DET	un
accouchement	NOUN	accouchement
important	ADJ	important
,	PUNCT	,
et	CONJ	et
qu'	CONJ	que
il	PRON	il
en	PRON	en
expliquait	VERB	expliquer
,	PUNCT	,
à	ADP	à
table	NOUN	table
,	PUNCT	,
par	ADP	par
des	ADP	du
termes	NOUN	terme
techniques	ADJ	technique
,	PUNCT	,
souvent	ADV	souvent
latins	ADJ	latin
,	PUNCT	,
les	DET	le
plus	ADV	plus
émouvantes	ADJ	émouvant
phases	NOUN	phase
,	PUNCT	,
mes	PRON	mon
parents	NOUN	parents
ne	ADV	ne
se	PRON	se
parlaient	VERB	parler
presque	ADV	presque
jamais	ADV	jamais
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Non	ADV	non
qu'	CONJ	que
ils	PRON	il
se	PRON	se
boudassent	VERB	bouder
;	PUNCT	;
ils	PRON	il
s'	PRON	se
aimaient	VERB	aimer
beaucoup	ADV	beaucoup
au	ADP	au
contraire	NOUN	contraire
,	PUNCT	,
s'	PRON	se
entendaient	VERB	entendre
,	PUNCT	,
en	ADP	en
toutes	PRON	tout
choses	NOUN	chose
,	PUNCT	,
le	DET	le
mieux	ADV	mieux
du	ADP	du
monde	NOUN	monde
,	PUNCT	,
et	CONJ	et
l'	PRON	la|le
on	PRON	on
ne	ADV	ne
pouvait	VERB	pouvoir
rencontrer	VERB	rencontrer
un	DET	un
ménage	NOUN	ménage
plus	ADV	plus
uni	VERB	unir
;	PUNCT	;
mais	CONJ	mais
,	PUNCT	,
habitués	VERB	habituer
à	ADP	à
penser	VERB	penser
la	DET	le
même	ADJ	même
pensée	NOUN	pensée
,	PUNCT	,
à	ADP	à
vivre	VERB	vivre
les	DET	le
mêmes	ADJ	même
impressions	NOUN	impression
,	PUNCT	,
et	CONJ	et
n'	ADV	ne
étant	VERB	être
point	ADV	point
romanesques	ADJ	romanesque
de	ADP	de
leur	PRON	leur
nature	NOUN	nature
,	PUNCT	,
ils	PRON	il
n'	ADV	ne
avaient	VERB	avoir
rien	ADV	rien
à	ADP	à
se	PRON	se
dire	VERB	dire
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Ils	PRON	il
n'	ADV	ne
avaient	VERB	avoir
rien	ADV	rien
à	ADP	à
me	PRON	me
dire	VERB	dire
non	ADV	non
plus	ADV	plus
,	PUNCT	,
me	PRON	me
trouvant	VERB	trouver
ou	CONJ	ou
trop	ADV	trop
grand	ADJ	grand
pour	ADP	pour
m'	PRON	me
amuser	VERB	amuser
à	ADP	à
des	ADP	du
chansons	NOUN	chanson
,	PUNCT	,
ou	CONJ	ou
trop	ADV	trop
petit	ADJ	petit
pour	ADP	pour
m'	PRON	me
ennuyer	VERB	ennuyer
à	ADP	à
des	ADP	du
questions	NOUN	question
sérieuses	ADJ	sérieux
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Et	CONJ	et
puis	ADV	puis
,	PUNCT	,
ils	PRON	il
étaient	VERB	être
très	ADV	très
imprégnés	VERB	imprégner
de	ADP	de
cette	PRON	ce
idée	NOUN	idée
qu'	PRON	que
un	DET	un
enfant	NOUN	enfant
bien	ADV	bien
élevé	VERB	élever
ne	ADV	ne
doit	VERB	devoir
ouvrir	VERB	ouvrir
la	DET	le
bouche	NOUN	bouche
que	CONJ	que
pour	ADP	pour
manger	VERB	manger
,	PUNCT	,
réciter	VERB	réciter
ses	PRON	son
leçons	NOUN	leçon
,	PUNCT	,
faire	VERB	faire
sa	PRON	son
prière	NOUN	prière
.	PUNCT	.
<EOS>	<EOS>	<EOS>
S'	PRON	se
