I	NUM	i
Le	DET	le
docteur	NOUN	docteur
Davidoff	NOUN	davidoff
,	PUNCT	,
d'	ADP	de
un	DET	un
air	NOUN	air
inspiré	VERB	inspirer
,	PUNCT	,
tournant	VERB	tourner
vers	ADP	vers
les	DET	le
convives	NOUN	convive
du	ADP	du
prince	NOUN	prince
Patrizzi	NOUN	patrizzi
son	PRON	son
visage	NOUN	visage
aux	ADP	au
traits	NOUN	trait
rudes	ADJ	rude
et	CONJ	et
tourmentés	VERB	tourmenter
,	PUNCT	,
laissa	VERB	laisser
,	PUNCT	,
au	ADP	au
milieu	NOUN	milieu
de	ADP	de
la	DET	le
discussion	NOUN	discussion
,	PUNCT	,
tomber	VERB	tomber
ces	PRON	ce
surprenantes	ADJ	surprenant
paroles	NOUN	parole
:	PUNCT	:
--Et	ADJ	--et
vous	PRON	vous
,	PUNCT	,
croyez	VERB	croire
-vous	PRON	vous
à	ADP	à
la	DET	le
puissance	NOUN	puissance
d'	ADP	de
une	DET	un
suggestion	NOUN	suggestion
répétée	VERB	répéter
,	PUNCT	,
qui	PRON	qui
fait	VERB	faire
entrer	VERB	entrer
une	DET	un
idée	NOUN	idée
dans	ADP	dans
votre	PRON	votre
cerveau	NOUN	cerveau
,	PUNCT	,
aiguë	ADJ	aiguë
et	CONJ	et
persistante	ADJ	persistant
comme	CONJ	comme
la	DET	le
pointe	NOUN	pointe
d'	ADP	de
une	DET	un
vrille	NOUN	vrille
?	PUNCT	?
<EOS>	<EOS>	<EOS>
Croyez	VERB	croire
-vous	PRON	vous
que	PRON	que
cette	PRON	ce
idée	NOUN	idée
puisse	VERB	pouvoir
influer	VERB	influer
sur	ADP	sur
votre	PRON	votre
état	NOUN	état
moral	ADJ	moral
,	PUNCT	,
jusqu'	ADP	jusque
à	ADP	à
modifier	VERB	modifier
votre	PRON	votre
état	NOUN	état
physique	ADJ	physique
,	PUNCT	,
car	CONJ	car
vous	PRON	vous
me	PRON	me
concéderez	VERB	concéder
bien	ADV	bien
,	PUNCT	,
n'	ADV	ne
est	VERB	être
-ce	PRON	ce
pas	NOUN	pas
,	PUNCT	,
que	CONJ	que
le	DET	le
moral	ADJ	moral
a	VERB	avoir
une	DET	un
action	NOUN	action
souveraine	ADJ	souverain
et	CONJ	et
décisive	ADJ	décisif
sur	ADP	sur
le	DET	le
physique	ADJ	physique
?	PUNCT	?
...	PUNCT	...
<EOS>	<EOS>	<EOS>
--Nous	NOUN	--nous
vous	PRON	vous
le	PRON	le
concédons	VERB	concéder
,	PUNCT	,
répondit	VERB	répondre
tranquillement	ADV	tranquillement
le	DET	le
Napolitain	NOUN	napolitain
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Maintenant	ADV	maintenant
,	PUNCT	,
et	CONJ	et
c'	PRON	ce
est	VERB	être
là	ADV	là
que	CONJ	que
je	PRON	je
vous	PRON	vous
attends	VERB	attendre
,	PUNCT	,
il	PRON	il
faudrait	VERB	falloir
conclure	VERB	conclure
...	PUNCT	...
A	ADP	à
cette	PRON	ce
riposte	NOUN	riposte
,	PUNCT	,
qui	PRON	qui
promettait	VERB	promettre
une	DET	un
importante	ADJ	important
suite	NOUN	suite
de	ADP	de
développements	NOUN	développement
à	ADP	à
la	DET	le
proposition	NOUN	proposition
formulée	VERB	formuler
par	ADP	par
le	DET	le
médecin	NOUN	médecin
russe	ADJ	russe
,	PUNCT	,
parmi	ADP	parmi
les	DET	le
gais	ADJ	gai
viveurs	NOUN	viveurs
et	CONJ	et
les	DET	le
aimables	ADJ	aimable
femmes	NOUN	femme
qui	PRON	qui
venaient	VERB	venir
d'	ADP	de
achever	VERB	achever
de	ADP	de
dîner	VERB	dîner
,	PUNCT	,
dans	ADP	dans
le	DET	le
salon	NOUN	salon
de	ADP	de
l'	DET	le
Hôtel	NOUN	hôtel
de	ADP	de
Paris	NOUN	paris
,	PUNCT	,
sur	ADP	sur
la	DET	le
terrasse	NOUN	terrasse
de	ADP	de
Monte-Carlo	NOUN	monte-carlo
,	PUNCT	,
il	PRON	il
y	PRON	y
eut	VERB	avoir
un	DET	un
instant	NOUN	instant
de	ADP	de
silencieuse	ADJ	silencieux
stupeur	NOUN	stupeur
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Autour	ADV	autour
de	ADP	de
la	DET	le
table	NOUN	table
,	PUNCT	,
somptueusement	ADV	somptueusement
servie	VERB	servir
,	PUNCT	,
et	CONJ	et
sur	ADP	sur
laquelle	PRON	lequel
,	PUNCT	,
dans	ADP	dans
la	DET	le
chaleur	NOUN	chaleur
des	ADP	du
lumières	NOUN	lumière
et	CONJ	et
la	DET	le
fumée	NOUN	fumée
des	ADP	du
cigarettes	NOUN	cigarette
,	PUNCT	,
les	DET	le
fleurs	NOUN	fleur
se	PRON	se
mouraient	VERB	mourir
asphyxiées	VERB	asphyxier
,	PUNCT	,
des	ADP	du
regards	NOUN	regard
d'	ADP	de
étonnement	NOUN	étonnement
et	CONJ	et
d'	ADP	de
ennui	NOUN	ennui
s'	PRON	se
échangèrent	VERB	échanger
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Puis	ADV	puis
,	PUNCT	,
brusquement	ADV	brusquement
,	PUNCT	,
protestation	NOUN	protestation
indignée	VERB	indigner
de	ADP	de
ces	PRON	ce
mondains	ADJ	mondain
arrachés	NOUN	arraché
à	ADP	à
la	DET	le
futilité	NOUN	futilité
coutumière	ADJ	coutumier
de	ADP	de
leurs	PRON	leur
propos	NOUN	propos
,	PUNCT	,
et	CONJ	et
jetés	VERB	jeter
dans	ADP	dans
les	DET	le
aridités	NOUN	aridité
d'	ADP	de
une	DET	un
conversation	NOUN	conversation
scientifique	ADJ	scientifique
,	PUNCT	,
un	DET	un
ouragan	NOUN	ouragan
d'	ADP	de
apostrophes	NOUN	apostrophe
et	CONJ	et
de	ADP	de
cris	NOUN	cri
se	PRON	se
déchaîna	VERB	déchaîner
.	PUNCT	.
<EOS>	<EOS>	<EOS>
--Assez	ADJ	--assez
de	ADP	de
physiologie	NOUN	physiologie
!	PUNCT	!
...	PUNCT	...
<EOS>	<EOS>	<EOS>
--Nous	ADJ	--nous
sommes	VERB	sommer|être
ici	ADV	ici
pour	ADP	pour
boire	VERB	boire
,	PUNCT	,
fumer	VERB	fumer
et	CONJ	et
rire	VERB	rire
...	PUNCT	...
--C'est	ADJ	--c'est
un	DET	un
cabinet	NOUN	cabinet
particulier	ADJ	particulier
et	CONJ	et
point	ADV	point
une	DET	un
clinique	NOUN	clinique
...	PUNCT	...
--Zut	ADJ	--zut
pour	ADP	pour
le	DET	le
docteur	NOUN	docteur
!	PUNCT	!
<EOS>	<EOS>	<EOS>
Il	PRON	il
est	VERB	être
paf	ADJ	paf
!	PUNCT	!
<EOS>	<EOS>	<EOS>
--Messieurs	ADJ	--messieurs
,	PUNCT	,
je	PRON	je
vous	PRON	vous
en	PRON	en
prie	VERB	prier
,	PUNCT	,
écoutez	VERB	écouter
,	PUNCT	,
c'	PRON	ce
est	VERB	être
