PREMIÈRE	NUM	premier
PARTIE	NOUN	partie
I	NUM	i
Rue	NOUN	rue
de	ADP	de
Châteaudun	NOUN	châteaudun
,	PUNCT	,
sur	ADP	sur
la	DET	le
façade	NOUN	façade
d'	ADP	de
un	NOUN	un
des	ADP	du
immeubles	NOUN	immeuble
qui	PRON	qui
avoisinent	VERB	avoisiner
les	DET	le
jardins	NOUN	jardin
,	PUNCT	,
derniers	ADJ	dernier
vestiges	NOUN	vestige
des	ADP	du
seigneuriales	ADJ	seigneurial
demeures	NOUN	demeure
où	PRON	où
habitèrent	VERB	habiter
Talleyrand	NOUN	talleyrand
et	CONJ	et
la	DET	le
reine	NOUN	reine
Hortense	NOUN	hortense
,	PUNCT	,
se	PRON	se
lit	VERB	lire
,	PUNCT	,
sur	ADP	sur
une	DET	un
plaque	NOUN	plaque
de	ADP	de
marbre	NOUN	marbre
,	PUNCT	,
cette	PRON	ce
inscription	NOUN	inscription
:	PUNCT	:
Banque	NOUN	banque
de	ADP	de
l'	DET	le
Alimentation---Vernier-Mareuil	NOUN	alimentation---vernier-mareuil
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Cette	PRON	ce
maison	NOUN	maison
,	PUNCT	,
hautement	ADV	hautement
estimée	VERB	estimer
dans	ADP	dans
le	DET	le
commerce	NOUN	commerce
,	PUNCT	,
porte	VERB	porter
les	DET	le
noms	NOUN	nom
de	ADP	de
deux	NUM	deux
hommes	NOUN	homme
très	ADV	très
connus	VERB	connaître
dans	ADP	dans
le	DET	le
monde	NOUN	monde
parisien	ADJ	parisien
pour	ADP	pour
leur	PRON	leur
soudaine	ADJ	soudain
et	CONJ	et
rapide	ADJ	rapide
ascension	NOUN	ascension
vers	ADP	vers
la	DET	le
grande	ADJ	grand
fortune	NOUN	fortune
.	PUNCT	.
<EOS>	<EOS>	<EOS>
En	ADP	en
vingt	NUM	vingt
ans	NOUN	an
,	PUNCT	,
Vernier	NOUN	vernier
et	CONJ	et
son	PRON	son
beau-frère	NOUN	beau-frère
Mareuil	NOUN	mareuil
,	PUNCT	,
partis	VERB	partir
de	ADP	de
rien	NOUN	rien
,	PUNCT	,
sont	VERB	être
arrivés	VERB	arriver
à	ADP	à
tenir	VERB	tenir
une	DET	un
place	NOUN	place
prépondérante	ADJ	prépondérant
à	ADP	à
la	DET	le
Bourse	NOUN	bourse
,	PUNCT	,
et	CONJ	et
les	DET	le
banques	NOUN	banque
les	DET	le
plus	ADV	plus
solides	ADJ	solide
sont	VERB	être
obligées	VERB	obliger
de	ADP	de
compter	VERB	compter
avec	ADP	avec
eux	PRON	eux
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Par	ADP	par
l'	DET	le
alimentation	NOUN	alimentation
,	PUNCT	,
ils	PRON	il
étendent	VERB	étendre
leur	PRON	leur
influence	NOUN	influence
sur	ADP	sur
le	DET	le
négoce	NOUN	négoce
des	ADP	du
vins	NOUN	vin
,	PUNCT	,
des	ADP	du
eaux-de-vie	NOUN	eaux-de-vie
et	CONJ	et
des	ADP	du
liqueurs	NOUN	liqueur
,	PUNCT	,
et	CONJ	et
enlacent	VERB	enlacer
le	DET	le
Midi	NOUN	midi
tout	ADV	tout
entier	ADJ	entier
sous	ADP	sous
les	DET	le
mailles	NOUN	maille
d'	ADP	de
un	DET	un
gigantesque	ADJ	gigantesque
filet	NOUN	filet
dont	PRON	dont
ils	PRON	il
tiennent	VERB	tenir
la	DET	le
corde	NOUN	corde
dans	ADP	dans
leurs	PRON	leur
bureaux	NOUN	bureau
de	ADP	de
la	DET	le
rue	NOUN	rue
de	ADP	de
Châteaudun	NOUN	châteaudun
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Ils	PRON	il
ont	VERB	avoir
établi	VERB	établir
,	PUNCT	,
pour	ADP	pour
lutter	VERB	lutter
contre	ADP	contre
la	DET	le
mévente	NOUN	mévente
