I	NUM	i
--	PUNCT	--
Deux	NOUN	deux
propriétaires	ADJ	propriétaire
.	PUNCT	.
<EOS>	<EOS>	<EOS>
«	PUNCT	«
Il	NOUN	il
arrivera	VERB	arriver
!	PUNCT	!
...	PUNCT	...
<EOS>	<EOS>	<EOS>
Il	PRON	il
n'	ADV	ne
arrivera	VERB	arriver
pas	ADV	pas
!	PUNCT	!
...	PUNCT	...
<EOS>	<EOS>	<EOS>
»	PUNCT	»
Ces	NOUN	ces
deux	NUM	deux
exclamations	NOUN	exclamation
partent	VERB	partir
d'	ADP	de
un	DET	un
wagon	NOUN	wagon
de	ADP	de
première	NUM	premier
classe	NOUN	classe
;	PUNCT	;
on	PRON	on
regarde	VERB	regarder
en	ADP	en
riant	VERB	rire
un	DET	un
petit	ADJ	petit
homme	NOUN	homme
sec	ADJ	sec
,	PUNCT	,
vêtu	VERB	vêtir
d'	ADP	de
une	DET	un
longue	ADJ	longue
redingote	NOUN	redingote
brune	ADJ	brun
usée	VERB	user
jusqu'	ADP	jusque
à	ADP	à
la	DET	le
corde	NOUN	corde
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Il	PRON	il
court	VERB	courir
de	ADP	de
toute	PRON	tout
la	DET	le
force	NOUN	force
de	ADP	de
ses	PRON	son
vieilles	ADJ	vieux
jambes	NOUN	jambe
,	PUNCT	,
et	CONJ	et
se	PRON	se
démène	VERB	démener
tant	ADV	tant
qu'	CONJ	que
il	PRON	il
peut	VERB	pouvoir
sous	ADP	sous
trois	NUM	trois
ou	CONJ	ou
quatre	NUM	quatre
paquets	NOUN	paquet
qui	PRON	qui
compliquent	VERB	compliquer
la	DET	le
situation	NOUN	situation
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Le	DET	le
terrible	ADJ	terrible
coup	NOUN	coup
de	ADP	de
sifflet	NOUN	sifflet
lui	PRON	lui
donne	VERB	donner
une	DET	un
secousse	NOUN	secousse
;	PUNCT	;
un	DET	un
paquet	NOUN	paquet
tombe	VERB	tomber
,	PUNCT	,
puis	ADV	puis
un	DET	un
autre	ADJ	autre
.	PUNCT	.
<EOS>	<EOS>	<EOS>
pendant	ADP	pendant
qu'	CONJ	que
il	PRON	il
se	PRON	se
baisse	VERB	baisser
pour	ADP	pour
les	PRON	la|le
ramasser	VERB	ramasser
,	PUNCT	,
le	DET	le
troisième	NUM	troisième
paquet	NOUN	paquet
s'	PRON	se
en	PRON	en
mêle	VERB	mêler
;	PUNCT	;
c'	PRON	ce
est	VERB	être
à	ADP	à
en	PRON	en
perdre	VERB	perdre
la	DET	le
tête	NOUN	tête
;	PUNCT	;
il	PRON	il
ne	ADV	ne
la	PRON	la
perd	VERB	perdre
pas	ADV	pas
,	PUNCT	,
car	CONJ	car
il	PRON	il
tient	VERB	tenir
et	CONJ	et
serre	VERB	serrer
étroitement	ADV	étroitement
dans	ADP	dans
sa	PRON	son
main	NOUN	main
droite	ADJ	droit
l'	DET	le
affreux	ADJ	affreux
sac	NOUN	sac
de	ADP	de
voyage	NOUN	voyage
qu'	PRON	que
il	PRON	il
promène	VERB	promener
depuis	ADP	depuis
trente	NUM	trente
ans	NOUN	an
,	PUNCT	,
dit	VERB	dire
-on	PRON	on
,	PUNCT	,
et	CONJ	et
dont	PRON	dont
il	PRON	il
ne	ADV	ne
se	PRON	se
séparerait	VERB	séparer
pas	ADV	pas
,	PUNCT	,
le	DET	le
monde	NOUN	monde
croulant	ADJ	croulant
.	PUNCT	.
<EOS>	<EOS>	<EOS>
«	PUNCT	«
En	NOUN	en
voiture	NOUN	voiture
,	PUNCT	,
messieurs	NOUN	messieurs
,	PUNCT	,
en	ADP	en
voiture	NOUN	voiture
!	PUNCT	!
<EOS>	<EOS>	<EOS>
»	PUNCT	»
Cette	NOUN	cette
voix	NOUN	voix
stridente	ADJ	strident
redouble	VERB	redoubler
l'	DET	le
empressement	NOUN	empressement
du	ADP	du
bonhomme	NOUN	bonhomme
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Il	PRON	il
étouffe	VERB	étouffer
...	PUNCT	...
qu'	PRON	que
importe	VERB	importer
!	PUNCT	!
<EOS>	<EOS>	<EOS>
On	PRON	on
part	VERB	partir
.	PUNCT	.
