I	NUM	i
--	PUNCT	--
Adalbert	NOUN	adalbert
était	VERB	être
heureux	ADJ	heureux
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Rien	NOUN	rien
de	ADP	de
plus	ADV	plus
joli	ADJ	joli
que	CONJ	que
la	DET	le
demeure	NOUN	demeure
où	PRON	où
s'	PRON	se
écoulait	VERB	écouler
l'	DET	le
enfance	NOUN	enfance
du	ADP	du
petit	ADJ	petit
Adalbert	NOUN	adalbert
;	PUNCT	;
c'	PRON	ce
était	VERB	être
la	DET	le
campagne	NOUN	campagne
de	ADP	de
la	DET	le
Normandie	NOUN	normandie
avec	ADP	avec
ses	PRON	son
haies	NOUN	haie
,	PUNCT	,
ses	PRON	son
buissons	NOUN	buisson
,	PUNCT	,
ses	PRON	son
grands	ADJ	grand
prés	NOUN	pré
,	PUNCT	,
ses	PRON	son
champs	NOUN	champ
dorés	ADJ	doré
,	PUNCT	,
tous	PRON	tout
ses	PRON	son
parfums	NOUN	parfum
,	PUNCT	,
toutes	PRON	tout
ses	PRON	son
fleurs	NOUN	fleur
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Ces	PRON	ce
trésors	NOUN	trésor
,	PUNCT	,
Adalbert	NOUN	adalbert
les	PRON	la|le
partageait	VERB	partager
avec	ADP	avec
les	DET	le
enfants	NOUN	enfant
du	ADP	du
canton	NOUN	canton
,	PUNCT	,
car	CONJ	car
Dieu	NOUN	dieu
a	VERB	avoir
mis	VERB	mettre
pour	ADP	pour
tous	PRON	tout
du	ADP	du
bonheur	NOUN	bonheur
dans	ADP	dans
la	DET	le
plaine	NOUN	plaine
;	PUNCT	;
mais	CONJ	mais
ce	PRON	ce
dont	PRON	dont
le	DET	le
petit	ADJ	petit
garçon	NOUN	garçon
jouissait	VERB	jouir
seulement	ADV	seulement
avec	ADP	avec
ses	PRON	son
frères	NOUN	frère
et	CONJ	et
sa	PRON	son
sœur	NOUN	sœur
,	PUNCT	,
c'	PRON	ce
était	VERB	être
une	DET	un
grande	ADJ	grand
et	CONJ	et
belle	ADJ	beau
maison	NOUN	maison
dont	PRON	dont
les	DET	le
fenêtres	NOUN	fenêtre
donnaient	VERB	donner
sur	ADP	sur
une	DET	un
jolie	ADJ	joli
pelouse	NOUN	pelouse
,	PUNCT	,
où	PRON	où
l'	DET	le
on	PRON	on
admirait	VERB	admirer
deux	NUM	deux
corbeilles	NOUN	corbeille
de	ADP	de
roses	NOUN	rose
,	PUNCT	,
les	DET	le
plus	ADV	plus
délicieuses	ADJ	délicieux
qu'	PRON	que
on	PRON	on
pût	VERB	pouvoir
voir	VERB	voir
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Il	PRON	il
y	PRON	y
avait	VERB	avoir
de	ADP	de
tous	PRON	tout
côtés	NOUN	côté
des	ADP	du
arbres	NOUN	arbre
verts	ADJ	vert
,	PUNCT	,
des	ADP	du
peupliers	NOUN	peuplier
,	PUNCT	,
des	ADP	du
hêtres	NOUN	hêtre
,	PUNCT	,
des	ADP	du
chênes	NOUN	chêne
,	PUNCT	,
des	ADP	du
ormes	NOUN	orme
,	PUNCT	,
entre	ADP	entre
lesquels	PRON	lequel
couraient	VERB	courir
tantôt	ADV	tantôt
des	ADP	du
allées	NOUN	allée
capricieuses	ADJ	capricieux
,	PUNCT	,
tantôt	ADV	tantôt
de	ADP	de
l'	DET	le
eau	NOUN	eau
bien	ADV	bien
claire	ADJ	clair
où	PRON	où
se	PRON	se
plaisaient	VERB	plaire
de	ADP	de
beaux	ADJ	beau
poissons	NOUN	poisson
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Au	ADP	au
fond	NOUN	fond
du	ADP	du
parc	NOUN	parc
était	VERB	être
un	DET	un
labyrinthe	NOUN	labyrinthe
formé	VERB	former
de	ADP	de
lilas	NOUN	lilas
et	CONJ	et
de	ADP	de
clématite	NOUN	clématite
,	PUNCT	,
où	PRON	où
l'	DET	le
on	PRON	on
se	PRON	se
perdait	VERB	perdre
pour	ADP	pour
de	ADP	de
bon	ADJ	bon
,	PUNCT	,
tant	ADV	tant
il	PRON	il
y	PRON	y
avait	VERB	avoir
de	ADP	de
détours	NOUN	détour
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Ce	PRON	ce
labyrinthe	NOUN	labyrinthe
semblait	VERB	sembler
avoir	VERB	avoir
été	VERB	être
fait	VERB	faire
tout	ADV	tout
