;num_tokens;num_sents
Ponson_RocambolePrison;154221;9922
Ohnet_AmePierre;66107;3155
Malot_ClotildeMartory;58552;2339
Zola_VentreParis;145723;6134
Malot_Cara;134754;4472
Stolz_DessusHaie;68024;2985
Zola_Oeuvre;177390;7097
Mary_RevancheRoger1;317949;18364
Maupassant_FortMort;93134;3895
Mirbeau_JardinSupplices;82130;2885
Hugo_Miserables5JeanValjean;138328;7396
Aimard_TrappeursArkansas;107817;4602
Zola_Germinal;220991;9996
Flaubert_MadameBovary;148974;6703
Rodenbach_BrugesLaMorte;26324;1090
France_MannequinOsier;64231;2726
Malot_Ghislaine;112388;3977
Gaboriau_MonsieurLecoq;331046;12547
Mary_RogerLaHonte;69318;3709
Ohnet_Batailles1MarchandPoison;62458;3384
Gaboriau_Lerouge;160463;9242
Maupassant_UneVie;95538;4054
Ponson_CordePendu;244227;18053
Maupassant_PierreJean;56712;2507
FevalPP_CavalierFortune;165871;8001
Mary_FillesPocharde;97958;5392
Ponson_Breda;67254;3707
Fleuriot_Conge;45235;1845
Boisgobey_Omnibus;115446;6232
Maupassant_MontOriol;105189;4533
Zola_Terre;223820;10153
Hugo_Miserables1Fantine;146427;7758
Hugo_Miserables2Cosette;125909;6377
Gouraud_Colporteur;51804;2365
Mirbeau_AbbeJules;99507;4260
Mirbeau_SebastienRoch;121467;5198
Fleuriot_Alberte;79540;4160
Huysmans_ARebours;80279;1437
France_Thais;65077;2899
Flaubert_Sallambo;129350;5572
Rodenbach_Carillonneur;90127;4266
Aimard_BanditsArizona;87730;3728
FevalPP_ErrantsNuit;128327;7972
Stolz_TresorNanette;59068;2015
Gyp_Totote;57408;2426
France_CrimeSylvestreBonnard;72779;3526
Hugo_Miserables4Idylle;159237;8019
Gaboriau_CrimeOrcival;155621;7750
Aimard_GrandChefAucas;245804;11130
Maupassant_BelAmi;141180;7010
Boisgobey_MainFroide;123894;5878
FevalPP_JeanDiable;345073;16089
Huysmans_SoeursVatard;82663;2984
Gouraud_Quand;55084;2333
Stolz_MaisonRoulante;63306;2591
Flaubert_Education;193524;10632
Ohnet_GrandeMarniere;141084;6687
Boisgobey_DoubleBlanc;148693;6557
Zola_Nana;193460;10040
