idno	author	author-gender	title	year	decade	subgenre	reputation	brow	worldcat_reprints_1970-2009	old-ids	notes
Flaubert_Education.txt	Flaubert	male	Education	1869	1860s	blanche	high	high	4 or more reprints	rd0041.txt	„brow”=based on reprints
Flaubert_MadameBovary.txt	Flaubert	male	MadameBovary	1857	1850s	blanche	high	high	4 or more reprints	rd0040.txt	
Flaubert_Sallambo.txt	Flaubert	male	Sallambo	1862	1860s	blanche	high	high	4 or more reprints	rd0042.txt	
France_CrimeSylvestreBonnard.txt	France	male	CrimeSylvestreBonnard	1881	1880s	blanche	high	high	4 or more reprints		Nobel
France_MannequinOsier.txt	France	male	MannequinOsier	1897	1890s	histoire	high	high	4 or more reprints		Nobel
France_Thais.txt	France	male	Thais	1890	1890s	blanche	high	high	4 or more reprints		Nobel
Huysmans_ARebours.txt	Huysmans	male	ARebours	1884	1880s		high	high	4 or more reprints		
Huysmans_SoeursVatard.txt	Huysmans	male	SoeursVatard	1879	1870s		high	high	4 or more reprints		
Maupassant_BelAmi.txt	Maupassant	male	BelAmi	1885	1880s	blanche	high	high	4 or more reprints	rd0052.txt	
Maupassant_PierreJean.txt	Maupassant	male	PierreJean	1888	1880s	blanche	high	high	4 or more reprints	rd0055.txt	
Maupassant_UneVie.txt	Maupassant	male	UneVie	1883	1880s	blanche	high	high	4 or more reprints	rd0056.txt	
Mirbeau_AbbeJules.txt	Mirbeau	male	AbbeJules	1888	1880s	---	high	high	3 reprints		Goncourt
Mirbeau_JardinSupplices.txt	Mirbeau	male	JardinSupplices	1899	1890s	---	high	high	2 reprints		Goncourt
Mirbeau_SebastienRoch.txt	Mirbeau	male	SebastienRoch	1890	1890s	---	high	high	3 reprints		Goncourt
Zola_Germinal.txt	Zola	male	Germinal	1885	1880s	blanche	high	high	4 or more reprints	rd0058.txt	
Zola_Nana.txt	Zola	male	Nana	1885	1880s	blanche	high	high	4 or more reprints	rd0059.txt	
Zola_Oeuvre.txt	Zola	male	Oeuvre	1886	1880s	blanche	high	high	4 or more reprints	rd0060.txt	
Hugo_Miserables1Fantine.txt	Hugo	male	Miserables1Fantine	1862	1860s	blanche	high	high	4 or more reprints	rd0641	
Hugo_Miserables4Idylle.txt	Hugo	male	Miserables4Idylle	1862	1860s	blanche	high	high	4 or more reprints	rd0644	
Hugo_Miserables2Cosette.txt	Hugo	male	Miserables2Cosette	1862	1860s	blanche	high	high	4 or more reprints	rd0642	
Hugo_Miserables5JeanValjean.txt	Hugo	male	Miserables5JeanValjean	1862	1860s	blanche	high	high	4 or more reprints	rd0645	
Maupassant_MontOriol.txt	Maupassant	male	MontOriol	1887	1880s	blanche	high	high	4 or more reprints	rd0054	
Maupassant_FortMort.txt	Maupassant	male	FortMort	1889	1880s	blanche	high	high	4 or more reprints	rd0053	
Verne_CapitaineQuinzeAns.txt	Verne	male	CapitaineQuinzeAns	1878	1870s	blanche	high	high	4 or more reprints	rd0087	low?
Verne_IleMysterieuse.txt	Verne	male	IleMysterieuse	1875	1870s	blanche	high	high	4 or more reprints	rd0169	low?
Verne_AventureTroisRusses.txt	Verne	male	AventureTroisRusses	1872	1870s	blanche	high	high	4 or more reprints	rd0083	low?
Zola_VentreParis.txt	Zola	male	VentreParis	1873	1870s	blanche	high	high	4 or more reprints	rd0061	
Zola_Terre.txt	Zola	male	Terre	1887	1880s	blanche	high	high	4 or more reprints	rd0105	
Aimard_BanditsArizona.txt	Aimard	male	BanditsArizona	1881	1880s	aventure	low	high	2 reprints	rd0301.txt	
Aimard_GrandChefAucas.txt	Aimard	male	GrandChefAucas	1858	1850s	aventure	low	low	0 reprints	rd0309.txt	
Aimard_TrappeursArkansas.txt	Aimard	male	TrappeursArkansas	1858	1850s	aventure	low	high	1 reprint	rd0302.txt	
FevalPP_CavalierFortune.txt	FevalPP	male	CavalierFortune	1868	1860s	aventure	low	high	1 reprint	rd0605.txt	
FevalPP_ErrantsNuit.txt	FevalPP	male	ErrantsNuit	1857	1850s	policier	low	low	0 reprints	rd0607.txt	
