;num_sents;num_tokens
Modiano_Dora;1606;34401
Stephens_Ciel;3692;61765
Simon_Prochain;2954;72871
Tournier_Gaspard;3734;89988
Lebeau_Algebre;5166;99427
Jardin_Autobiographie;2327;58669
HermaryVieille_Marquise;10991;196389
Bachellerie_Ile;2964;58428
Tornielle_Lina;3709;55370
Rolin_Deux;4264;72178
Veinstein_Accordeur;1897;47604
Modiano_Remise;1315;24597
BatailleT_Valerie;2730;41063
HermaryVieille_Grand;3404;80405
Perrein_Fourmi;8779;137822
Japp_Bostonienne;2581;62405
Cerignac_Moliere;5190;81483
Constant_Fille;1969;48782
Echenoz_Equipee;3816;82923
Mequillet_Muriel;2990;52527
Japp_Chante;3028;62976
Roszel_Jardin;3699;53190
Bourin_Peregrines;7572;177372
Vargas_Sans;6589;91855
Pourunjour_Voisins;3170;54729
Estebe_Laureen;3355;47257
Clot_Enfant;12354;193617
Fleutiaux_Allons;5268;116993
Japp_Femelle;3902;60166
vanWieren_Reves;3535;53103
Forest_Chanson;4634;70875
Nothomb_Hygiene;4131;61541
Picard_Ingrid;2959;45830
Bourin_Compagnons;6302;141941
Labro_Petit;3294;95708
Simon_Derive;2086;58325
Nothomb_Peplum;3252;44475
Labro_Ete;3797;93318
Ouravel_Sophie;2861;51956
Nothomb_Attentat;2893;45259
Japp_Petite;3362;57309
Manchette_Iris;1122;19305
Duras_Amant;1977;37998
BoileauNarcejac_Ombre;4210;59522
Guibert_Piano;3139;55257
Echenoz_Blondes;3196;66181
Vasilos_Mystere;5859;81419
Bourin_Amours;5642;121975
Daeninckx_Facteur;2671;63147
Hutchinson_Soleil;5006;81726
Woods_Pluie;4144;56281
LeClezio_Onitsha;4133;79308
Boulanger_Confession;4061;59008
Bon_Sortie;1651;51317
Modiano_Quartier;3091;54176
Jammet_Sylvie;3564;50876
Simon_Georgiques;1936;152682
Mousset_Jane;4576;55610
Vargas_Homme;7932;104615
Duras_Yeux;2202;35933
Bachellerie_Rue;2381;51498
Glenn_Amour;2653;41787
Win_Madison;8552;119032
Deon_Bagages;2084;64888
Bouhier_Portrait;3596;63826
Modiano_Cirque;2636;41027
Derenne_Cylia;2244;39607
Vautrin_Grand;13406;185510
Pennac_Petite;6691;116768
Daeninckx_Der;3993;72343
