Filename	author-name	translation	author-gender	book-title	publ-year	publ-decade	publisher	collection		subgenre	group	brow	prizes
Bourin_Amours.txt	Bourin, Jeanne	no	female	Les amours blessées	1987	1980s	Gallimard	Folio		blanche	blanche	high	a: Académie
Bourin_Compagnons.txt	Bourin, Jeanne	no	female	Les compagnons d'éternité	1992	1990s	Gallimard	Folio		blanche	blanche	high	a: Académie
Bourin_Peregrines.txt	Bourin, Jeanne	no	female	Les Pérégrines	1989	1980s	Gallimard	Folio		blanche	blanche	high	a: Académie
Constant_Fille.txt	Constant, Paule	no	female	La fille du Gobernator	1994	1990s	Gallimard	Folio		blanche	blanche	high	a: Goncourt, Académie
Duras_Amant.txt	Duras, Marguerite	no	female	Amant	1984	1980s	(unknown)	(unknown)		blanche	blanche	high	n: Goncourt
Duras_Yeux.txt	Duras, Marguerite	no	female	Yeux Bleus	1986	1980s	(unknown)	(unknown)		blanche	blanche	high	a: Goncourt
Fleutiaux_Allons.txt	Fleutieaux, Pierrette	no	female	Allons-nous être heureux?	1994	1990s	Gallimard	Folio		blanche	blanche	high	a: Fémina
HermaryVieille_Grand.txt	Hermary-Vieille, Catherine	no	female	Le grand vizir de la nuit	1981	1980s	Gallimard	Folio		blanche	blanche	high	n: Fémina
HermaryVieille_Marquise.txt	Hermary-Vieille, Catherine	no	female	La Marquise des Ombres	1983	1980s	Denoël	Folio		blanche	blanche	high	a: Fémina
Nothomb_Attentat.txt	Nothomb, Amélie	no	female	Attentat	1997	1990s	(unknown)	(unknown)		blanche	blanche	high	a: Prix Académie
Nothomb_Hygiene.txt	Nothomb, Amélie	no	female	Hygiene Assassin	1992	1990s	(unknown)	(unknown)		blanche	blanche	high	a: Prix Académie
Nothomb_Peplum.txt	Nothomb, Amélie	no	female	Peplum	1996	1990s	(unknown)	(unknown)		blanche	blanche	high	a: Prix Académie
Perrein_Fourmi.txt	Perrein, Michèle	no	female	Comme une fourmi cavalière	1980	1980s	Grasset	(unknown)		blanche	blanche	high	a: Interallié
Rolin_Deux.txt	Rolin, Dominique	no	female	Deux femmes un soir	1992	1990s	Gallimard	Folio		blanche	blanche	high	a: Fémina
Bon_Sortie.txt	Bon, Francois	no	male	Sortie Usine	1982	1980s	(unknown)	(unknown)		blanche	blanche	high	a: nombreux prix
Boulanger_Confession.txt	Boulanger, Daniel	no	male	La confession d'Omer	1991	1990s	Gallimard	Folio		blanche	blanche	high	a: nombreux prix
Clot_Enfant.txt	Clot, René-Jean	no	male	L'Enfant halluciné	1987	1980s	Grasset	(unknown)		blanche	blanche	high	n: Renaudot
Deon_Bagages.txt	Déon, Michel	no	male	Bagages pour Vancouver. Mes arches de Noé	1985	1980s	Gallimard	Folio		blanche	blanche	high	a: Membre Académie
Echenoz_Blondes.txt	Echenoz, Jean	no	male	Blondes	1995	1990s	(unknown)	(unknown)		blanche	blanche	high	a: Prix Médicis, prix Goncourt
Echenoz_Equipee.txt	Echenoz, Jean	no	male	Equipee	1986	1980s	(unknown)	(unknown)		blanche	blanche	high	a: Médicis, Goncourt
Jardin_Autobiographie.txt	Jardin, Alexandre	no	male	Autobiographie d'un amour	1999	1990s	Gallimard	Folio		blanche	blanche	high	a: Fémina
Labro_Ete.txt	Labro, Philippe	no	male	Un été dans l'Ouest	1988	1980s	Gallimard	Folio		blanche	blanche	high	a: Interallié, presque Goncourt
Labro_Petit.txt	Labro, Philippe	no	male	Le Petit garçon	1988	1980s	Gallimard	Folio		blanche	blanche	high	a: Interallié, presque Goncourt
LeClezio_Onitsha.txt	Le Clézio, Jean-Marie Gustave	no	male	Onitsha	1991	1990s	Gallimard	(unknown)		blanche	blanche	high	a: Nobel
Modiano_Cirque.txt	Modiano, Patrick	no	male	Cirque Passe	1992	1990s	(unknown)	(unknown)		blanche	blanche	high	a: Nobel
Modiano_Dora.txt	Modiano, Patrick	no	male	Dora Bruder	1997	1990s	Gallimard	Blanche		blanche	blanche	high	a: Nobel
Modiano_Quartier.txt	Modiano, Patrick	no	male	Quartier perdu	1984	1980s	Gallimard	Blanche		blanche	blanche	high	a: Nobel
Modiano_Remise.txt	Modiano, Patrick	no	male	Remise Peine	1988	1980s	(unknown)	(unknown)		blanche	blanche	high	a: Nobel
Pennac_Petite.txt	Pennac, Daniel	no	male	La petite marchande de prose	1989	1980s	Gallimard	Folio		blanche	blanche	high	a: Renaudot
Simon_Derive.txt	Simon, Yves	no	male	La Dérive des sentiments	1991	1990s	Grasset	(unknown)		blanche	blanche	high	n: Médicis
Simon_Georgiques.txt	Simon, Claude	no	male	Georgiques	1981	1980s	(unknown)	(unknown)		blanche	blanche	high	a: Nobel
Simon_Prochain.txt	Simon, Yves	no	male	Le prochain amour	1996	1990s	Grasset	(unknown)		blanche	blanche	high	n: Médicis
Tournier_Gaspard.txt	Tournier, Michel	no	male	Gaspard, Melchior et Balthazar	1980	1980s	Gallimard	Blanche		blanche	blanche	high	a: Goncourt, Académie
Vautrin_Grand.txt	Vautrin, Jean	no	male	Un grand pas vers le Bon Dieu	1989	1980s	Grasset	(unknown)		blanche	blanche	high	a: Goncourt
Veinstein_Accordeur.txt	Veinstein, Alain	no	male	L'accordeur	1996	1990s	Gallimard	Folio		blanche	blanche	high	a: deux prix
