filename	brow	language	corpus	corpus_id	author_ja	title_ja	author	title	author_year	year	token_count	ndc	genre	narrative_perspective	comments
Natsume_S_Kusamakura.txt	high	ja	Aozora Bunko	aozorabunko/cards/000148/files/776_14941.html	夏目漱石	草枕	Soseki Natsume	Kusamakura	1867-02-09--1916-12-09	1906	48693	小説、物語	fiction	autodiegetic	
Natsume_S_Kokoro.txt	high	ja	Aozora Bunko	aozorabunko/cards/000148/files/773_14560.html	夏目漱石	こころ	Soseki Natsume	Kokoro	1867-02-09--1916-12-09	1991	98019	小説、物語	fiction	homodiegetic	
Natsume_S_Sanshirou.txt	high	ja	Aozora Bunko	aozorabunko/cards/000148/files/794_14946.html	夏目漱石	三四郎	Soseki Natsume	Sanshirou	1867-02-09--1916-12-09	1908	93915	小説、物語	fiction	homodiegetic	
Natsume_S_Bocchan.txt	high	ja	Aozora Bunko	aozorabunko/cards/000148/files/752_14964.html	夏目漱石	坊っちゃん	Soseki Natsume	Bocchan	1867-02-09--1916-12-09	1906	51389	小説、物語	fiction	autodiegetic	
Dazai_O_Ningenshikka.txt	high	ja	Aozora Bunko	aozorabunko/cards/000035/files/301_14912.html	太宰治	人間失格	Osamu Dazai	Ningenshikkaku	1909-06-19--1948-06-13	1952	39788	小説、物語	fiction	autodiegetic	
Dazai_O_Shayou.txt	high	ja	Aozora Bunko	aozorabunko/cards/000035/files/1565_8559.html	太宰治	斜陽	Osamu Dazai	Shayou	1909-06-19--1948-06-13	1947	48940	小説、物語	fiction	autodiegetic	
Yumeno_K_Dogura_Magura.txt	low	ja	Aozora Bunko	aozorabunko/cards/000096/files/2093_28841.html	夢野久作	ドグラ・マグラ	Kyusaku Yumeno	Dogura・Magura	1889-01-04--1936-03-11	1992	240272	小説、物語	detective	autodiegetic	
Yumeno_K_Shoujojigo.txt	low	ja	Aozora Bunko	aozorabunko/cards/000096/files/935_23282.html	夢野久作	少女地獄	Kyusaku Yumeno	Shoujojigoku	1889-01-04--1936-03-11	1936	60215	小説、物語	detective	homodiegetic	Collection
Yumeno_K_Oshienokiseki.txt	low	ja	Aozora Bunko	aozorabunko/cards/000096/files/930_21997.html	夢野久作	押絵の奇蹟	Kyusaku Yumeno	Oshienokiseki	1889-01-04--1936-03-11	1929	35134	小説、物語	detective	autodiegetic	
Edogawa_R_Mahouhakase.txt	low	ja	Aozora Bunko	aozorabunko/cards/001779/files/56679_62562.html	江戸川乱歩	魔法博士	Ranpo Edogawa	Mahouhakase	1894-10-21--1965-07-28	1956	39021	小説、物語 (児童書)	detective	heterodiegetic	
Edogawa_R_Shounentan.txt	low	ja	Aozora Bunko	aozorabunko/cards/001779/files/56669_58756.html	江戸川乱歩	少年探偵団	Ranpo Edogawa	Shounentanteidan	1894-10-21--1965-07-28	1937	53166	小説、物語 (児童書)	detective	heterodiegetic	
